time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub678 [m3/s],sub679 [m3/s],sub680 [m3/s],sub681 [m3/s],sub682 [m3/s],sub683 [m3/s],sub684 [m3/s],sub685 [m3/s],sub686 [m3/s],sub687 [m3/s],sub688 [m3/s],sub689 [m3/s],sub690 [m3/s],sub691 [m3/s],sub692 [m3/s],sub693 [m3/s],sub694 [m3/s],sub695 [m3/s],sub696 [m3/s],sub697 [m3/s],sub698 [m3/s],sub699 [m3/s],sub700 [m3/s],sub701 [m3/s],sub702 [m3/s],sub703 [m3/s],sub704 [m3/s],sub705 [m3/s],sub706 [m3/s],sub707 [m3/s],sub708 [m3/s],sub709 [m3/s],sub710 [m3/s],sub711 [m3/s],sub712 [m3/s],sub713 [m3/s],sub714 [m3/s],sub715 [m3/s],sub716 [m3/s],sub717 [m3/s],sub718 [m3/s],sub719 [m3/s],sub720 [m3/s],sub721 [m3/s],sub722 [m3/s],sub723 [m3/s],sub724 [m3/s]
22,2010-01-23,00:00:00.00,0.00744355,0.000246074,0.00231984,0.00564421,0.00842813,0.00215439,0.00147689,0.000391871,5.39183e-05,0.00106211,0.00669216,0.00122325,0.0357397,0.000482464,0.00352621,0.0167753,0.00223617,0.0451266,0.00849689,0.00370535,0.000776183,0.0620016,0.000314465,0.0191576,0.000405198,7.35901e-05,0.00136551,0.0138337,0.00944542,0.177278,0.00325343,0.00604219,0.00742117,0.00146158,0.00257825,0.104449,0.0266447,0.000701572,29.7438,0.0138056,0.208947,0.0139482,0.0132639,0.00777228,0.402137,0.0285182,0.36206,0.0479124,0.0101026,0.0292727
23,2010-01-24,00:00:00.00,0.00567356,0.000289972,0.00242259,0.00295792,0.00755752,0.00111404,0.00104423,0.0270113,0.000495831,0.000926386,0.00826059,0.000904795,0.0242534,0.00523822,0.00399067,0.00734099,0.00357301,0.0127527,0.00834545,0.0392591,0.00846938,0.0710198,0.000881328,0.00240622,0,0.00030531,0.00138556,0.0109732,0.00185682,0.131736,0.00856393,0.0282075,0.00155936,0.001347,0.00166458,0.14176,0.121845,0.000503236,24.5438,0.0107328,0.256159,0.0332161,0.0300078,0.0284273,0.345824,0.0542719,0.389106,0.170057,0.0190217,0.0659666
24,2010-01-25,00:00:00.00,0.195355,0.00578702,0.0526585,0.0247735,0.0166303,0.0248192,0.0122148,1.70328,0.0758581,0.0314094,0.0221493,0.0622095,0.0666745,0.0283925,0.023554,0.0135496,0.0217602,0.0117339,0.0170616,0.208011,0.134707,0.0788523,0.149304,0.125158,0.00723629,0.463245,0.113126,0.0167022,0.118768,0.220674,0.260248,0.243834,0.0301487,0.0163205,0.0162697,0.334831,0.226006,0.0180024,20.6228,0.0862414,0.364725,0.114549,0.175556,0.0687973,0.35951,0.158704,0.379553,0.269872,0.0604173,0.210344
25,2010-01-26,00:00:00.00,0.232163,0.108248,0.243,0.107564,0.047546,0.114637,0.0553427,2.11154,0.244254,0.137947,0.106709,0.367354,0.273756,0.498162,0.0903396,0.115383,0.0404902,0.0205782,0.137504,0.757642,0.628958,0.587254,0.431738,0.886291,0.484307,0.940157,0.402044,0.293386,0.495577,0.900534,1.3036,1.59031,0.083649,0.0731466,0.0787372,0.979298,0.534335,0.0938381,16.4736,0.240335,0.408807,0.53588,0.553382,0.406248,0.584997,0.507932,0.561918,0.519383,0.203662,0.331211
26,2010-01-27,00:00:00.00,0.000756856,0.278022,0.429225,0.157844,0.118066,0.159266,0.110457,0.445198,0.288954,0.187831,0.271043,0.660429,0.667136,1.83221,0.148313,0.15636,0.132013,0.0963494,0.294553,2.43302,0.70999,1.06115,0.36427,2.6109,0.877442,0.477165,0.596533,0.680566,0.805382,2.73284,2.19568,3.51325,0.0726383,0.0668083,0.241913,1.74816,1.32433,0.0867633,12.4635,0.278579,0.420778,0.856396,0.668409,0.979439,1.02478,0.601222,0.979942,1.45299,0.325836,0.637647
27,2010-01-28,00:00:00.00,3.9711e-06,0.175379,0.481714,0.183053,0.158157,0.0710028,0.100167,0.0103507,0.120062,0.183518,0.33281,0.355015,0.964562,1.35934,0.130843,0.120559,0.273576,0.330202,0.23221,2.28524,0.208742,0.757914,0.08105,4.45399,0.400371,1.92826e-06,0.50281,0.531171,0.760411,4.75983,2.04638,2.14536,0.0812374,0.00946974,0.255724,2.45245,1.55714,0.0105824,7.91403,0.401773,0.394055,0.743031,0.656211,1.36605,1.37514,0.245818,1.26789,1.65038,0.193094,0.508996
28,2010-01-29,00:00:00.00,8.7798e-07,0,0.244131,0.264855,0.183053,0.00170991,0.0335298,9.33801e-05,0,0.278022,0.269548,6.23411e-05,0.830234,0.00166366,0.0980997,0.148652,0.214544,0.530465,0.173019,0.447808,0.00080581,1.00804,0,4.26025,0,0,0.195966,0.418452,0.649855,4.59116,0.899564,0.000749572,0.132667,9.45172e-05,0.234263,2.19614,0.638822,0,2.94754,0.615191,0.346489,0.383837,0.480235,0.948513,1.81164,0.0227748,1.5947,0.570154,0.0215652,0.0413636
29,2010-01-30,00:00:00.00,9.47089e-05,0,0,0.209549,0.264855,2.05005e-06,0.000415824,0.000134248,0,0.175379,0.166828,0,0.755359,0,0.0904474,0.13093,0.052487,0.391677,0.273851,0.0103525,0,2.6109,6.63583e-06,1.9502,0,0,5.35642e-05,0.596533,0.541865,4.08229,0.000108353,0,0.0958198,0.000150893,0.353526,0.775301,0.00220289,0.000107848,0.836928,0.363123,0.570265,0.0530195,0.094873,0.199099,1.76593,9.11564e-05,2.18397,0.000396778,4.56274e-05,0.000798915
30,2010-01-31,00:00:00.00,0.000115735,0,0.000236103,0.0564206,0.209572,2.68187e-05,6.80401e-06,0.000455392,9.20491e-05,5.00905e-05,0.156266,0.000306213,0.994658,0,0.0568832,0.0992054,0.00050388,0.221208,0.215771,0.000272349,0.000127786,4.45399,0.000108021,0.296412,1.34753e-06,0.000207781,0.000193111,0.502816,0.224687,3.71761,0,0,0.101737,0.000753977,0.28676,0.000178061,0,0.000445808,0.869196,0.0295819,0.927944,0.00020086,0.000100119,5.33799e-05,2.54095,0,2.70877,0,0.000175103,0.000299804
31,2010-02-01,00:00:00.00,0.000184308,0,0.00109113,0.00277909,0.0564662,0.000158348,0.000188362,0.000528649,0.000212368,5.00905e-05,0.188314,0.00112971,1.15316,0,0.0143597,0.0926162,0.0008629,0.275317,0.0552339,0.000451505,0.00068045,4.26069,0.000415939,0.000652233,0.000205071,0.000830689,0.000606079,0.196178,0.000516382,1.46438,0,0,0.140951,0.00161598,0.127184,1.49961e-05,2.2465e-05,0.000538995,0.804045,0.000684696,1.12452,0.000411709,0.000365462,0.000123914,3.74887,0,2.99682,0,0.000230459,0.000471194
32,2010-02-02,00:00:00.00,0.000180223,0,0.000902796,0.000343979,0.00280311,0.000155744,0.000300832,0.000317667,0.000120319,0,0.184194,0.001135,1.26018,0,0.00278872,0.0593336,0.00185541,0.21689,0.00464941,0.000609154,0.00058112,1.95123,0.000785205,0.00103309,0.000543313,0.000622908,0.000930425,0.000720691,0.00105529,1.02247e-05,0,0,0.0762814,0.00183165,0.0407418,1.80522e-05,9.90159e-05,0.000504864,0.695948,0.00165462,1.23058,0.000677084,0.000297004,0.000325808,2.87927,0,2.33273,0,0.000107337,0.00033011
33,2010-02-03,00:00:00.00,0.000430827,0,5.10244e-05,0.00107239,0.00034616,7.82961e-05,0.000229735,0.000342058,6.90368e-05,0,0.278601,0.000327763,1.19262,0,0.00374754,0.0175523,0.00274674,0.0572122,0.00656016,0.000692646,9.41137e-05,0.29707,0.00111462,0.00142538,0.000340937,0.000175367,0.000678496,0.000693411,0.00115797,0,0,0,0.0121992,0.00150517,0.00621215,3.83782e-06,0.000200203,0.0009819,0.717193,0.00287255,1.71762,0.00184267,0.00291356,0.000633581,1.36783,0,1.55923,0,0.000391977,0.00146356
