gaugeID,Lat,Lon,Row_Lon,Col_Lat,Area/m2 
04121970,43.5737724304,-85.453125,65,36,97028161.3664
04121970,43.5644378662,-85.3334655762,66,36,97019561.4664
04121970,43.55493927,-85.2138671875,67,36,90340541.0772
04121970,43.5452804565,-85.0943603516,68,36,765452.115164
04121970,43.6724624634,-85.559753418,64,37,80084917.1656
04121970,43.663269043,-85.4398803711,65,37,97040857.992
04121970,43.6539077759,-85.3200378418,66,37,82620530.6207
04121970,43.6443939209,-85.2002258301,67,37,76423340.5749
04121970,43.634727478,-85.0804748535,68,37,3973086.29991
04121970,43.7710266113,-85.6668701172,63,38,4871567.13266
04121970,43.76197052,-85.5467529297,64,38,89369104.9457
04121970,43.752746582,-85.4266357422,65,38,97096788.8813
04121970,43.7433815002,-85.3065490723,66,38,40422816.3357
04121970,43.7338447571,-85.1865234375,67,38,46392.3172859
04121970,43.8605499268,-85.6540527344,63,39,1490591.23585
04121970,43.851474762,-85.5336608887,64,39,89533307.4827
04121970,43.8422431946,-85.4133300781,65,39,97116946.0998
04121970,43.8328514099,-85.2930297852,66,39,88923647.551
04121970,43.8232955933,-85.1727600098,67,39,23089804.4307
04121970,43.9500732422,-85.6411743164,63,40,21876359.539
04121970,43.9409790039,-85.5205688477,64,40,97157459.5347
04121970,43.931728363,-85.3999938965,65,40,97149721.0203
04121970,43.9223251343,-85.2794799805,66,40,97183209.1033
04121970,43.9127464294,-85.158996582,67,40,79803751.9536
04121970,43.9030151367,-85.0385742188,68,40,48408386.1906
04121970,43.8931274414,-84.918182373,69,40,27411535.433
04121970,44.0395927429,-85.6282348633,63,41,1880344.81858
04121970,44.0304794312,-85.5074157715,64,41,33366568.8439
04121970,44.0212135315,-85.3866271973,65,41,66775703.6875
04121970,44.0117835999,-85.2658691406,66,41,97214977.0968
04121970,44.0021972656,-85.1451416016,67,41,97177570.9583
04121970,43.9924468994,-85.0245056152,68,41,97164127.2311
04121970,43.9825401306,-84.9039001465,69,41,77851795.2918
04121970,43.9724769592,-84.7833251953,70,41,57762.6924487
04121970,44.1106910706,-85.3732299805,65,42,21996718.7214
04121970,44.1012496948,-85.2522277832,66,42,97253840.7181
04121970,44.0916366577,-85.1312866211,67,42,97220931.9642
04121970,44.0818748474,-85.0104064941,68,42,97213643.2626
04121970,44.0719490051,-84.8895874023,69,42,97283292.027
04121970,44.0618667603,-84.7687683105,70,42,31591692.1211
04121970,44.218624115,-85.6022949219,63,43,26854824.2217
04121970,44.2094802856,-85.4810180664,64,43,40118016.5256
04121970,44.200176239,-85.3597412109,65,43,58972170.4597
04121970,44.1907157898,-85.2385253906,66,43,97267646.8092
04121970,44.1810874939,-85.1173706055,67,43,97251955.3575
04121970,44.1713027954,-84.9962768555,68,43,97277759.6335
04121970,44.1613540649,-84.875213623,69,43,97287945.6904
04121970,44.1512565613,-84.7541503906,70,43,89596384.7908
04121970,44.1409912109,-84.6331787109,71,43,17545603.2591
04121970,44.3081359863,-85.5892333984,63,44,44576361.8064
04121970,44.2989768982,-85.4677429199,64,44,94041614.9154
04121970,44.2896537781,-85.3462524414,65,44,97306619.8968
04121970,44.2801704407,-85.224822998,66,44,97343991.2646
04121970,44.2705230713,-85.1034240723,67,44,97302227.5087
04121970,44.2607307434,-84.9820861816,68,44,97303218.2643
04121970,44.2507591248,-84.8607788086,69,44,97319585.5644
04121970,44.2406311035,-84.7395324707,70,44,97298052.2451
04121970,44.2303543091,-84.618347168,71,44,95863957.182
04121970,44.219909668,-84.4971923828,72,44,26717709.5695
04121970,44.3884735107,-85.4544067383,64,45,4116975.05043
04121970,44.3791313171,-85.3327331543,65,45,34402814.1633
04121970,44.3696327209,-85.2110595703,66,45,50702863.5045
04121970,44.3599700928,-85.0894165039,67,45,96731862.5917
04121970,44.350151062,-84.9678649902,68,45,97321561.2117
04121970,44.3401641846,-84.8463439941,69,45,97377244.8283
04121970,44.3300209045,-84.7248535156,70,45,97347999.6354
04121970,44.3197135925,-84.6034240723,71,45,93529351.4906
04121970,44.3092498779,-84.4820556641,72,45,31952159.9839
04121970,44.298625946,-84.3607177734,73,45,1814334.10356
04121970,44.4590911865,-85.1972351074,66,46,7103874.18173
