time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub678 [m3/s],sub679 [m3/s],sub680 [m3/s],sub681 [m3/s],sub682 [m3/s],sub683 [m3/s],sub684 [m3/s],sub685 [m3/s],sub686 [m3/s],sub687 [m3/s],sub688 [m3/s],sub689 [m3/s],sub690 [m3/s],sub691 [m3/s],sub692 [m3/s],sub693 [m3/s],sub694 [m3/s],sub695 [m3/s],sub696 [m3/s],sub697 [m3/s],sub698 [m3/s],sub699 [m3/s],sub700 [m3/s],sub701 [m3/s],sub702 [m3/s],sub703 [m3/s],sub704 [m3/s],sub705 [m3/s],sub706 [m3/s],sub707 [m3/s],sub708 [m3/s],sub709 [m3/s],sub710 [m3/s],sub711 [m3/s],sub712 [m3/s],sub713 [m3/s],sub714 [m3/s],sub715 [m3/s],sub716 [m3/s],sub717 [m3/s],sub718 [m3/s],sub719 [m3/s],sub720 [m3/s],sub721 [m3/s],sub722 [m3/s],sub723 [m3/s],sub724 [m3/s]
14,2010-01-15,00:00:00.00,0.275869,0.862784,2.15772,3.27637,3.24712,1.40567,1.08587,0.656415,0.780917,1.41264,2.20857,1.02871,9.94405,0.679108,1.78242,2.39427,1.87032,4.64166,2.93507,1.37047,0.757172,2.68168,0.63295,1.81179,0.83189,0.959906,1.00401,1.63397,1.73393,3.13351,1.10989,1.1225,4.18791,0.81873,7.27256,1.39817,1.04199,0.642575,114.63,3.74293,6.82181,2.56731,1.90124,2.68552,5.41879,0.66918,4.15309,1.77511,0.936037,1.92021
15,2010-01-16,00:00:00.00,0.324954,0.887392,2.2568,3.56556,3.43918,1.54991,1.15937,0.784208,0.846404,1.47608,2.34977,1.12772,10.8975,0.731193,1.90053,2.56302,1.94864,4.88781,3.11981,1.50394,0.842629,2.80015,0.693708,1.87786,0.850831,1.2449,1.09721,1.69376,1.83328,3.2736,1.22633,1.25946,4.40155,0.874977,7.62144,1.48392,1.10829,0.701743,105.719,3.95842,7.4186,2.69278,2.03216,2.8511,5.77629,0.801858,4.47857,1.88933,0.987252,2.06272
16,2010-01-17,00:00:00.00,0.266714,0.936972,2.32906,3.66113,3.71199,1.53956,1.22314,0.792844,0.911135,1.52385,2.49936,1.20898,11.7952,0.84836,2.02115,2.71605,2.1057,5.1636,3.33002,1.59422,0.969185,3.11047,0.783571,1.97178,1.07605,1.25743,1.20255,1.89076,1.97885,3.40164,1.2854,1.31679,4.57934,0.900613,7.94202,1.55824,1.24002,0.722974,95.5221,4.1625,8.00251,2.97493,2.23711,3.1196,6.38003,0.936985,4.80761,2.15262,1.0999,2.20457
17,2010-01-18,00:00:00.00,0.281796,0.94357,2.35095,3.87505,3.80941,1.46326,1.20978,0.709941,0.897213,1.53616,2.59853,1.14784,12.6145,0.843888,2.05794,2.79814,2.26352,5.47563,3.42383,1.64772,0.917797,3.27296,0.742264,2.09795,1.0868,1.09061,1.23054,1.92681,2.063,3.52066,1.2653,1.26874,4.76496,0.886,8.19007,1.66856,1.35257,0.692555,87.3867,4.32696,8.46613,3.16364,2.29326,3.27753,6.79529,0.883105,5.10733,2.33084,1.18205,2.33095
18,2010-01-19,00:00:00.00,0.272066,0.918117,2.34904,4.02774,4.02641,1.48686,1.18071,0.715038,0.872108,1.57708,2.65006,1.08802,13.1839,0.81258,2.0764,2.88949,2.20859,5.73028,3.51397,1.61609,0.844822,3.21543,0.664129,2.20345,1.06072,1.10118,1.16,1.87498,2.05221,3.68014,1.31468,1.34653,4.9355,0.889863,8.4014,1.75818,1.35975,0.693879,82.3291,4.55048,8.77844,3.1381,2.27942,3.29586,7.02903,0.792229,5.39076,2.35375,1.11598,2.26286
19,2010-01-20,00:00:00.00,0.270632,0.923702,2.37124,3.81793,4.18036,1.50883,1.19779,0.691574,0.850519,1.58194,2.68425,1.09292,13.6569,0.835083,2.12474,2.93666,2.13171,5.80348,3.64938,1.51711,0.838837,3.27408,0.667293,2.21984,1.08617,1.01386,1.09913,1.97763,2.06574,3.89598,1.39181,1.38525,5.04134,0.901712,8.61134,1.80731,1.33157,0.701258,77.3532,4.68693,9.07335,3.03003,2.24041,3.19713,7.30509,0.764311,5.67827,2.32011,1.05583,2.14457
20,2010-01-21,00:00:00.00,0.273374,0.927949,2.39652,3.77355,3.97139,1.52792,1.21462,0.693937,0.831675,1.55013,2.72769,1.09523,14.1107,0.788364,2.12044,2.96515,2.1557,5.88342,3.60661,1.50307,0.80472,3.33009,0.669711,2.19051,0.913683,1.01436,1.09851,2.00746,2.02602,4.00385,1.35474,1.30461,5.15811,0.912727,8.76075,1.82345,1.27446,0.705515,70.5608,4.54603,9.48878,2.95581,2.18124,3.10998,7.40907,0.753171,5.90151,2.18009,1.0662,2.16818
21,2010-01-22,00:00:00.00,0.279547,0.931128,2.41104,3.82415,3.92856,1.54519,1.22895,0.695205,0.830972,1.55641,2.77528,1.09316,14.4629,0.773672,2.11242,3.02601,2.1836,6.0524,3.53707,1.48082,0.805885,3.40031,0.671253,2.15096,0.895912,1.01515,1.08474,1.9395,1.9537,4.08165,1.27248,1.26503,5.27411,0.924455,8.88594,1.74293,1.21503,0.712623,62.8132,4.44682,9.91603,2.98898,2.20746,3.1525,7.76495,0.759515,6.0809,2.08082,1.07608,2.1984
22,2010-01-23,00:00:00.00,0.28424,0.932615,2.4235,3.87124,3.9816,1.56022,1.24186,0.696168,0.831136,1.56114,2.78804,1.09175,14.7132,0.783244,2.13846,3.03427,2.20951,6.04211,3.57786,1.48934,0.807181,3.41844,0.671359,2.08067,0.896961,1.01424,1.08571,1.87926,1.93565,4.13302,1.27285,1.28735,5.30817,0.934614,9.00326,1.71792,1.2319,0.717182,57.2466,4.50883,10.1956,3.02789,2.23961,3.18591,7.86132,0.790144,6.21678,2.11654,1.09774,2.24221
23,2010-01-24,00:00:00.00,0.283809,0.933199,2.43785,3.91221,4.03111,1.57106,1.25173,0.744352,0.831257,1.56349,2.82879,1.09064,14.8843,0.79694,2.16363,3.03514,2.23527,6.00117,3.61821,1.53949,0.817432,3.39009,0.672108,2.04533,0.896555,1.01359,1.08572,1.8783,1.92175,4.05209,1.2917,1.32753,5.33702,0.942042,9.09903,1.76151,1.32628,0.719969,54.7062,4.55567,10.4796,3.08668,2.28446,3.24992,7.73983,0.822286,6.28861,2.24555,1.12071,2.31275
24,2010-01-25,00:00:00.00,0.470839,0.943712,2.54409,3.98257,4.08824,1.62131,1.28195,2.01608,0.938141,1.62613,2.85863,1.18286,15.1244,0.825413,2.20991,3.07634,2.28059,6.06565,3.66636,1.72433,0.96452,3.37678,0.846499,2.15699,0.903615,1.50325,1.22492,1.88138,2.06707,4.11002,1.49056,1.49979,5.46656,0.969367,9.2194,1.92256,1.41996,0.747626,53.4866,4.69077,10.8276,3.19825,2.45354,3.3352,7.77902,0.901528,6.33904,2.34907,1.1688,2.46853
25,2010-01-26,00:00:00.00,0.435162,1.1834,2.80357,4.12019,4.16925,1.77029,1.3622,2.22692,1.15534,1.78005,2.95845,1.55618,15.4912,1.18529,2.31198,3.24152,2.31967,6.13826,3.85237,2.20184,1.42589,3.85084,1.15322,2.75758,1.35818,1.88196,1.52027,2.22433,2.43576,4.61017,2.15093,2.39806,5.65168,1.0846,9.44123,2.33364,1.61885,0.881241,51.9297,4.91338,10.8209,3.61646,2.80055,3.68271,7.96427,1.13627,6.51659,2.5353,1.30884,2.57579
26,2010-01-27,00:00:00.00,0.2829,1.39308,3.06466,4.20153,4.29218,1.82373,1.44273,0.95773,1.17475,1.817,3.16541,1.81749,16.1005,1.942,2.39989,3.31257,2.46425,6.3091,4.05363,3.39467,1.42551,4.22263,1.04184,4.00397,1.65364,1.3863,1.68375,2.54916,2.68255,5.76213,2.67035,3.41155,5.66058,1.07972,9.88142,2.77256,2.07444,0.870477,50.2249,4.99063,10.7458,3.91066,2.87369,4.1762,8.30311,1.1907,6.81087,3.13819,1.42337,2.84468
27,2010-01-28,00:00:00.00,0.284295,1.14782,3.09558,4.26713,4.3637,1.69538,1.41607,0.695487,0.949735,1.89755,3.24288,1.43487,16.5189,1.59647,2.40199,3.28379,2.65747,6.68763,3.98192,3.12244,0.947211,3.8723,0.727996,5.22041,1.19382,0.999808,1.55092,2.35371,2.619,6.90591,2.54728,2.51992,5.69561,0.972992,9.94828,3.13726,2.1867,0.738914,47.9982,5.15234,10.8215,3.79112,2.85647,4.46647,8.59374,0.968048,7.01428,3.23165,1.30294,2.74284
28,2010-01-29,00:00:00.00,0.286527,0.92033,2.74645,4.39895,4.42998,1.61879,1.32782,0.689341,0.813746,2.01148,3.15095,1.06789,16.4229,0.843656,2.38144,3.34658,2.57324,6.9555,3.96557,1.73414,0.790288,4.02861,0.657061,5.00285,0.88375,0.995151,1.23795,2.29887,2.54502,6.79404,1.88149,1.38654,5.83176,0.964285,9.93217,2.9595,1.66744,0.726699,45.3587,5.40373,10.8609,3.48687,2.72197,4.10516,8.99748,0.849491,7.25411,2.57107,1.15793,2.35395
29,2010-01-30,00:00:00.00,0.289156,0.916128,2.46888,4.34919,4.56277,1.62445,1.29512,0.690244,0.808847,1.76265,3.01674,1.06148,16.4856,0.866203,2.37792,3.35366,2.38455,6.76172,4.12465,1.46633,0.785084,5.17867,0.653122,3.34269,0.879596,0.990212,1.06267,2.44381,2.42693,6.56174,1.41082,1.43456,5.77289,0.968083,10.2154,2.21157,1.33839,0.727283,45.4303,5.14836,11.1646,3.2347,2.42651,3.51685,9.0499,0.852544,7.64678,2.28122,1.15187,2.34281
30,2010-01-31,00:00:00.00,0.291972,0.91156,2.47296,4.1958,4.51402,1.63192,1.30049,0.692257,0.803604,1.53137,3.02161,1.05476,16.8379,0.895526,2.34019,3.33926,2.341,6.59755,4.04702,1.45627,0.780161,6.38876,0.648939,2.19333,0.875182,0.985083,1.05701,2.30619,2.08354,6.37675,1.4616,1.49436,5.81401,0.97225,10.0664,1.86367,1.3732,0.727875,47.2565,4.82494,11.6013,3.22751,2.38829,3.41524,9.72888,0.870717,8.05569,2.32622,1.16255,2.36473
31,2010-02-01,00:00:00.00,0.295011,0.906702,2.47781,4.16244,4.36164,1.63934,1.3064,0.695244,0.798082,1.52312,3.02982,1.04793,17.1164,0.929424,2.29712,3.34198,2.35417,6.71222,3.86551,1.45315,0.77494,6.1646,0.644652,2.02386,0.870586,0.980149,1.05119,1.98813,1.86554,5.16751,1.5208,1.56258,5.90981,0.976704,9.76442,1.9355,1.4149,0.728228,48.5523,4.83223,11.8464,3.26035,2.41656,3.45429,10.5429,0.890549,8.30664,2.37731,1.17398,2.38892
32,2010-02-02,00:00:00.00,0.298145,0.901617,2.48241,4.18507,4.32925,1.64661,1.31219,0.699123,0.792222,1.51428,3.10234,1.0403,17.3916,0.966574,2.297,3.30994,2.36798,6.64552,3.82938,1.45103,0.769411,4.49776,0.640146,2.02634,0.866008,0.974822,1.04513,1.80768,1.85349,4.5026,1.58594,1.6364,5.78709,0.980315,9.62909,2.01703,1.461,0.728429,49.6637,4.86648,11.9495,3.29587,2.44757,3.49802,9.94435,0.911584,7.96122,2.43312,1.18603,2.41449
33,2010-02-03,00:00:00.00,0.30147,0.89636,2.48712,4.21048,4.35286,1.65383,1.31778,0.703874,0.786137,1.50504,3.20763,1.03197,17.3897,1.0058,2.3103,3.27295,2.38163,6.47614,3.85036,1.45003,0.763721,3.34126,0.635535,2.03131,0.861212,0.969315,1.0387,1.79646,1.84071,4.69581,1.65486,1.71344,5.68731,0.983104,9.58424,2.10509,1.51015,0.72905,50.9648,4.90184,12.3962,3.33422,2.4828,3.54581,9.13364,0.933425,7.62163,2.49241,1.19889,2.44222
34,2010-02-04,00:00:00.00,0.304451,0.890976,2.49284,4.23511,4.37926,1.66113,1.32348,0.709337,0.779904,1.49546,2.94966,1.02369,17.1129,1.0461,2.32276,3.27764,2.39552,6.45202,3.87047,1.44993,0.75788,3.16448,0.630824,2.03865,0.856316,0.963976,1.03205,1.7847,1.82748,4.90786,1.72572,1.79178,5.69079,0.985619,9.60376,2.19701,1.56107,0.729219,52.8517,4.93864,12.0336,3.37746,2.52097,3.59899,8.742,0.955706,7.8826,2.554,1.2131,2.47118
35,2010-02-05,00:00:00.00,0.308404,0.885504,2.499,4.25859,4.40488,1.66819,1.32911,0.715594,0.773503,1.48561,2.70892,1.01534,16.9027,1.08668,2.33396,3.29475,2.40908,6.48415,3.88837,1.45104,0.752171,3.15967,0.626277,2.04775,0.851477,0.958507,1.02546,1.77272,1.81378,5.13168,1.79704,1.86989,5.70676,0.988081,9.62619,2.29053,1.61404,0.729696,54.2812,4.97475,11.2469,3.42084,2.55856,3.65569,8.67399,0.978107,7.85841,2.61684,1.22754,2.50131
36,2010-02-06,00:00:00.00,0.312145,0.879974,2.50576,4.28223,4.42935,1.67525,1.33456,0.722335,0.767005,1.47555,2.69113,1.00716,16.9262,1.12688,2.34536,3.31206,2.42129,6.51542,3.9069,1.45279,0.746249,3.15732,0.621583,2.05832,0.846576,0.95344,1.01909,1.76037,1.80026,5.3613,1.86764,1.9466,5.72236,0.991239,9.6521,2.38497,1.66677,0.729973,54.9543,5.01191,11.2647,3.4645,2.59906,3.71896,8.84358,1.00035,7.45135,2.68137,1.24224,2.53846
37,2010-02-07,00:00:00.00,0.313501,0.874414,2.51235,4.30554,4.45391,1.68211,1.33996,0.729164,0.760413,1.46535,2.6726,0.99872,16.4162,1.16621,2.35721,3.32862,2.43345,6.5447,3.92649,1.45486,0.739838,3.15736,0.615503,2.07045,0.841783,0.948253,1.01278,1.7486,1.78624,5.59192,1.93662,2.02105,5.7368,0.994126,9.67577,2.47805,1.71732,0.728846,55.7645,5.05177,11.3782,3.51248,2.64281,3.78851,9.05203,1.02223,7.35982,2.74405,1.26172,2.57446
38,2010-02-08,00:00:00.00,0.31638,0.868845,2.51866,4.32847,4.47812,1.68837,1.34533,0.736597,0.753852,1.45506,2.65351,0.989787,15.6027,1.20429,2.36886,3.34533,2.44647,6.57439,3.94507,1.45824,0.733737,3.15911,0.609049,2.08398,0.837035,0.943329,1.00615,1.73572,1.77119,5.81974,2.00332,2.09258,5.74918,0.996571,9.6947,2.56884,1.76786,0.727882,56.7195,5.08631,11.5006,3.55759,2.68092,3.8543,9.27007,1.04353,7.57009,2.80424,1.2786,2.63599
39,2010-02-09,00:00:00.00,0.31922,0.863285,2.5254,4.3505,4.50194,1.69453,1.35056,0.744163,0.747234,1.4447,2.63395,0.981001,15.4052,1.24084,2.3805,3.36239,2.45964,6.60539,3.96348,1.46149,0.727523,3.16273,0.603447,2.09846,0.832354,0.940301,0.999424,1.7221,1.75559,6.04188,2.06725,2.16076,5.76218,0.999242,9.71732,2.65403,1.81528,0.727644,57.4626,5.12197,11.6237,3.59863,2.71924,3.91158,9.49452,1.06414,7.80105,2.8642,1.28438,2.65535
40,2010-02-10,00:00:00.00,0.322752,0.857749,2.53335,4.37125,4.52481,1.70067,1.35563,0.751943,0.740376,1.43435,2.61403,0.972523,15.3888,1.27566,2.39224,3.37961,2.47254,6.63542,3.98265,1.46474,0.721046,3.1679,0.598162,2.11349,0.829106,0.937356,0.99285,1.70947,1.74001,6.25622,2.12805,2.22528,5.77502,1.0021,9.73275,2.73337,1.85988,0.727972,57.6285,5.16299,11.7513,3.62894,2.74998,3.94616,9.71947,1.09093,8.02468,2.92221,1.29135,2.64049
41,2010-02-11,00:00:00.00,0.325565,0.852249,2.54102,4.3912,4.54636,1.70649,1.36053,0.759711,0.733496,1.42397,2.59384,0.96454,15.3752,1.30862,2.40379,3.39647,2.48527,6.66582,4.00194,1.46879,0.715246,3.17667,0.592633,2.12949,0.82634,0.930495,0.986349,1.69651,1.725,6.4612,2.18551,2.28597,5.78686,1.00442,9.74243,2.81043,1.90422,0.72735,57.5595,5.19281,11.8926,3.65826,2.77615,3.99688,9.95595,1.1311,8.25826,2.98674,1.30386,2.66626
42,2010-02-12,00:00:00.00,0.326253,0.846795,2.54771,4.4104,4.56708,1.71198,1.36517,0.767183,0.726703,1.41359,2.5735,0.955145,15.3644,1.33964,2.41481,3.41217,2.49775,6.6963,4.02057,1.47304,0.708937,3.18491,0.586943,2.14768,0.820447,0.923347,0.979936,1.68343,1.70988,6.65579,2.23949,2.34273,5.79903,1.00613,9.75689,2.88367,1.94611,0.726206,57.898,5.21907,12.0391,3.69649,2.81073,4.05598,10.2193,1.15989,8.48763,3.0896,1.31596,2.69228
43,2010-02-13,00:00:00.00,0.328331,0.841392,2.5517,4.42936,4.587,1.71718,1.36954,0.774968,0.71991,1.40329,2.55299,0.94512,15.356,1.36868,2.42512,3.4276,2.50909,6.72531,4.03812,1.47716,0.70215,3.19023,0.581378,2.16512,0.814189,0.91866,0.973624,1.67052,1.69465,6.83933,2.28995,2.39556,5.80978,1.00801,9.77197,2.95223,1.98512,0.725611,58.6164,5.25129,12.1819,3.73337,2.84421,4.09354,10.4714,1.15746,8.69558,3.17243,1.32759,2.71739
44,2010-02-14,00:00:00.00,0.33031,0.836049,2.55637,4.44688,4.60664,1.72203,1.37366,0.782682,0.713123,1.39333,2.53271,0.937424,15.3487,1.39574,2.4349,3.44278,2.51957,6.75354,4.05509,1.4812,0.695876,3.19817,0.5759,2.17898,0.809816,0.914056,0.967381,1.65768,1.67949,7.01144,2.33687,2.4445,5.81818,1.00988,9.78691,3.01593,2.0217,0.724951,59.2126,5.28219,12.3071,3.76875,2.8763,4.1343,10.6955,1.15563,8.90744,3.17014,1.33873,2.74149
45,2010-02-15,00:00:00.00,0.331987,0.83077,2.56171,4.46238,4.62478,1.72653,1.37752,0.790286,0.706497,1.38315,2.51381,0.931613,15.3446,1.42083,2.44416,3.45699,2.52988,6.78063,4.07091,1.48559,0.689618,3.20947,0.570433,2.19253,0.805509,0.909532,0.961214,1.64494,1.66442,7.17195,2.38032,2.48963,5.82654,1.01158,9.80071,3.07509,2.05608,0.7242,59.2182,5.31167,12.4642,3.80251,2.90689,4.17707,10.882,1.16883,9.11495,3.1736,1.34933,2.76452
46,2010-02-16,00:00:00.00,0.333608,0.825557,2.56438,4.47727,4.64085,1.73065,1.3811,0.797745,0.699747,1.37279,2.49468,0.922207,15.3431,1.444,2.45283,3.47043,2.53974,6.80663,4.08549,1.48993,0.683381,3.22009,0.564983,2.20753,0.801265,0.905086,0.955637,1.63232,1.64964,7.32094,2.42036,2.53106,5.83502,1.0131,9.81247,3.12979,2.08802,0.723357,59.0755,5.33962,12.559,3.83457,2.93591,4.22141,11.1625,1.18299,9.3127,3.21576,1.35937,2.78641
47,2010-02-17,00:00:00.00,0.335008,0.820442,2.5679,4.49123,4.65627,1.7344,1.38438,0.805031,0.693049,1.36304,2.47418,0.911061,15.3367,1.4653,2.46116,3.48307,2.54897,6.83093,4.09951,1.4942,0.677171,3.22719,0.559555,2.22275,0.797083,0.900714,0.949621,1.61979,1.6356,7.45863,2.45711,2.56893,5.84251,1.01443,9.82262,3.18008,2.11756,0.722418,59.2211,5.36597,12.6072,3.86486,2.96331,4.26348,11.4063,1.19624,9.52389,3.25524,1.36884,2.80712
