time,date,hour,precip [mm/day],sub710 [m3/s],sub710 (observed) [m3/s],sub685 [m3/s],sub685 (observed) [m3/s],sub684 [m3/s],sub684 (observed) [m3/s],sub676 [m3/s],sub676 (observed) [m3/s],sub677 [m3/s],sub677 (observed) [m3/s],sub686 [m3/s],sub686 (observed) [m3/s],sub699 [m3/s],sub699 (observed) [m3/s],sub701 [m3/s],sub701 (observed) [m3/s],sub700 [m3/s],sub700 (observed) [m3/s],sub683 [m3/s],sub683 (observed) [m3/s],sub697 [m3/s],sub697 (observed) [m3/s],sub698 [m3/s],sub698 (observed) [m3/s],sub696 [m3/s],sub696 (observed) [m3/s],sub682 [m3/s],sub682 (observed) [m3/s],sub694 [m3/s],sub694 (observed) [m3/s],sub695 [m3/s],sub695 (observed) [m3/s],sub678 [m3/s],sub678 (observed) [m3/s],sub680 [m3/s],sub680 (observed) [m3/s],sub681 [m3/s],sub681 (observed) [m3/s],sub691 [m3/s],sub691 (observed) [m3/s],sub693 [m3/s],sub693 (observed) [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub689 [m3/s],sub689 (observed) [m3/s],sub712 [m3/s],sub712 (observed) [m3/s],sub724 [m3/s],sub724 (observed) [m3/s],sub723 [m3/s],sub723 (observed) [m3/s],sub720 [m3/s],sub720 (observed) [m3/s],sub719 [m3/s],sub719 (observed) [m3/s]
22,2010-01-23,00:00:00.00,0.101546,3.89687,16.9052,1.63639,8.5,0.764389,1.33,1.88134,0.36,4.07176,4.2,1.30294,1.1,1.19808,0.638,1.944,1.5,1.5453,0.581,1.11492,1.15,0.790417,0.127,4.07593,1.99,1.45606,2.34,1.3972,0.24,1.12335,0.33,0.969264,0.042,7.85891,1.4895,2.74872,0.7362,2.19364,0.9231,4.01107,6.1164,2.43969,7.0509,4.26624,9.9109,4.10819,1.0392,1.0513,0.4276,4.55184,1.699,1.96371,0.8212,1.85816,3.0299,14.8052,25.7683
23,2010-01-24,00:00:00.00,0.0259894,4.11409,11.978,1.59284,8.1,0.74464,1.3,1.87762,0.356,4.04478,4.3,1.2642,1.12,1.17794,0.633,1.91306,1.53,1.52659,0.58,1.09025,1.14,0.77208,0.137,4.062,2.08,1.41956,2.32,1.39426,0.28,1.10463,0.325,0.94418,0.041,7.65634,1.5093,2.70103,0.6994,2.15951,0.8099,3.97227,6.0315,2.47493,6.9376,4.30491,10.0808,4.02227,1.0449,1.14483,0.5465,4.50423,1.9822,2.01813,0.9628,1.91388,3.7945,15.003,27.7222
24,2010-01-25,00:00:00.00,1.27828,4.56441,7.7871,1.84766,7.7,1.24007,1.35,3.73792,0.38,5.64395,4.5,1.83219,1.21,3.17374,1.65,4.16117,1.8,5.45729,1.85,1.96731,1.28,1.28722,1.54,7.44024,2.2,2.7721,2.6,5.8638,0.4,2.41459,0.32,1.82292,0.18,8.9744,1.6424,3.38516,0.8976,2.66583,1.0364,4.51024,7.4473,3.91628,11.4966,5.30581,17.4149,4.5578,2.1662,1.39962,2.2569,5.58891,12.3461,2.67329,9.3446,2.31307,17.2166,15.5645,73.6238
25,2010-01-26,00:00:00.00,1.32365,6.61433,52.3862,2.44109,11,1.7838,3.99,7.58314,7.5,7.9546,7.56,2.88585,9,6.08795,30,6.77634,14.2,8.04418,42.8,3.07901,8.97,1.92838,18.3,19.2644,25.5,4.76254,36,13.1416,5.81,4.14349,1.5,2.89961,3,10.5335,3.6246,4.09592,2.1238,3.19073,3.2564,5.33772,10.6471,5.62108,17.0467,7.00795,32.8475,5.09453,4.1343,1.59752,11.9497,6.28254,25.825,3.48865,20.105,3.63002,25.5418,17.4918,125.727
26,2010-01-27,00:00:00.00,0.0303791,6.82986,103.073,2.66735,18,1.44211,15.8,7.38802,10.7,8.08916,6.86,2.79869,14.3,4.46088,23.9,5.80387,14,4.08289,17.7,2.6639,9.83,1.60921,8.95,24.2676,47.5,4.13824,64.6,8.66719,17,3.95276,10.8,2.72707,15.8,9.80982,12.9125,3.76613,4.3325,3.05879,5.0404,5.58532,8.7499,4.86983,12.6859,7.12105,27.2974,4.85218,2.5683,1.36076,10.8454,5.592,30.8654,3.37822,18.321,3.51787,16.9618,18.488,76.7387
27,2010-01-28,00:00:00.00,8.23608e-05,5.73032,29.1664,2.39358,36,0.976006,11.4,3.64497,7.5,7.49521,5.6,1.95818,9.5,1.25191,9.89,3.89522,7.53,1.46005,6.51,1.75868,4.45,0.967161,2.9,15.2556,30,2.24809,60.4,1.38359,18.6,2.95706,22.4,2.04236,19.1,8.71609,6.6545,3.27657,3.2848,2.78716,3.6529,5.35916,7.7305,3.21706,10.0242,5.88847,23.0499,4.58214,1.8264,1.07413,4.3325,5.38109,23.9277,2.83337,6.7394,2.36582,6.1448,17.586,52.103
28,2010-01-29,00:00:00.00,0,5.93284,12.6859,2.08909,25,0.83621,5.83,1.97537,6,7.15315,5.2,1.52028,5.2,0.97737,5.24,2.96538,4.46,1.43747,3.2,1.38021,2.96,0.733979,2.13,9.02439,20,1.71294,43.2,1.37983,9.51,2.28024,27.2,1.49664,9.69,8.3892,5.2386,3.03366,2.3673,2.55362,2.4466,4.98123,7.3057,2.57487,8.665,5.18192,16.9618,4.50338,1.481,0.924662,3.0582,5.1704,7.5606,2.35827,2.5797,1.75828,4.1059,17.2725,43.6079
29,2010-01-30,00:00:00.00,6.19961e-06,5.96131,7.2208,1.87184,17,0.747135,4.61,1.86204,4.5,6.47578,4.9,1.28523,4.1,1.11384,3.75,2.38764,3.5,1.4214,2.2,1.19995,2.57,0.688299,0.7,7.86462,14,1.64021,30,1.377,4.72,1.76506,24.3,1.14397,3.8,8.17219,4.021,2.85001,1.5121,2.36817,1.7471,4.61243,6.4562,2.47002,6.9376,4.83594,12.8558,4.4396,1.3111,0.87025,2.4211,4.89558,4.2475,2.05393,1.8689,1.51236,2.9733,17.6425,38.5109
30,2010-01-31,00:00:00.00,9.75876e-05,5.84135,5.805,1.70453,14.5,0.688332,4.48,1.85187,3.5,5.8162,4.7,1.15371,3.1,1.00282,2,2.05181,3.05,1.40581,1.5,1.08668,2.37,0.657494,0.25,6.99246,9.5,1.44985,21,1.37419,2.37,1.40169,12.4,0.944415,2.2,7.94308,3.1998,2.70743,1.2403,2.2329,1.5319,4.29458,6.0315,2.37736,7.0509,4.50247,11.9214,4.3152,1.212,0.845638,1.6905,4.61906,3.6812,1.88552,1.6424,1.38292,2.7212,17.7933,31.998
31,2010-02-01,00:00:00.00,0.00111867,5.61014,4.6156,1.57919,13,0.65139,4.19,1.84851,2.6,5.27498,4.6,1.07492,2.7,1.04457,1.6,1.89742,2.63,1.3907,1.32,1.01316,2.2,0.636001,0.19,6.2737,7,1.37274,14,1.37195,1.6,1.20927,7.15,0.851249,1.3,7.70339,2.5825,2.61432,1.0675,2.14174,1.362,4.05465,5.7483,2.35836,6.6545,4.29072,11.1285,4.15844,1.1525,0.83152,1.0845,4.37084,2.8317,1.80136,1.1893,1.31177,2.2795,17.7274,27.6372
