date,hour,02GA010,02GA018,02GA038,02GA047,02GB007,02GC002,02GC010,02GC018,02GD004,02GE007,02GG002,02GG003,02GG006,02GG009,02GG013,04159492,04159900,04160600,04161820,04164000,04165500,04166100,04177000,04196800,04197100,04207200,04208504,04213000,02GB001,02GB007,02GC002,02GC007,02GC018,02GC026,02GE007,02GG003,02GG009,02GG013,04159900,04160600,04165500,04166500,04174500,04176500,04177000,04193500,04195820,04198000,04199000,04199500,04200500,04208504,04209000,04212100,04213000,04213500,04214500,04215000,04215500
2013-02-03,00:00:00,54.2791083,21.8308708,10.3393792,25.0998958,12.4936417,10.3660542,10.1437708,8.8587458,11.6885458,2.8975458,23.4341875,34.0718500,3.8260417,8.0920000,1.5170917,47.9699625,18.1512750,15.5632750,31.4721958,41.1023958,65.5365625,3.5433167,2.0000875,10.7061750,6.4377000,6.4441125,72.6026375,21.1718958,257.2322542,12.4936417,10.3660542,19.8852500,8.8587458,24.5033167,2.8975458,34.0718500,8.0920000,1.5170917,18.1512750,15.5632750,65.5365625,9.3105208,87.4111000,49.0167875,2.0000875,335.1153667,16.6625292,60.0864917,15.1847458,11.2689708,18.6876417,72.6026375,10.1240750,60.4189708,21.1718958,73.1260333,20.7884708,8.8383333,18.1956708
2013-02-04,00:00:00,36.5887792,16.0682292,8.0294083,18.2193750,10.4687917,8.4382083,7.2241000,7.0356667,9.1538292,2.1964417,19.3786917,26.7680500,3.0896333,5.7813458,0.7767625,35.8466792,14.1287000,12.3222458,27.1239042,34.9131042,54.2866000,2.8043125,1.8166625,8.2084042,5.2257208,5.4453833,59.9144083,15.9460458,160.5021375,10.4687917,8.4382083,15.1017667,7.0356667,17.6046000,2.1964417,26.7680500,5.7813458,0.7767625,14.1287000,12.3222458,54.2866000,7.3190125,75.0307667,44.8093250,1.8166625,255.0459917,13.1797667,48.3002125,13.3308917,10.0798125,16.0286375,59.9144083,8.6970250,43.4448500,15.9460458,58.9150583,17.0073917,7.2519750,14.9497250
2013-02-05,00:00:00,26.0946875,13.0665000,6.7700333,14.7072875,8.9672167,7.2746917,5.9930458,6.0280208,7.5607000,1.8280625,16.6968667,22.9829958,2.7326000,4.8799917,0.4184083,27.4315042,11.3053333,10.0378250,23.4384417,29.7882667,45.7800583,2.3804333,1.6481667,6.9154333,4.4811125,4.5844375,48.3046500,12.5969417,115.4821000,8.9672167,7.2746917,12.4956958,6.0280208,14.3978500,1.8280625,22.9829958,4.8799917,0.4184083,11.3053333,10.0378250,45.7800583,6.2146792,64.6602875,41.3303333,1.6481667,213.1364125,10.9345042,39.9652708,12.0020208,9.0675958,14.1769542,48.3046500,7.6118500,35.4718000,12.5969417,47.6611917,14.0321375,6.0792667,12.5048750
2013-02-06,00:00:00,22.0909208,11.4190458,5.9741208,12.5997458,7.8876000,6.5079792,5.3452125,5.3878417,6.4830500,1.6182542,14.7798958,20.4034208,2.5338667,4.3944417,0.2380250,23.1969000,9.4448042,8.4915042,20.3577125,25.9682833,39.9098833,2.0813167,1.4808958,5.9798792,3.9562667,3.9745625,40.7093208,10.2490417,97.8207792,7.8876000,6.5079792,10.9475083,5.3878417,12.6441917,1.6182542,20.4034208,4.3944417,0.2380250,9.4448042,8.4915042,39.9098833,5.3760542,54.8983417,36.5361875,1.4808958,180.2361833,9.3599708,34.4148375,10.7835625,8.2013292,12.6387625,40.7093208,6.7737833,30.9812417,10.2490417,39.4174208,11.9027833,5.2202083,10.7283000
2013-02-07,00:00:00,19.7052292,10.3079583,5.3840333,11.2797750,7.1155917,5.9316792,4.8608708,4.9210708,5.7130958,1.4667583,13.2936333,18.1242667,2.3507333,4.0579292,0.1465875,20.3956875,8.2748708,7.3594042,17.7637667,22.7609042,35.2146208,1.8793250,1.3397417,5.3232333,3.5769292,3.4831417,35.2669750,9.0055125,86.8444625,7.1155917,5.9316792,9.8089917,4.9210708,11.3663750,1.4667583,18.1242667,4.0579292,0.1465875,8.2748708,7.3594042,35.2146208,4.8160917,47.1520250,32.1031875,1.3397417,154.8971208,8.2653292,30.5797917,9.8628167,7.4639417,11.4417875,35.2669750,6.1209333,27.7524375,9.0055125,33.2600083,10.3199167,4.5752333,9.4048250
2013-02-08,00:00:00,17.8494125,9.3833292,4.9022125,11.7142167,6.6538667,6.9730042,4.6260375,7.6216125,5.2259875,2.4399708,12.3332292,21.2526375,2.2221042,4.0723708,0.1896167,18.3362625,7.4261958,6.5705750,16.9701667,21.2722375,32.7697250,2.0808750,1.7172250,4.9006250,3.2768042,4.2636458,39.0126917,9.9672583,79.1349708,6.6538667,6.9730042,12.6745208,7.6216125,13.3712625,2.4399708,21.2526375,4.0723708,0.1896167,7.4261958,6.5705750,32.7697250,4.7988542,42.8252792,28.2739042,1.7172250,138.0168333,7.5488208,28.3140583,9.2635167,6.9503208,10.8261583,39.0126917,5.7392042,27.5961625,9.9672583,34.1078875,13.7715083,7.3296375,14.2854750
2013-02-09,00:00:00,16.3849542,8.6384333,4.5249667,10.2475417,6.0400583,6.4677042,4.4994875,8.3723792,4.7714042,1.8681458,12.7130208,20.8568042,2.4114458,4.1943750,1.1190167,16.7266167,6.8315875,6.0032708,15.6841083,20.1026958,30.6181167,1.6404417,1.2442875,5.1285250,3.2169417,4.1868833,37.6303417,12.5409875,77.6640167,6.0400583,6.4677042,12.1211375,8.3723792,13.8118583,1.8681458,20.8568042,4.1943750,1.1190167,6.8315875,6.0032708,30.6181167,4.0945208,38.2674167,25.6198125,1.2442875,125.7452625,7.4826583,26.5990333,8.5857250,6.4894250,9.9423792,37.6303417,5.3131167,47.2134167,12.5409875,52.3297042,19.0853917,10.3028625,18.7292208
2013-02-10,00:00:00,15.1296417,7.9999625,4.1871375,9.0032875,5.5653083,6.9546458,4.3302250,8.1585750,4.4277917,1.7001833,12.7947875,20.4653458,2.4086708,4.3361458,0.3304500,15.4068750,6.2290917,5.4916042,12.9944792,16.8717250,26.4586375,1.6031625,1.3629083,5.8136167,3.3080625,3.6150500,34.6212083,13.8475667,69.8563125,5.5653083,6.9546458,12.1019083,8.1585750,14.0233458,1.7001833,20.4653458,4.3361458,0.3304500,6.2290917,5.4916042,26.4586375,3.8241417,33.6693833,23.3891792,1.3629083,117.8906583,8.0340875,27.5146167,8.3454750,6.1979208,9.8366125,34.6212083,5.2380458,37.9359042,13.8475667,49.9543750,20.3176750,9.4056833,18.8501208
2013-02-11,00:00:00,14.5358667,7.4954667,3.8992917,11.1091333,6.4638125,8.6270042,4.5494208,11.3026417,4.1796583,3.2849750,12.2111042,24.3065417,2.2276083,4.9339792,1.0895333,14.3937333,5.7907750,5.1826750,16.6756917,25.0226667,36.1542625,4.8581792,3.4163000,6.0391333,3.3895583,4.8610333,48.6772917,11.9796667,65.7750917,6.4638125,8.6270042,12.4578042,11.3026417,14.7585292,3.2849750,24.3065417,4.9339792,1.0895333,5.7907750,5.1826750,36.1542625,12.3497875,36.1181250,22.0274167,3.4163000,124.7335083,9.0438792,32.0437042,9.7760083,6.8760375,11.3009417,48.6772917,5.8521833,35.1682833,11.9796667,46.3313500,18.2789583,8.7991958,17.4506833
2013-02-12,00:00:00,14.8034417,7.1533167,3.9335500,11.3059458,5.6076333,8.5009875,5.4278625,10.0364000,4.1839333,2.4328500,12.6850417,23.8088458,2.4612542,4.7186125,1.8152292,13.7293208,5.9095500,5.2064208,15.1272083,20.6759667,31.0751375,1.9508583,1.8077125,6.1609292,3.9585667,4.7002333,45.4301083,11.7494000,71.7093833,5.6076333,8.5009875,13.5665083,10.0364000,15.5925667,2.4328500,23.8088458,4.7186125,1.8152292,5.9095500,5.2064208,31.0751375,5.3501833,38.1087667,24.9817458,1.8077125,145.2479292,11.4477917,31.2467917,9.3306458,7.4931417,12.4662750,45.4301083,6.9930292,35.5882375,11.7494000,44.8190750,16.9461167,8.1464792,15.8789625
2013-02-13,00:00:00,14.5042208,7.3708833,4.1324458,11.5374625,6.0593333,8.9746042,5.5740458,9.1297333,4.2879583,2.3299000,12.5089292,21.7523750,2.4469125,4.9641167,0.9813125,13.2562583,5.7805375,5.1566917,11.8702250,16.0476167,25.2749792,1.7923667,1.6901208,5.7535958,4.0840208,4.2497500,41.3403042,11.8321708,69.8118333,6.0593333,8.9746042,13.5169625,9.1297333,15.6930417,2.3299000,21.7523750,4.9641167,0.9813125,5.7805375,5.1566917,25.2749792,4.6596583,34.8347917,23.7786500,1.6901208,158.6291333,13.7320042,32.4135708,10.2217458,7.5454708,13.3799042,41.3403042,6.9330583,35.9532500,11.8321708,41.4703833,15.3507875,7.3569875,14.2013958
2013-02-14,00:00:00,14.4474667,7.1708625,3.8626625,11.0853875,6.1429042,8.3405792,4.9424917,7.6592375,4.1580083,1.9684458,11.4611250,18.8129708,2.0841167,4.5475208,0.8630625,12.7186208,5.5006375,4.9460458,12.4329500,16.5655000,25.3565542,2.8954417,1.6300917,4.8529583,3.6144750,4.3961250,42.9803167,10.4307208,68.8358667,6.1429042,8.3405792,12.1021625,7.6592375,13.8993458,1.9684458,18.8129708,4.5475208,0.8630625,5.5006375,4.9460458,25.3565542,5.6512833,35.1145083,23.5168458,1.6300917,170.9181542,12.4493375,29.8739417,10.1205833,7.8341000,13.6215208,42.9803167,7.1372875,32.9424500,10.4307208,37.5346708,13.6030375,6.4763125,12.5645125
2013-02-15,00:00:00,14.1747667,6.8204667,3.8017000,11.1994667,6.0395583,7.7415000,4.4706042,7.3032042,4.1005250,1.7290000,10.8818833,19.3184833,1.9672375,4.5906792,1.7995750,12.1689458,5.2118167,4.7811500,14.6718375,22.3127167,33.2680958,3.4162708,1.5224000,4.0249083,3.1258458,4.5605750,42.2749500,9.2516042,67.9388833,6.0395583,7.7415000,10.6998042,7.3032042,12.3798083,1.7290000,19.3184833,4.5906792,1.7995750,5.2118167,4.7811500,33.2680958,8.8815958,35.7297417,24.9727875,1.5224000,158.9035292,10.3334250,26.2908333,9.4539625,7.5190833,12.7425083,42.2749500,6.7375083,29.4405208,9.2516042,33.3331083,12.0156208,5.6941167,11.1263292
