time,date,hour,precip [mm/day],sub7068 [m3/s],sub7068 (observed) [m3/s],sub7070 [m3/s]
125,2000-05-05,00:00:00.00,0.0724246,2.25542,1.55,1.68115
126,2000-05-06,00:00:00.00,1.83805,2.14637,1.46,1.60001
127,2000-05-07,00:00:00.00,0.182899,2.05176,1.37,1.52927
128,2000-05-08,00:00:00.00,4.49755,2.00071,1.27,1.49106
129,2000-05-09,00:00:00.00,5.31524,2.07696,1.15,1.54797
130,2000-05-10,00:00:00.00,8.84759,2.39202,1.11,1.78338
131,2000-05-11,00:00:00.00,22.2674,3.63731,1.48,2.71494
132,2000-05-12,00:00:00.00,0.926358,5.63103,1.86,4.209
133,2000-05-13,00:00:00.00,4.57718,5.64223,6.18,4.22145
134,2000-05-14,00:00:00.00,9.39404,4.72521,34.2,3.54045
135,2000-05-15,00:00:00.00,0.00949223,5.05872,30,3.79451
136,2000-05-16,00:00:00.00,0.0305587,4.8695,15.5,3.65104
137,2000-05-17,00:00:00.00,1.98819,4.17459,7.75,3.1262
138,2000-05-18,00:00:00.00,0.05136,3.79734,5.5,2.84097
139,2000-05-19,00:00:00.00,23.447,4.67883,25.8,3.48609
140,2000-05-20,00:00:00.00,4.09354,7.47241,41.6,5.53922
141,2000-05-21,00:00:00.00,0.0729622,8.08351,32.7,5.98686
142,2000-05-22,00:00:00.00,0.164877,6.31991,20.2,4.68585
143,2000-05-23,00:00:00.00,0.168484,5.38921,10.1,3.99537
144,2000-05-24,00:00:00.00,3.93835,4.9171,6.2,3.64279
145,2000-05-25,00:00:00.00,2.347,4.66915,7.44,3.45468
146,2000-05-26,00:00:00.00,0.36639,4.3316,6.07,3.20365
147,2000-05-27,00:00:00.00,0.0709434,3.91789,4.67,2.89892
148,2000-05-28,00:00:00.00,0.113505,3.61325,3.68,2.67373
149,2000-05-29,00:00:00.00,0.0688208,3.3575,3.06,2.48453
150,2000-05-30,00:00:00.00,0.144765,3.13357,2.66,2.31891
151,2000-05-31,00:00:00.00,0.0529091,2.93557,2.34,2.17247
152,2000-06-01,00:00:00.00,6.12073,2.84117,2.08,2.10628
153,2000-06-02,00:00:00.00,0.168208,2.87816,1.94,2.14224
154,2000-06-03,00:00:00.00,2.48239,2.76365,3.33,2.05879
155,2000-06-04,00:00:00.00,0.0130473,2.528,3.05,1.87974
156,2000-06-05,00:00:00.00,0.00563989,2.38138,1.9,1.76985
157,2000-06-06,00:00:00.00,1.44882,2.26006,1.75,1.67938
158,2000-06-07,00:00:00.00,0.296452,2.14988,1.7,1.59723
159,2000-06-08,00:00:00.00,0.0919436,2.04891,1.79,1.52198
160,2000-06-09,00:00:00.00,0.181757,1.95523,1.52,1.45218
161,2000-06-10,00:00:00.00,3.35459,1.8842,1.37,1.39902
162,2000-06-11,00:00:00.00,0.0297032,1.84269,1.5,1.36746
163,2000-06-12,00:00:00.00,14.4282,2.05115,6.09,1.52629
164,2000-06-13,00:00:00.00,0.470592,2.65859,12.1,1.98825
165,2000-06-14,00:00:00.00,33.0547,3.84084,22.5,2.87373
166,2000-06-15,00:00:00.00,8.88286,6.63798,32.6,4.96391
167,2000-06-16,00:00:00.00,5.7498,7.69442,27,5.77822
168,2000-06-17,00:00:00.00,0.065626,6.36711,17.6,4.82199
169,2000-06-18,00:00:00.00,0.122486,5.52445,21.2,4.18879
170,2000-06-19,00:00:00.00,0.625456,4.79391,10.9,3.61903
171,2000-06-20,00:00:00.00,0.035188,4.31379,7.44,3.2495
172,2000-06-21,00:00:00.00,0.0238296,3.93208,5.23,2.9576
173,2000-06-22,00:00:00.00,19.7238,4.45554,4.56,3.34951
174,2000-06-23,00:00:00.00,0.0323535,6.22911,4.53,4.68296
175,2000-06-24,00:00:00.00,0.0122935,6.33976,3.61,4.76501
176,2000-06-25,00:00:00.00,4.05097,5.00719,2.83,3.7596
177,2000-06-26,00:00:00.00,94.1816,15.5159,24.5,11.4481
178,2000-06-27,00:00:00.00,0.153085,47.4869,45.1,34.7905
179,2000-06-28,00:00:00.00,2.59646,49.2901,36.3,36.0935
180,2000-06-29,00:00:00.00,0.0321053,24.2715,25.5,17.8298
181,2000-06-30,00:00:00.00,10.2377,17.4117,14.7,12.7863
182,2000-07-01,00:00:00.00,0.00724419,15.9747,13.5,11.6917
183,2000-07-02,00:00:00.00,0.0322322,13.6512,6.82,9.98573
