time,date,hour,precip [mm/day],sub7064 [m3/s],sub7064 (observed) [m3/s],sub7068 [m3/s],sub7070 [m3/s],sub7071 [m3/s]
112,2000-04-22,00:00:00.00,9.50864,12.1433,28.8,4.17289,3.14156,2.28706
113,2000-04-23,00:00:00.00,0.725294,13.7418,44.5,4.73582,3.56652,2.53909
114,2000-04-24,00:00:00.00,0.0109881,11.4761,28.5,3.96237,2.97985,2.1091
115,2000-04-25,00:00:00.00,0.00395482,9.82492,17.1,3.38838,2.54683,1.82284
116,2000-04-26,00:00:00.00,0.0215164,9.30832,12.7,3.21333,2.41342,1.72807
117,2000-04-27,00:00:00.00,0.0187827,8.86529,10.6,3.06332,2.2992,1.64637
118,2000-04-28,00:00:00.00,0.0277214,8.461,8.73,2.92614,2.19495,1.57177
119,2000-04-29,00:00:00.00,0.230039,8.08816,7.73,2.79947,2.09887,1.50302
120,2000-04-30,00:00:00.00,0.0343682,7.74117,7.09,2.68142,2.00949,1.43915
121,2000-05-01,00:00:00.00,0.00213858,7.4182,6.46,2.57135,1.92622,1.37967
122,2000-05-02,00:00:00.00,3.33099,7.21896,6.08,2.51931,1.88323,1.34678
123,2000-05-03,00:00:00.00,0.0728863,7.09692,6.2,2.50198,1.86456,1.33007
124,2000-05-04,00:00:00.00,0.152768,6.81146,6.26,2.39934,1.78832,1.27621
125,2000-05-05,00:00:00.00,0.0680515,6.47621,5.94,2.27003,1.69419,1.21088
126,2000-05-06,00:00:00.00,1.99818,6.23019,5.6,2.18374,1.62956,1.16491
127,2000-05-07,00:00:00.00,0.119621,6.00237,5.35,2.10402,1.56983,1.12239
128,2000-05-08,00:00:00.00,4.32624,5.92407,5.02,2.07929,1.55108,1.09898
129,2000-05-09,00:00:00.00,5.79157,6.25489,4.8,2.1813,1.62708,1.13059
130,2000-05-10,00:00:00.00,8.45117,7.2862,4.57,2.53355,1.8898,1.30785
131,2000-05-11,00:00:00.00,22.3125,11.1512,5.95,3.92158,2.92755,2.03777
132,2000-05-12,00:00:00.00,0.716484,15.2013,7.8,5.35068,3.99753,2.78229
133,2000-05-13,00:00:00.00,4.31548,13.5397,24.2,4.75984,3.5596,2.47074
134,2000-05-14,00:00:00.00,10.03,11.936,90.7,4.1656,3.12143,2.14135
135,2000-05-15,00:00:00.00,0.0113352,13.2388,91.9,4.55506,3.41534,2.32386
136,2000-05-16,00:00:00.00,0.0454182,12.3326,39.3,4.24128,3.17817,2.17012
137,2000-05-17,00:00:00.00,1.8452,10.7399,20.8,3.71849,2.78415,1.91291
138,2000-05-18,00:00:00.00,0.0440025,10.0806,15.9,3.49493,2.61505,1.80109
139,2000-05-19,00:00:00.00,24.6814,14.0476,54,4.77992,3.55853,2.45635
140,2000-05-20,00:00:00.00,3.74443,20.7388,106,6.98799,5.18178,3.57438
141,2000-05-21,00:00:00.00,0.046137,19.7841,65.3,6.7088,4.97564,3.42069
142,2000-05-22,00:00:00.00,0.0902275,15.4688,35.6,5.28361,3.9249,2.69709
143,2000-05-23,00:00:00.00,0.104106,13.9554,19.2,4.76776,3.54062,2.44372
144,2000-05-24,00:00:00.00,4,13.221,13,4.52366,3.35623,2.31832
145,2000-05-25,00:00:00.00,2.22278,12.7899,17.7,4.37959,3.24536,2.24067
146,2000-05-26,00:00:00.00,0.271572,11.9275,16.8,4.09206,3.03194,2.09705
147,2000-05-27,00:00:00.00,0.0647929,10.9816,13.7,3.77596,2.79867,1.94082
148,2000-05-28,00:00:00.00,0.0926003,10.3096,11.2,3.55079,2.63154,1.82772
149,2000-05-29,00:00:00.00,0.0491592,9.71051,9.7,3.34929,2.482,1.72616
150,2000-05-30,00:00:00.00,0.13384,9.17237,8.57,3.16766,2.34726,1.63437
151,2000-05-31,00:00:00.00,0.048195,8.68446,7.92,3.00249,2.22475,1.55065
152,2000-06-01,00:00:00.00,5.18548,8.45847,7.26,2.96267,2.19992,1.5309
