time,date,hour,precip [mm/day],sub7059 [m3/s],sub7059 (observed) [m3/s],sub7063 [m3/s]
219,2000-08-07,00:00:00.00,0.249281,7.41285,23.6,2.11504
220,2000-08-08,00:00:00.00,2.82475,7.38985,20.7,2.09233
221,2000-08-09,00:00:00.00,0.669392,7.24986,18.2,2.07414
222,2000-08-10,00:00:00.00,9.37171,7.15675,15,2.0611
223,2000-08-11,00:00:00.00,0.944586,7.18404,12.7,2.05822
224,2000-08-12,00:00:00.00,0.237083,7.19661,11.6,2.06844
225,2000-08-13,00:00:00.00,0.051472,7.14877,10.1,2.0755
226,2000-08-14,00:00:00.00,0.0513021,7.03794,9.42,2.05605
227,2000-08-15,00:00:00.00,0.32992,6.94361,8.28,2.02135
228,2000-08-16,00:00:00.00,2.34312,6.85268,7.18,1.99347
229,2000-08-17,00:00:00.00,0.319299,6.80969,6.45,1.97459
230,2000-08-18,00:00:00.00,0.212251,6.84268,5.9,1.96047
231,2000-08-19,00:00:00.00,0.343251,6.78994,5.44,1.94683
232,2000-08-20,00:00:00.00,0.343968,6.75615,5.05,1.93338
233,2000-08-21,00:00:00.00,0.492966,6.72528,4.64,1.92012
234,2000-08-22,00:00:00.00,1.798,6.64186,4.3,1.90703
235,2000-08-23,00:00:00.00,0.29164,6.57315,4.02,1.89413
236,2000-08-24,00:00:00.00,23.6194,6.53752,4.2,1.89212
237,2000-08-25,00:00:00.00,0.0319888,6.59773,4.29,1.9314
238,2000-08-26,00:00:00.00,0.070739,6.78424,4.29,2.02565
239,2000-08-27,00:00:00.00,4.71594,6.98891,4.05,2.10856
240,2000-08-28,00:00:00.00,0.74806,6.97582,4.05,2.08756
241,2000-08-29,00:00:00.00,0.0666721,6.77281,3.74,2.01371
242,2000-08-30,00:00:00.00,0.040094,6.5725,3.48,1.96506
243,2000-08-31,00:00:00.00,0.924722,6.46386,3.32,1.92619
244,2000-09-01,00:00:00.00,0.0464993,6.36488,3.19,1.8906
245,2000-09-02,00:00:00.00,1.66852,6.253,3.06,1.86338
246,2000-09-03,00:00:00.00,1.16017,6.28381,2.93,1.84579
247,2000-09-04,00:00:00.00,5.83334,6.3212,2.89,1.83555
248,2000-09-05,00:00:00.00,2.42548,6.31249,2.86,1.8344
249,2000-09-06,00:00:00.00,0.517226,6.3487,2.73,1.84486
250,2000-09-07,00:00:00.00,0.47254,6.34969,2.63,1.85252
251,2000-09-08,00:00:00.00,0.0338905,6.27,2.56,1.83648
252,2000-09-09,00:00:00.00,0.554179,6.21878,2.46,1.80661
253,2000-09-10,00:00:00.00,0.0199507,6.15177,2.31,1.78283
254,2000-09-11,00:00:00.00,1.50084,6.05124,2.29,1.76717
255,2000-09-12,00:00:00.00,1.36285,6.00263,3.07,1.75578
256,2000-09-13,00:00:00.00,12.8485,5.99325,3.61,1.75122
257,2000-09-14,00:00:00.00,0.0243881,6.05421,3.82,1.77136
258,2000-09-15,00:00:00.00,13.4686,6.25466,3.63,1.83505
259,2000-09-16,00:00:00.00,3.22399,6.59687,4.01,1.93301
260,2000-09-17,00:00:00.00,0.283478,6.945,4.27,2.02133
261,2000-09-18,00:00:00.00,0.926442,7.13046,4.28,2.05981
262,2000-09-19,00:00:00.00,0.0274012,6.97134,4.04,1.99864
263,2000-09-20,00:00:00.00,0.0520784,6.61069,4.15,1.8839
264,2000-09-21,00:00:00.00,1.39116,6.31458,3.86,1.80509
265,2000-09-22,00:00:00.00,10.7173,6.21888,3.65,1.77929
266,2000-09-23,00:00:00.00,1.79186,6.37948,3.82,1.82048
267,2000-09-24,00:00:00.00,9.12867,6.74046,4.02,1.93269
268,2000-09-25,00:00:00.00,0.0478871,7.23273,4.57,2.06801
269,2000-09-26,00:00:00.00,0.164176,7.56397,4.56,2.13155
270,2000-09-27,00:00:00.00,0.160306,7.59967,4.2,2.11129
271,2000-09-28,00:00:00.00,0.730626,7.33553,3.87,2.0182
272,2000-09-29,00:00:00.00,0.51518,6.95847,3.58,1.90502
273,2000-09-30,00:00:00.00,0.52486,6.68222,3.29,1.83854
274,2000-10-01,00:00:00.00,0.000213064,6.48661,3.13,1.80776
275,2000-10-02,00:00:00.00,0.205526,6.37523,2.95,1.79497
276,2000-10-03,00:00:00.00,1.36615,6.29106,2.83,1.78324
277,2000-10-04,00:00:00.00,0.481959,6.26564,2.72,1.77158
278,2000-10-05,00:00:00.00,0.830128,6.27448,2.71,1.76016
279,2000-10-06,00:00:00.00,0.0460204,6.26011,2.67,1.74908
280,2000-10-07,00:00:00.00,2.59207,6.27446,2.61,1.74089
281,2000-10-08,00:00:00.00,13.5321,6.38969,2.78,1.76136
282,2000-10-09,00:00:00.00,1.1083,6.74084,3.3,1.86616
283,2000-10-10,00:00:00.00,0.0605649,7.38297,3.83,2.06249
284,2000-10-11,00:00:00.00,0.106063,7.88056,3.89,2.20796
285,2000-10-12,00:00:00.00,0.0847452,7.70326,3.72,2.14024
286,2000-10-13,00:00:00.00,0.414084,7.13251,3.59,1.96344
287,2000-10-14,00:00:00.00,2.42653,6.71724,3.46,1.84712
288,2000-10-15,00:00:00.00,2.66743,6.55147,3.4,1.81321
289,2000-10-16,00:00:00.00,0.877392,6.56735,3.42,1.83723
290,2000-10-17,00:00:00.00,4.31071,6.65623,3.44,1.88016
291,2000-10-18,00:00:00.00,1.99352,6.75458,3.45,1.91386
292,2000-10-19,00:00:00.00,1.22089,6.85434,3.7,1.93381
293,2000-10-20,00:00:00.00,0.171661,6.93902,3.62,1.95192
294,2000-10-21,00:00:00.00,0.129988,6.87198,3.46,1.94147
295,2000-10-22,00:00:00.00,0.0492733,6.67754,3.45,1.89071
296,2000-10-23,00:00:00.00,0.222944,6.53717,3.35,1.83381
297,2000-10-24,00:00:00.00,0.865238,6.43358,3.24,1.79516
298,2000-10-25,00:00:00.00,1.21585,6.34984,3.2,1.77504
299,2000-10-26,00:00:00.00,0.0150275,6.29411,3.15,1.76268
300,2000-10-27,00:00:00.00,0.450649,6.2509,3.06,1.75216
301,2000-10-28,00:00:00.00,9.64285,6.25927,3.04,1.75891
302,2000-10-29,00:00:00.00,1.67822,6.46941,3.12,1.83072
303,2000-10-30,00:00:00.00,0.648019,6.93056,3.26,1.98971
304,2000-10-31,00:00:00.00,0.220299,7.33519,3.32,2.12862
305,2000-11-01,00:00:00.00,0.14995,7.26778,3.28,2.0896
306,2000-11-02,00:00:00.00,0.060625,6.87903,4.02,1.94777
307,2000-11-03,00:00:00.00,0.338298,6.56817,3.62,1.84993
308,2000-11-04,00:00:00.00,0.803025,6.40401,3.11,1.80412
309,2000-11-05,00:00:00.00,0.0863519,6.36186,3.03,1.7848
310,2000-11-06,00:00:00.00,0.11118,6.36014,2.98,1.76954
311,2000-11-07,00:00:00.00,0.0178015,6.32971,2.92,1.75738
