time,date,hour,precip [mm/day],sub7153 [m3/s],sub7154 [m3/s],sub7154 (observed) [m3/s]
159,2000-06-08,00:00:00.00,0.0564229,3.08821,45.5359,20.3
160,2000-06-09,00:00:00.00,0.0593923,3.15337,45.4306,17.2
161,2000-06-10,00:00:00.00,0.0210015,3.0113,43.2671,14.9
162,2000-06-11,00:00:00.00,0.0656295,2.75428,39.873,14
163,2000-06-12,00:00:00.00,18.2737,2.57515,37.5383,14
164,2000-06-13,00:00:00.00,0.668141,2.61813,38.5355,46.1
165,2000-06-14,00:00:00.00,25.909,3.09175,46.1715,202
166,2000-06-15,00:00:00.00,7.17569,3.99046,59.8511,266
167,2000-06-16,00:00:00.00,7.81171,5.37115,78.8624,286
168,2000-06-17,00:00:00.00,0.562065,6.81809,96.2618,281
169,2000-06-18,00:00:00.00,0.11922,7.34135,99.3158,213
170,2000-06-19,00:00:00.00,4.62158,6.88637,90.7334,134
171,2000-06-20,00:00:00.00,0.0433666,6.02229,79.3156,101
172,2000-06-21,00:00:00.00,0.0212333,5.27894,70.1253,81.4
173,2000-06-22,00:00:00.00,12.9462,4.83026,64.638,66.3
174,2000-06-23,00:00:00.00,0.379452,4.63782,62.5216,60.8
175,2000-06-24,00:00:00.00,0.037738,4.87633,66.1179,60.3
176,2000-06-25,00:00:00.00,1.58585,5.10132,69.5141,49.5
177,2000-06-26,00:00:00.00,29.2634,4.89007,67.1557,45.5
178,2000-06-27,00:00:00.00,1.34718,4.99541,69.7502,65.8
179,2000-06-28,00:00:00.00,2.94352,6.29498,90.3947,133
180,2000-06-29,00:00:00.00,0.0798927,7.5388,110.269,143
181,2000-06-30,00:00:00.00,13.0763,7.18093,105.445,114
182,2000-07-01,00:00:00.00,0.017969,6.31293,92.9183,110
183,2000-07-02,00:00:00.00,0.0155473,6.12695,91.5946,77.2
184,2000-07-03,00:00:00.00,0.0164292,6.0842,92.3758,53.9
185,2000-07-04,00:00:00.00,40.1755,5.72652,87.8763,48.6
186,2000-07-05,00:00:00.00,0.120269,5.94416,95.0793,59.4
187,2000-07-06,00:00:00.00,0.0666042,7.86929,138.076,54.2
188,2000-07-07,00:00:00.00,0.0507296,9.63197,176.924,47.1
189,2000-07-08,00:00:00.00,0.00731448,8.92012,161.523,35.6
190,2000-07-09,00:00:00.00,0.455135,7.18201,125.259,30.8
191,2000-07-10,00:00:00.00,7.21294,5.92334,100.742,28.2
192,2000-07-11,00:00:00.00,0.152083,5.09884,86.1762,54.9
193,2000-07-12,00:00:00.00,0.0249188,4.57679,78.9472,252
194,2000-07-13,00:00:00.00,0.023017,4.1719,73.574,401
195,2000-07-14,00:00:00.00,0.0450689,3.80139,66.7515,463
196,2000-07-15,00:00:00.00,8.71581,3.49354,60.1824,370
197,2000-07-16,00:00:00.00,2.53997,3.33635,56.4214,166
198,2000-07-17,00:00:00.00,0.710229,3.38686,56.3259,83.7
199,2000-07-18,00:00:00.00,0.101357,3.44159,56.554,65.3
200,2000-07-19,00:00:00.00,0.037001,3.26173,53.2631,62.5
201,2000-07-20,00:00:00.00,0.133987,2.97051,48.3531,63.6
202,2000-07-21,00:00:00.00,1.25988,2.72371,44.1998,60.2
203,2000-07-22,00:00:00.00,0.262322,2.53049,40.9298,52.3
204,2000-07-23,00:00:00.00,0.0757381,2.37657,38.3159,43.6
205,2000-07-24,00:00:00.00,0.323325,2.24153,36.0393,37.4
206,2000-07-25,00:00:00.00,0.00780181,2.12029,34.0087,33.3
207,2000-07-26,00:00:00.00,0.0152695,2.01069,32.1811,28.8
208,2000-07-27,00:00:00.00,0.0393051,1.91103,30.5242,26.7
209,2000-07-28,00:00:00.00,0.246693,1.81986,29.0132,28.8
210,2000-07-29,00:00:00.00,6.00751,1.74245,27.7395,26.5
211,2000-07-30,00:00:00.00,4.49323,1.70408,27.0978,25.9
212,2000-07-31,00:00:00.00,14.1271,1.75618,27.9259,62
213,2000-08-01,00:00:00.00,7.88631,1.93588,31.047,91.9
214,2000-08-02,00:00:00.00,5.56992,2.23108,37.0837,99.7
215,2000-08-03,00:00:00.00,8.76875,2.53901,44.184,89.3
216,2000-08-04,00:00:00.00,1.05108,2.69461,48.2103,193
217,2000-08-05,00:00:00.00,0.510117,2.70043,49.0531,236
218,2000-08-06,00:00:00.00,0.094788,2.61995,47.7414,164
219,2000-08-07,00:00:00.00,7.82218,2.45492,44.2109,93.2
220,2000-08-08,00:00:00.00,2.8228,2.33154,41.2333,63
221,2000-08-09,00:00:00.00,0.551696,2.35687,40.8572,49.9
222,2000-08-10,00:00:00.00,7.88798,2.42493,41.2984,44.8
223,2000-08-11,00:00:00.00,0.0432913,2.43715,40.7988,52.9
224,2000-08-12,00:00:00.00,0.0923198,2.51093,41.0041,110
225,2000-08-13,00:00:00.00,0.0336823,2.59111,41.3512,102
226,2000-08-14,00:00:00.00,0.0714446,2.48129,39.3166,67
227,2000-08-15,00:00:00.00,0.0521527,2.27334,36.1228,47.9
228,2000-08-16,00:00:00.00,2.59854,2.09847,33.4239,40.7
229,2000-08-17,00:00:00.00,0.435229,1.96715,31.3323,34.7
230,2000-08-18,00:00:00.00,3.02614,1.86682,29.7508,30.8
231,2000-08-19,00:00:00.00,0.168743,1.7784,28.6419,27.7
232,2000-08-20,00:00:00.00,0.172722,1.69794,28.1187,25.5
233,2000-08-21,00:00:00.00,1.10064,1.62414,27.6556,23.6
234,2000-08-22,00:00:00.00,1.19547,1.55612,26.5866,21.8
235,2000-08-23,00:00:00.00,0.0590904,1.49329,25.227,20.8
236,2000-08-24,00:00:00.00,9.89998,1.45087,24.2524,19.3
237,2000-08-25,00:00:00.00,0.0217325,1.47849,24.3893,16.9
238,2000-08-26,00:00:00.00,0.637815,1.61873,26.2154,17.3
239,2000-08-27,00:00:00.00,0.521591,1.75479,27.9983,16.8
240,2000-08-28,00:00:00.00,2.78483,1.72006,27.3659,17.3
241,2000-08-29,00:00:00.00,0.0506187,1.58741,25.4216,47.2
242,2000-08-30,00:00:00.00,0.0168738,1.48068,23.9563,37.7
243,2000-08-31,00:00:00.00,0.140712,1.40879,22.9774,25.6
244,2000-09-01,00:00:00.00,0.0564943,1.35453,22.0945,19.2
245,2000-09-02,00:00:00.00,0.231893,1.30263,21.1628,15.3
246,2000-09-03,00:00:00.00,0.201317,1.25443,20.3091,14.4
247,2000-09-04,00:00:00.00,3.76163,1.21034,19.5571,13.5
248,2000-09-05,00:00:00.00,6.23301,1.17673,19.013,13.4
249,2000-09-06,00:00:00.00,0.0456064,1.17293,18.9689,25.7
250,2000-09-07,00:00:00.00,0.0209213,1.2124,19.5808,25.1
251,2000-09-08,00:00:00.00,0.0135035,1.24894,20.0809,19.7
252,2000-09-09,00:00:00.00,6.62735,1.22643,19.6536,17.8
253,2000-09-10,00:00:00.00,6.55349,1.20232,19.1897,17.5
254,2000-09-11,00:00:00.00,11.1359,1.28272,20.2298,17
255,2000-09-12,00:00:00.00,0.041121,1.49499,23.1978,16.9
256,2000-09-13,00:00:00.00,18.9706,1.77534,27.4703,19.6
257,2000-09-14,00:00:00.00,0.183444,2.04619,32.2251,17.9
258,2000-09-15,00:00:00.00,18.3582,2.37321,38.5052,17.6
259,2000-09-16,00:00:00.00,5.25388,2.81279,46.7987,17.5
260,2000-09-17,00:00:00.00,0.294604,3.3254,56.2159,24.3
261,2000-09-18,00:00:00.00,0.143928,3.73899,63.7641,43.3
262,2000-09-19,00:00:00.00,0.0306178,3.6825,62.7903,55.6
263,2000-09-20,00:00:00.00,0.0562672,3.26914,55.3552,43.3
264,2000-09-21,00:00:00.00,4.43077,2.89155,48.5974,29.4
265,2000-09-22,00:00:00.00,7.14283,2.65531,44.4998,26.7
266,2000-09-23,00:00:00.00,1.49396,2.59624,43.7574,27.2
267,2000-09-24,00:00:00.00,24.7947,2.76606,46.9221,35.4
268,2000-09-25,00:00:00.00,2.02875,3.25915,54.9615,128
