time,date,hour,precip [mm/day],sub7078 [m3/s],sub7079 [m3/s],sub7080 [m3/s],sub7081 [m3/s],sub7082 [m3/s],sub7082 (observed) [m3/s]
71,2000-03-12,00:00:00.00,0.370034,12.972,8.36146,3.99291,7.73472,49.3196,30.7
72,2000-03-13,00:00:00.00,0.664498,11.5171,7.33427,3.5366,6.84634,44.0523,26.9
73,2000-03-14,00:00:00.00,1.37308,10.5358,6.61453,3.23386,6.25314,40.3416,23.6
74,2000-03-15,00:00:00.00,2.43532,10.0319,6.23121,3.06715,5.93363,38.482,21.6
75,2000-03-16,00:00:00.00,1.97988,9.81411,6.09449,2.97457,5.76732,38.1196,21
76,2000-03-17,00:00:00.00,6.54278,10.0607,6.39803,3.03331,5.89595,39.4414,24.2
77,2000-03-18,00:00:00.00,0.493108,11.3398,7.78462,3.43281,6.69674,43.1011,31
78,2000-03-19,00:00:00.00,0.39638,11.7286,8.32434,3.56658,6.96489,43.4816,34.4
79,2000-03-20,00:00:00.00,4.97461,10.8903,7.54508,3.30904,6.45167,40.6758,27.4
80,2000-03-21,00:00:00.00,0.42882,11.3652,7.78294,3.44805,6.7147,43.3193,23.3
81,2000-03-22,00:00:00.00,0.0907048,11.5011,7.81734,3.48693,6.78549,46.6687,21.4
82,2000-03-23,00:00:00.00,0.387628,10.4469,7.00585,3.16714,6.15926,44.2872,19.8
83,2000-03-24,00:00:00.00,0.153319,9.64051,6.39536,2.92328,5.68162,40.0683,18
84,2000-03-25,00:00:00.00,0.21061,9.08015,5.97003,2.75394,5.34931,37.1735,16.6
85,2000-03-26,00:00:00.00,1.42489,8.62395,5.60769,2.62157,5.08554,35.0196,16.1
86,2000-03-27,00:00:00.00,0.0411621,8.31095,5.29644,2.54761,4.92522,33.2565,15.4
87,2000-03-28,00:00:00.00,8.28584,8.57187,5.39962,2.63834,5.09333,33.7773,15.6
88,2000-03-29,00:00:00.00,1.3182,10.5171,6.66437,3.2214,6.23608,40.6972,18.2
89,2000-03-30,00:00:00.00,4.22466,11.6319,7.36546,3.55333,6.88842,44.8345,20.8
90,2000-03-31,00:00:00.00,0.0861487,11.1377,6.9756,3.39628,6.58775,43.7734,22.9
91,2000-04-01,00:00:00.00,0.196282,10.6247,6.60071,3.23643,6.27914,42.2072,22.5
92,2000-04-02,00:00:00.00,0.00117389,9.7382,6.03841,2.9676,5.75386,38.4859,21.2
93,2000-04-03,00:00:00.00,0.886108,9.04795,5.59897,2.75805,5.34493,35.6227,19.3
94,2000-04-04,00:00:00.00,0.612574,8.53644,5.26824,2.6025,5.04189,33.55,17.8
95,2000-04-05,00:00:00.00,1.69959,8.11691,4.98527,2.47687,4.79962,31.7945,17.5
96,2000-04-06,00:00:00.00,0.369016,7.81214,4.73949,2.39178,4.64259,30.3284,18.6
97,2000-04-07,00:00:00.00,1.21494,7.51376,4.52376,2.30468,4.47764,29.0111,19.7
98,2000-04-08,00:00:00.00,7.99506,7.61541,4.66478,2.33429,4.52973,29.4041,19.8
99,2000-04-09,00:00:00.00,10.6372,10.0335,6.46337,3.0947,5.99175,38.0242,20.3
100,2000-04-10,00:00:00.00,0.51571,14.5899,9.53045,4.5601,8.80626,53.2602,20.5
101,2000-04-11,00:00:00.00,0.252149,15.5616,10.0427,4.88866,9.43138,55.9705,21.5
102,2000-04-12,00:00:00.00,1.65988,13.1536,8.43411,4.1128,7.93936,47.7579,22.8
103,2000-04-13,00:00:00.00,0.484712,11.9678,7.73286,3.71458,7.18088,43.7047,22.7
104,2000-04-14,00:00:00.00,0.0429144,11.253,7.28047,3.47868,6.72942,41.2044,20.4
105,2000-04-15,00:00:00.00,0.0447404,10.3385,6.61216,3.19688,6.18108,38.0198,19.1
106,2000-04-16,00:00:00.00,0.21736,9.58276,6.07587,2.96334,5.72728,35.369,19
107,2000-04-17,00:00:00.00,0.116826,8.9667,5.6537,2.77183,5.35586,33.1907,18.1
108,2000-04-18,00:00:00.00,0.00688121,8.43626,5.29607,2.60703,5.03638,31.3067,16.3
109,2000-04-19,00:00:00.00,0.0832718,7.97522,4.98828,2.46383,4.75898,29.6612,14.6
110,2000-04-20,00:00:00.00,0.820882,7.56787,4.71818,2.33741,4.51417,28.1987,13
111,2000-04-21,00:00:00.00,27.2947,8.99197,5.85267,2.75591,5.34,33.8203,14.4
112,2000-04-22,00:00:00.00,9.53857,18.206,13.1436,5.44395,10.6674,70.1367,41.8
113,2000-04-23,00:00:00.00,0.0841768,25.9493,18.4602,7.64782,15.0865,100.573,109
114,2000-04-24,00:00:00.00,0.0181556,22.9288,15.3922,6.7406,13.3117,88.5462,98.8
115,2000-04-25,00:00:00.00,0.00526366,18.0694,11.8475,5.35986,10.5395,69.455,61.3
116,2000-04-26,00:00:00.00,0.0342865,15.3723,9.94115,4.59226,8.99919,58.9245,43
117,2000-04-27,00:00:00.00,0.0035536,13.6104,8.69595,4.08454,7.98628,52.0945,32.9
118,2000-04-28,00:00:00.00,0.0277197,12.2491,7.75622,3.6887,7.19999,46.8386,26.4
119,2000-04-29,00:00:00.00,0.227613,11.1535,7.01563,3.36794,6.56499,42.6206,22
120,2000-04-30,00:00:00.00,0.0107794,10.2486,6.41529,3.10168,6.039,39.1452,18.7
121,2000-05-01,00:00:00.00,0.0628808,9.4873,5.91737,2.87666,5.59524,36.2281,16.4
122,2000-05-02,00:00:00.00,5.83361,9.12801,5.76924,2.78489,5.40426,34.6828,14.4
123,2000-05-03,00:00:00.00,0.579501,9.68043,6.46825,3.00697,5.80077,36.142,14.1
124,2000-05-04,00:00:00.00,0.00661436,9.76637,6.69723,3.06193,5.88847,36.1319,13.1
125,2000-05-05,00:00:00.00,0.0985914,8.84494,5.94584,2.76105,5.31587,32.8941,12
126,2000-05-06,00:00:00.00,0.273413,8.13204,5.38351,2.5312,4.8768,30.3528,10.9
127,2000-05-07,00:00:00.00,0.183586,7.63364,5.01184,2.37469,4.57534,28.5235,10.2
128,2000-05-08,00:00:00.00,2.76541,7.20806,4.72934,2.23889,4.31665,26.9727,9.55
129,2000-05-09,00:00:00.00,2.12579,6.85958,4.58495,2.12013,4.09927,25.7551,9.15
130,2000-05-10,00:00:00.00,11.6786,6.91575,4.64673,2.12388,4.11754,26.2387,10
131,2000-05-11,00:00:00.00,17.8893,9.12845,5.9048,2.78213,5.41733,35.2805,16.6
132,2000-05-12,00:00:00.00,5.00162,14.1201,8.73019,4.31537,8.4546,53.9789,34.7
133,2000-05-13,00:00:00.00,10.7147,16.2884,10.0088,4.94532,9.72599,62.5475,49.2
134,2000-05-14,00:00:00.00,6.81512,15.5456,9.95268,4.59907,9.09267,62.6951,294
135,2000-05-15,00:00:00.00,0.0554258,15.1263,10.0473,4.42216,8.7829,62.7345,406
136,2000-05-16,00:00:00.00,0.13071,13.6426,9.06475,4.01657,7.96826,56.0062,272
137,2000-05-17,00:00:00.00,1.50579,11.9765,7.80645,3.55417,7.02172,48.4898,159
138,2000-05-18,00:00:00.00,0.038089,10.8122,6.95371,3.22414,6.35124,43.4257,98.1
139,2000-05-19,00:00:00.00,21.8787,11.5922,7.38244,3.4993,6.8976,45.5088,215
140,2000-05-20,00:00:00.00,3.66876,18.5916,11.6874,5.78773,11.4719,68.3301,402
141,2000-05-21,00:00:00.00,0.0577373,22.9544,14.1949,7.29439,14.4307,80.4364,313
142,2000-05-22,00:00:00.00,0.0478273,19.2446,11.7308,6.16002,12.1145,66.4082,176
143,2000-05-23,00:00:00.00,0.00182081,15.688,9.53947,4.99132,9.78892,55.1384,102
144,2000-05-24,00:00:00.00,2.68328,13.7245,8.30782,4.3514,8.51862,48.7899,69.3
145,2000-05-25,00:00:00.00,0.769851,12.521,7.49674,3.97568,7.77473,44.4538,87.9
146,2000-05-26,00:00:00.00,0.716891,11.4976,6.83495,3.65262,7.13679,40.8346,106
147,2000-05-27,00:00:00.00,0.0491321,10.4621,6.2276,3.31386,6.46749,37.4573,92.3
148,2000-05-28,00:00:00.00,0.0865352,9.61626,5.72827,3.03878,5.92538,34.6507,65.6
149,2000-05-29,00:00:00.00,0.0171596,8.91917,5.31245,2.81407,5.48346,32.2843,49
150,2000-05-30,00:00:00.00,0.0507904,8.31976,4.95572,2.62143,5.10522,30.2297,39.1
151,2000-05-31,00:00:00.00,0.169515,7.79723,4.64523,2.45386,4.77667,28.4248,31.5
152,2000-06-01,00:00:00.00,10.7042,7.67751,4.5938,2.39848,4.68112,28.3992,25.7
153,2000-06-02,00:00:00.00,4.32914,8.75053,5.42376,2.68553,5.2864,33.6571,22.5
154,2000-06-03,00:00:00.00,2.9727,9.62129,6.41647,2.9789,5.85118,37.2772,19.8
155,2000-06-04,00:00:00.00,0.106863,8.97916,6.21549,2.83119,5.51938,34.4197,21.6
156,2000-06-05,00:00:00.00,0.0319646,8.06938,5.44918,2.53734,4.94575,31.0572,20
157,2000-06-06,00:00:00.00,1.26028,7.49112,4.95948,2.34586,4.5748,28.7767,17
158,2000-06-07,00:00:00.00,0.190974,7.06006,4.62756,2.20776,4.30335,27.0237,13.8
159,2000-06-08,00:00:00.00,0.045156,6.68046,4.34312,2.0873,4.06655,25.5177,12.8
160,2000-06-09,00:00:00.00,0.0515947,6.33247,4.08938,1.97821,3.85233,24.1567,11.6
161,2000-06-10,00:00:00.00,1.06538,6.0146,3.86042,1.87847,3.65669,22.9191,9.66
162,2000-06-11,00:00:00.00,0.0321976,5.72462,3.65377,1.7873,3.47806,21.7971,10.7
163,2000-06-12,00:00:00.00,19.8302,6.11498,3.97778,1.91262,3.72039,23.1817,11.2
164,2000-06-13,00:00:00.00,0.125481,8.65066,6.02332,2.72197,5.29191,32.4249,11.6
165,2000-06-14,00:00:00.00,27.684,11.2132,8.03259,3.51439,6.84058,42.562,53.5
166,2000-06-15,00:00:00.00,2.3162,15.3378,11.0946,4.7049,9.20143,61.6269,176
167,2000-06-16,00:00:00.00,5.19523,17.5462,12.3767,5.35662,10.4878,71.1107,189
168,2000-06-17,00:00:00.00,1.46032,15.6383,9.90273,4.85753,9.48604,59.916,115
169,2000-06-18,00:00:00.00,0.0653901,14.0713,8.25771,4.41994,8.61465,51.9033,67.7
170,2000-06-19,00:00:00.00,2.01103,12.2464,7.31387,3.83592,7.46868,45.5952,48.1
171,2000-06-20,00:00:00.00,0.147702,10.9017,6.71948,3.4077,6.62941,41.0005,38.4
172,2000-06-21,00:00:00.00,0.0535179,9.91928,6.1942,3.09924,6.02467,37.4309,29
173,2000-06-22,00:00:00.00,17.4221,9.88513,6.1084,3.07804,5.98654,37.6564,27.7
174,2000-06-23,00:00:00.00,0.578905,12.3427,7.59035,3.80271,7.42116,48.716,26.8
175,2000-06-24,00:00:00.00,0.0513246,13.3452,8.18588,4.09376,7.99849,53.4077,20.8
176,2000-06-25,00:00:00.00,1.66115,11.3619,6.93743,3.49482,6.81808,45.0048,19.5
177,2000-06-26,00:00:00.00,48.3805,12.7943,7.38088,3.84689,7.56636,53.7869,134
178,2000-06-27,00:00:00.00,1.72812,25.805,12.9171,7.26631,14.6415,128.503,308
179,2000-06-28,00:00:00.00,1.9165,31.5851,15.3737,8.80865,17.8065,158.759,357
180,2000-06-29,00:00:00.00,0.198759,23.232,11.7528,6.63316,13.282,107.869,225
181,2000-06-30,00:00:00.00,10.3785,19.0808,10.1759,5.55535,11.0476,83.9646,130
182,2000-07-01,00:00:00.00,0.0137526,19.771,11.6863,5.8686,11.6204,83.0913,84
183,2000-07-02,00:00:00.00,0.00700815,19.2758,11.9585,5.78553,11.4212,78.9543,70.7
184,2000-07-03,00:00:00.00,0.0829824,15.9901,9.74016,4.8166,9.48046,64.908,52.4
185,2000-07-04,00:00:00.00,43.9961,20.4919,11.3064,6.46949,12.8037,73.3412,44.8
186,2000-07-05,00:00:00.00,0.165011,56.2951,26.1569,19.1694,38.121,158.584,39.1
187,2000-07-06,00:00:00.00,0.0839092,67.5323,31.289,23.1488,45.8741,187.212,31.7
188,2000-07-07,00:00:00.00,0.0254867,40.0721,20.1811,13.4292,26.3628,122.158,23.5
189,2000-07-08,00:00:00.00,0,27.6466,14.5453,9.11518,17.8033,89.245,20.1
190,2000-07-09,00:00:00.00,0.527888,21.8979,11.7636,7.14906,13.9306,72.8835,14.3
191,2000-07-10,00:00:00.00,13.0286,19.0796,10.3215,6.17735,12.027,65.4815,27.4
192,2000-07-11,00:00:00.00,0.0198934,19.5078,10.42,6.25037,12.1808,70.7249,56.5
193,2000-07-12,00:00:00.00,0.0296809,18.9045,10.0534,6.01884,11.7328,70.5332,58.7
194,2000-07-13,00:00:00.00,0.132096,15.8851,8.5548,5.05014,9.83335,58.924,41
195,2000-07-14,00:00:00.00,0.0654255,13.7352,7.46744,4.36132,8.48523,50.7458,23
196,2000-07-15,00:00:00.00,7.13714,12.6803,6.89883,4.02207,7.81071,46.6757,17.8
197,2000-07-16,00:00:00.00,1.56096,13.0363,6.98046,4.13656,7.99085,47.3415,26.5
198,2000-07-17,00:00:00.00,1.09583,12.8339,6.82293,4.07246,7.84561,46.2796,58.5
199,2000-07-18,00:00:00.00,0.172401,11.3564,6.09707,3.59986,6.94557,41.1358,59.2
200,2000-07-19,00:00:00.00,0.115904,10.2318,5.53585,3.2404,6.25905,37.1938,59.6
201,2000-07-20,00:00:00.00,0.116871,9.42816,5.12639,2.98354,5.76562,34.3422,44.5
202,2000-07-21,00:00:00.00,1.32362,8.75539,4.77989,2.76883,5.3528,31.9456,31.1
203,2000-07-22,00:00:00.00,0.264274,8.17876,4.48071,2.58529,4.99946,29.8823,24
204,2000-07-23,00:00:00.00,0.0263947,7.67653,4.21861,2.42578,4.6919,28.0786,19.5
205,2000-07-24,00:00:00.00,0.116851,7.23372,3.98584,2.28525,4.42083,26.4837,16.3
206,2000-07-25,00:00:00.00,0.0707591,6.83846,3.7765,2.15989,4.17898,25.0575,14
207,2000-07-26,00:00:00.00,0.00994815,6.48217,3.58685,2.04696,3.961,23.7707,12.7
208,2000-07-27,00:00:00.00,0.0789292,6.1583,3.41407,1.94433,3.76276,22.5999,11.3
209,2000-07-28,00:00:00.00,0.0963845,5.86247,3.25617,1.85062,3.58158,21.5294,10.4
210,2000-07-29,00:00:00.00,6.19082,5.69268,3.2109,1.79254,3.47153,21.0348,10.5
211,2000-07-30,00:00:00.00,2.38483,5.85022,3.46708,1.82749,3.54725,22.0459,12.1
212,2000-07-31,00:00:00.00,2.52113,5.926,3.59808,1.85253,3.59205,22.3911,22.2
213,2000-08-01,00:00:00.00,8.16853,5.9935,3.54653,1.90196,3.66601,22.1101,29.1
214,2000-08-02,00:00:00.00,5.17595,6.85074,3.75202,2.20762,4.2714,24.8206,50.2
215,2000-08-03,00:00:00.00,8.92622,7.66734,4.31919,2.46511,4.83577,27.9644,59.5
216,2000-08-04,00:00:00.00,1.46056,8.36285,4.97853,2.6793,5.30567,30.1708,56.4
217,2000-08-05,00:00:00.00,0.0725826,8.43879,4.9093,2.71406,5.37075,29.8958,47.3
218,2000-08-06,00:00:00.00,0.0989894,7.53686,4.3543,2.42145,4.77637,26.8404,32.9
219,2000-08-07,00:00:00.00,3.53479,7.01399,4.09231,2.25642,4.44252,24.9759,24.6
220,2000-08-08,00:00:00.00,3.79347,7.04843,4.21801,2.29276,4.51113,24.6163,21.5
221,2000-08-09,00:00:00.00,1.54493,6.9661,4.20594,2.27986,4.49293,24.2227,19.4
222,2000-08-10,00:00:00.00,4.20034,6.68186,3.91901,2.1872,4.31521,23.2726,28.2
223,2000-08-11,00:00:00.00,0.0995584,6.96294,3.81707,2.31233,4.5591,23.2122,24.3
224,2000-08-12,00:00:00.00,0.0407866,7.01607,3.71681,2.34826,4.62652,22.8304,19.1
225,2000-08-13,00:00:00.00,0.0209404,6.44508,3.48961,2.1422,4.21544,21.3713,16.7
226,2000-08-14,00:00:00.00,0.160337,6.00582,3.30029,1.98591,3.90354,20.1886,14.4
227,2000-08-15,00:00:00.00,0.256151,5.70534,3.14985,1.88218,3.6959,19.2933,12.8
228,2000-08-16,00:00:00.00,4.09943,5.44482,3.01399,1.7915,3.51828,18.5186,10.6
229,2000-08-17,00:00:00.00,0.733398,5.22738,2.89093,1.71261,3.37423,17.9123,18.3
230,2000-08-18,00:00:00.00,0.352206,5.0242,2.7794,1.64093,3.23846,17.3117,15.6
231,2000-08-19,00:00:00.00,0.383793,4.81887,2.67725,1.57289,3.09754,16.64,13.3
232,2000-08-20,00:00:00.00,0.211606,4.63075,2.5823,1.51015,2.96948,16.0312,11.2
233,2000-08-21,00:00:00.00,1.40817,4.45991,2.50094,1.45263,2.85428,15.5084,9.82
234,2000-08-22,00:00:00.00,1.39083,4.30177,2.44683,1.39954,2.748,15.0907,8.3
235,2000-08-23,00:00:00.00,0.132678,4.15401,2.38552,1.35016,2.649,14.6713,7.62
236,2000-08-24,00:00:00.00,12.7712,4.36803,2.38902,1.41309,2.79124,15.2528,22.9
237,2000-08-25,00:00:00.00,0.0321626,5.69784,2.66199,1.81928,3.67862,19.1856,27
238,2000-08-26,00:00:00.00,0.0576966,6.3518,2.77769,2.01754,4.11709,21.0953,22.7
239,2000-08-27,00:00:00.00,3.2896,5.57706,2.55401,1.77404,3.59967,18.8224,18.7
240,2000-08-28,00:00:00.00,1.82882,5.11017,2.39798,1.61632,3.27209,17.8137,14.3
241,2000-08-29,00:00:00.00,0.0158324,4.95468,2.3174,1.56045,3.16045,17.4769,11.8
242,2000-08-30,00:00:00.00,0.0507797,4.76757,2.24484,1.5063,3.04457,16.6421,9.97
243,2000-08-31,00:00:00.00,0.361157,4.55341,2.17591,1.44102,2.90393,15.8999,9.01
244,2000-09-01,00:00:00.00,0.112563,4.36915,2.11103,1.38273,2.78031,15.3192,8.11
245,2000-09-02,00:00:00.00,1.18956,4.20715,2.04987,1.33143,2.6724,14.792,7.47
246,2000-09-03,00:00:00.00,0.206913,4.05723,1.99194,1.28391,2.57291,14.3002,8.26
247,2000-09-04,00:00:00.00,4.90827,3.95064,1.95331,1.2507,2.50314,13.9546,15.4
248,2000-09-05,00:00:00.00,3.21315,4.00601,1.98882,1.27567,2.54783,14.0704,14.1
249,2000-09-06,00:00:00.00,0.57675,4.1778,2.06726,1.35106,2.68282,14.3031,12.2
250,2000-09-07,00:00:00.00,0.987802,4.12361,2.03958,1.34275,2.6564,13.9313,11
251,2000-09-08,00:00:00.00,0.0534285,3.87687,1.93229,1.2543,2.48403,13.2648,9.42
252,2000-09-09,00:00:00.00,3.14971,3.74438,1.89473,1.20953,2.39219,12.8945,7.87
253,2000-09-10,00:00:00.00,1.78526,3.80133,2.00126,1.2401,2.43185,12.9879,7.26
254,2000-09-11,00:00:00.00,6.01154,3.93432,2.15553,1.29739,2.5191,13.3323,6.88
255,2000-09-12,00:00:00.00,0.0568202,4.15653,2.33837,1.37748,2.66579,14.1531,6.88
256,2000-09-13,00:00:00.00,16.3077,4.60598,2.55628,1.54447,2.98533,15.6076,6.99
257,2000-09-14,00:00:00.00,0.0203085,6.1451,3.16914,2.13543,4.09573,20.0659,7.56
258,2000-09-15,00:00:00.00,18.8473,7.69857,3.8889,2.73183,5.20613,24.5088,8.76
259,2000-09-16,00:00:00.00,2.53469,10.1372,5.36001,3.6688,6.92258,31.3424,47.8
260,2000-09-17,00:00:00.00,0.381058,11.5816,6.47384,4.22,7.92989,35.5639,83.7
261,2000-09-18,00:00:00.00,0.118434,9.94553,5.75997,3.59329,6.76912,31.0048,77.9
262,2000-09-19,00:00:00.00,0.0133426,8.59264,4.94289,3.07534,5.81017,27.1185,52.4
263,2000-09-20,00:00:00.00,0.0812473,7.87793,4.5164,2.79502,5.29077,25.1455,34.9
264,2000-09-21,00:00:00.00,5.89207,7.4157,4.31846,2.60588,4.9415,24.0929,23.9
265,2000-09-22,00:00:00.00,5.82956,7.5374,4.59653,2.62113,4.97216,25.2932,30.2
266,2000-09-23,00:00:00.00,1.4316,8.26175,5.06921,2.88716,5.44766,27.7872,39
267,2000-09-24,00:00:00.00,18.1759,9.34673,5.47206,3.333,6.23984,30.2324,49.1
268,2000-09-25,00:00:00.00,0.619628,13.2713,7.20028,4.92233,9.09581,39.7344,73
269,2000-09-26,00:00:00.00,0.83163,15.1191,8.00782,5.66105,10.4281,44.2271,77.8
270,2000-09-27,00:00:00.00,0.456964,12.4359,6.71934,4.57985,8.48411,37.3246,54
271,2000-09-28,00:00:00.00,0.105946,10.6253,5.83326,3.85535,7.17637,32.6217,39.1
272,2000-09-29,00:00:00.00,0.560054,9.63586,5.33689,3.45563,6.45502,30.0726,30.9
