time,date,hour,precip [mm/day],sub7023 [m3/s],sub7024 [m3/s],sub7024 (observed) [m3/s]
204,2000-07-23,00:00:00.00,0.360225,0.0987126,1.88616,19.3404
205,2000-07-24,00:00:00.00,0.0538233,0.0967548,1.85697,17.9246
206,2000-07-25,00:00:00.00,0.0403957,0.0951036,1.83097,19.482
207,2000-07-26,00:00:00.00,0.0369026,0.0936006,1.80587,19.3404
208,2000-07-27,00:00:00.00,0.943236,0.0921766,1.7809,18.406
209,2000-07-28,00:00:00.00,0.362872,0.0907941,1.75604,18.406
210,2000-07-29,00:00:00.00,3.507,0.0899568,1.73569,16.3955
211,2000-07-30,00:00:00.00,2.72582,0.0918078,1.73846,19.3121
212,2000-07-31,00:00:00.00,8.48169,0.100011,1.8517,41.3426
213,2000-08-01,00:00:00.00,2.63928,0.116201,2.23207,69.9426
214,2000-08-02,00:00:00.00,2.12126,0.134456,2.72382,54.9347
215,2000-08-03,00:00:00.00,6.46637,0.133006,2.71083,67.9604
216,2000-08-04,00:00:00.00,3.27731,0.127893,2.51861,57.7664
217,2000-08-05,00:00:00.00,0.0631768,0.139847,2.6684,85.2337
218,2000-08-06,00:00:00.00,0.560471,0.133501,2.58204,61.7307
219,2000-08-07,00:00:00.00,9.00848,0.117282,2.27063,56.3505
220,2000-08-08,00:00:00.00,9.49959,0.132119,2.38433,103.64
221,2000-08-09,00:00:00.00,4.50228,0.171999,2.95001,122.329
222,2000-08-10,00:00:00.00,2.1376,0.182996,3.35713,126.576
223,2000-08-11,00:00:00.00,0.0831597,0.16048,3.06835,99.6753
224,2000-08-12,00:00:00.00,0.0674259,0.135199,2.47324,65.1287
225,2000-08-13,00:00:00.00,0.0665105,0.113519,2.10847,37.9446
226,2000-08-14,00:00:00.00,0.504149,0.101787,1.91442,37.3782
227,2000-08-15,00:00:00.00,0.0522698,0.094667,1.7994,25.3436
228,2000-08-16,00:00:00.00,0.502827,0.0899787,1.72451,23.2764
229,2000-08-17,00:00:00.00,0.0524475,0.0866689,1.67145,19.1422
230,2000-08-18,00:00:00.00,17.8327,0.0924726,1.8066,14.4699
231,2000-08-19,00:00:00.00,3.55958,0.137067,2.65992,14.385
232,2000-08-20,00:00:00.00,0.110545,0.198804,3.42735,12.0913
