time,date,hour,precip [mm/day],sub7051 [m3/s],sub7052 [m3/s],sub7053 [m3/s],sub7053 (observed) [m3/s],sub7053 (res. inflow) [m3/s]
202,2000-07-21,00:00:00.00,1.37842,0.242934,1.44872,0.537598,63.3,1.30391
203,2000-07-22,00:00:00.00,6.29979,0.239197,1.38485,0.622413,64.7,1.29505
204,2000-07-23,00:00:00.00,0.375988,0.234725,1.24919,0.563265,66.8,1.2862
205,2000-07-24,00:00:00.00,0.0327354,0.233216,1.18259,0.41829,69,1.28209
206,2000-07-25,00:00:00.00,0.0394328,0.232908,1.1932,0.43569,70.1,1.27923
207,2000-07-26,00:00:00.00,0.0122957,0.232703,1.28773,0.40874,70.9,1.27652
208,2000-07-27,00:00:00.00,0.072458,0.232486,1.4294,0.32949,71.3,1.27381
209,2000-07-28,00:00:00.00,0.199218,0.232097,1.41776,0.273025,71.4,1.27086
210,2000-07-29,00:00:00.00,1.29691,0.231604,1.23579,0.198827,71.6,1.26778
211,2000-07-30,00:00:00.00,0.175271,0.231113,1.05232,0.256575,71.8,1.26471
212,2000-07-31,00:00:00.00,0.183573,0.230624,0.904221,0.241386,71.7,1.26165
213,2000-08-01,00:00:00.00,5.07911,0.230143,0.831739,0.41455,71.8,1.25863
214,2000-08-02,00:00:00.00,16.4652,0.230449,0.822787,0.708547,73.5,1.25715
215,2000-08-03,00:00:00.00,6.64916,0.292639,0.939276,0.765225,75.1,1.36958
216,2000-08-04,00:00:00.00,0.201659,0.458248,1.30491,0.782821,71.9,1.69762
217,2000-08-05,00:00:00.00,0.0539919,0.697119,1.88568,0.953115,67.3,2.20293
218,2000-08-06,00:00:00.00,0.0752953,0.993907,2.6199,1.43006,62.4,2.8432
219,2000-08-07,00:00:00.00,0.342355,1.29722,3.40075,2.20879,58.6,3.48874
220,2000-08-08,00:00:00.00,8.82137,1.37963,3.74209,2.8373,55.2,3.60735
221,2000-08-09,00:00:00.00,3.44616,1.18109,3.43518,2.70774,53.3,3.12417
