time,date,hour,precip [mm/day],sub710 [m3/s],sub710 (observed) [m3/s],sub685 [m3/s],sub685 (observed) [m3/s],sub684 [m3/s],sub684 (observed) [m3/s],sub676 [m3/s],sub676 (observed) [m3/s],sub677 [m3/s],sub677 (observed) [m3/s],sub686 [m3/s],sub686 (observed) [m3/s],sub699 [m3/s],sub699 (observed) [m3/s],sub701 [m3/s],sub701 (observed) [m3/s],sub700 [m3/s],sub700 (observed) [m3/s],sub683 [m3/s],sub683 (observed) [m3/s],sub697 [m3/s],sub697 (observed) [m3/s],sub698 [m3/s],sub698 (observed) [m3/s],sub696 [m3/s],sub696 (observed) [m3/s],sub682 [m3/s],sub682 (observed) [m3/s],sub694 [m3/s],sub694 (observed) [m3/s],sub695 [m3/s],sub695 (observed) [m3/s],sub678 [m3/s],sub678 (observed) [m3/s],sub680 [m3/s],sub680 (observed) [m3/s],sub681 [m3/s],sub681 (observed) [m3/s],sub691 [m3/s],sub691 (observed) [m3/s],sub693 [m3/s],sub693 (observed) [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub689 [m3/s],sub689 (observed) [m3/s],sub712 [m3/s],sub712 (observed) [m3/s],sub724 [m3/s],sub724 (observed) [m3/s],sub723 [m3/s],sub723 (observed) [m3/s],sub720 [m3/s],sub720 (observed) [m3/s],sub719 [m3/s],sub719 (observed) [m3/s]
10,2010-01-11,00:00:00.00,0,6.90912,6.6545,2.71731,17,1.33878,1.61,5.07998,0.697,10.163,3.9,2.19996,1.15,2.46824,0.75,4.71385,1.57,3.55034,0.648,2.16672,1.42,1.35303,0.122,10.6638,2.24,2.54435,2.75,3.78047,0.32,2.3574,0.56,1.69339,0.078,16.7147,1.4696,6.68884,0.6711,5.34266,1.0732,9.34855,6.796,6.35267,7.0792,10.7082,10.7887,8.68637,1.0421,2.03118,0.5097,9.4503,0.6513,4.68634,0.5097,3.24466,1.8123,27.7363,17.3582
11,2010-01-12,00:00:00.00,0,7.24463,10.0808,2.71586,16,1.33517,1.8,5.32235,0.65,10.6285,4.4,2.18403,1.12,2.50698,0.73,4.90084,1.54,3.65643,0.64,2.19587,1.38,1.34307,0.117,11.1764,2.21,2.5374,2.68,3.96066,0.305,2.41196,0.5,1.68723,0.07,17.5088,1.4158,7.00079,0.6711,5.5943,0.9628,9.81983,6.6545,6.6433,7.8154,11.207,11.2418,9.17159,1.2006,2.08438,0.487,9.89675,0.5663,4.90116,0.4814,3.39641,1.968,29.1477,17.9246
12,2010-01-13,00:00:00.00,0,7.56149,8.3535,2.7134,15,1.33117,1.78,5.55508,0.6,11.0616,4.39,2.16791,1.15,2.54624,0.72,5.07912,1.53,3.75585,0.628,2.22267,1.35,1.33319,0.115,11.6564,2.18,2.53239,2.62,4.13051,0.29,2.46286,0.46,1.68064,0.064,18.2633,1.3989,7.29549,0.6768,5.82994,0.9628,10.2536,6.5412,6.92043,8.042,11.6793,10.3356,9.6194,1.1695,2.13113,0.4672,10.3219,0.5097,5.10709,0.4531,3.53975,2.0643,30.4693,18.4343
13,2010-01-14,00:00:00.00,0,7.86068,7.3907,2.70988,14,1.32678,1.7,5.77106,0.56,11.4706,4.38,2.15161,1.12,2.57947,0.709,5.24554,1.52,3.84886,0.62,2.24721,1.32,1.32311,0.117,12.1102,2.15,2.52433,2.58,4.29042,0.281,2.51025,0.423,1.67363,0.058,18.9715,1.3989,7.57358,0.6739,6.05349,1.0052,10.6708,6.5978,7.18031,7.9004,12.1246,10.4206,10.0403,1.1298,2.17446,0.4531,10.7331,0.4531,5.30117,0.4248,3.67502,2.0501,31.7226,17.7547
14,2010-01-15,00:00:00.00,0.0916295,8.19811,7.0509,2.70545,13,1.32204,1.61,5.97655,0.52,11.8693,4.39,2.13658,1.11,2.61263,0.697,5.40221,1.53,3.93574,0.61,2.2696,1.29,1.31297,0.114,12.5356,2.13,2.51731,2.54,4.44079,0.275,2.55428,0.41,1.66622,0.055,21.3238,1.3989,8.67326,0.6853,6.70345,1.0166,11.293,6.8244,7.43593,8.0137,12.8265,10.7038,10.5133,1.1129,2.21504,0.5097,11.1124,0.4531,5.48342,0.3964,3.8368,2.1323,33.006,18.944
15,2010-01-16,00:00:00.00,0.294067,8.89516,9.6844,2.71181,12,1.32237,1.49,6.16933,0.49,12.3044,4.38,2.15355,1.18,2.75299,0.685,5.76067,1.58,4.2434,0.605,2.32413,1.26,1.37434,0.121,13.017,2.11,2.57241,2.5,4.60017,0.265,2.62402,0.395,1.68721,0.053,25.7674,1.4158,10.2982,0.7589,7.82464,1.0279,12.5249,6.9943,8.36975,9.2879,14.5819,11.8081,11.4643,1.2346,2.39356,0.6456,13.7853,0.3964,6.60986,0.3964,4.42123,2.6051,36.7034,22.2004
16,2010-01-17,00:00:00.00,0.0694792,9.53194,14.6115,2.71314,11.5,1.31883,1.49,6.35028,0.463,12.6541,4.37,2.15206,1.27,2.78691,0.678,5.96694,1.59,4.31873,0.598,2.357,1.24,1.38502,0.129,13.4292,2.1,2.58635,2.47,4.73258,0.26,2.66899,0.38,1.68974,0.051,26.5697,1.5291,9.99635,0.7872,7.79419,1.0392,13.1906,6.6545,8.78349,8.7216,15.1429,12.0913,12.2199,1.2488,2.47442,0.589,15.6221,0.3964,7.60306,0.3964,4.96505,4.0776,42.2043,26.5612
17,2010-01-18,00:00:00.00,0.0866005,10.09,23.5313,2.70776,11,1.30906,1.47,6.51674,0.443,12.9174,4.39,2.1276,1.24,2.75455,0.671,6.01863,1.6,4.30863,0.594,2.3415,1.22,1.33118,0.137,13.6821,2.09,2.51528,2.44,4.83837,0.255,2.67641,0.37,1.6536,0.049,23.0946,1.5291,8.77142,0.8099,6.99164,1.0477,12.7893,6.5695,8.15503,7.8154,13.9332,10.9869,12.2978,1.2006,2.34048,0.5409,13.4334,0.4531,6.8052,0.4248,5.248,5.8333,45.0756,35.6792
18,2010-01-19,00:00:00.00,0.0219514,10.6457,35.1129,2.71499,10.5,1.30436,1.48,6.6748,0.42,13.2524,4.4,2.12957,1.22,2.83408,0.664,6.24255,1.62,4.47388,0.591,2.35488,1.2,1.32488,0.139,13.9846,2.08,2.49384,2.42,4.95423,0.252,2.70102,0.36,1.63421,0.047,21.7395,1.5886,8.69545,0.8467,6.96277,1.0591,12.6669,6.4846,8.22464,7.6172,13.9185,10.7887,12.3953,1.144,2.33861,0.5069,12.2886,0.538,6.16581,0.7079,5.17393,6.4279,43.8289,36.2456
19,2010-01-20,00:00:00.00,0.00118825,10.4114,43.3248,2.70504,9.8,1.29751,1.41,6.82174,0.402,13.5322,4.39,2.09369,1.21,2.79188,0.657,6.23136,1.6,4.3869,0.588,2.37216,1.18,1.28127,0.137,14.3095,2.07,2.47344,2.4,5.06232,0.249,2.72854,0.35,1.62401,0.045,22.4962,1.5688,8.96808,0.8467,7.1789,1.0704,12.8376,6.3713,8.47555,7.4473,14.3538,10.7604,12.4686,1.1015,2.3837,0.4701,12.781,1.699,6.28883,1.2743,4.62899,5.1537,41.0002,31.998
20,2010-01-21,00:00:00.00,0.000566352,9.81693,31.1485,2.67589,9.3,1.28774,1.36,6.95867,0.387,13.7395,4.2,2.03987,1.18,2.75112,0.65,6.1554,1.57,4.34128,0.585,2.36979,1.17,1.24801,0.136,14.5932,2.06,2.45616,2.38,5.16295,0.246,2.75506,0.34,1.61458,0.044,22.9313,1.5886,9.14512,0.8099,7.30804,1.0647,13.012,6.2863,8.59871,7.3057,14.5663,10.7604,12.5709,1.0817,2.39913,0.4502,12.932,2.8317,6.36675,1.2176,4.42874,3.9927,39.9315,30.299
21,2010-01-22,00:00:00.00,0.00954765,9.74053,21.7473,2.65386,8.9,1.28015,1.26,7.08587,0.376,13.9719,4.1,2.01566,1.13,2.76677,0.644,6.23912,1.53,4.39163,0.583,2.37277,1.16,1.24112,0.128,14.86,1.97,2.44501,2.36,5.25642,0.243,2.77909,0.335,1.60496,0.043,23.315,1.5291,9.30806,0.7702,7.44082,0.9996,13.2486,6.1731,8.78229,7.1358,14.8692,10.4489,12.7514,1.0336,2.42799,0.4332,13.2472,2.2653,6.49844,0.9628,4.55217,3.1149,40.0721,26.9576
22,2010-01-23,00:00:00.00,0.0676635,10.5204,16.9052,2.63984,8.5,1.27316,1.33,7.20393,0.36,14.1989,4.2,1.99942,1.1,2.77985,0.638,6.33143,1.5,4.43771,0.581,2.38118,1.15,1.22863,0.127,15.1025,1.99,2.43054,2.34,5.34304,0.24,2.80075,0.33,1.59508,0.042,23.7322,1.4895,9.45879,0.7362,7.56568,0.9231,13.5154,6.1164,8.92816,7.0509,15.1921,9.9109,12.9513,1.0392,2.55757,0.4276,13.9688,1.699,6.75985,0.8212,4.98614,3.0299,41.4016,25.7683
23,2010-01-24,00:00:00.00,0.0167489,11.4019,11.978,2.62798,8.1,1.26593,1.3,7.31295,0.356,14.407,4.3,1.98192,1.12,2.79172,0.633,6.41071,1.53,4.47989,0.58,2.38787,1.14,1.2191,0.137,15.3301,2.08,2.41893,2.32,5.42308,0.28,2.82014,0.325,1.58498,0.041,24.1196,1.5093,9.63369,0.6994,7.71167,0.8099,13.8374,6.0315,9.11213,6.9376,15.5815,10.0808,13.1939,1.0449,2.67335,0.5465,14.345,1.9822,6.93292,0.9628,5.11337,3.7945,43.0108,27.7222
24,2010-01-25,00:00:00.00,0.8391,13.0853,7.7871,2.99629,7.7,1.65858,1.35,9.65844,0.38,16.5215,4.5,2.49817,1.21,4.35751,1.65,8.71432,1.8,7.00472,1.85,3.19195,1.28,1.64708,1.54,21.2174,2.2,3.63296,2.6,8.37942,0.4,4.13074,0.32,2.34109,0.18,27.3557,1.6424,10.5617,0.8976,8.54878,1.0364,15.1231,7.4473,10.951,11.4966,17.6109,17.4149,14.2791,2.1662,2.95234,2.2569,16.3262,12.3461,8.02072,9.3446,5.58988,17.2166,46.9321,73.6238
25,2010-01-26,00:00:00.00,0.848196,18.2553,52.3862,3.77035,11,2.09355,3.99,12.3074,7.5,20.8529,7.56,3.3801,9,5.93965,30,11.1677,14.2,8.62911,42.8,4.10689,8.97,2.07317,18.3,34.3305,25.5,5.05285,36,13.0701,5.81,6.18976,1.5,3.47516,3,30.6942,3.6246,11.5458,2.1238,9.3931,3.2564,16.5368,10.6471,12.2186,17.0467,19.5573,32.8475,15.2281,4.1343,3.06568,11.9497,18.099,25.825,8.9411,20.105,6.81699,25.5418,56.3233,125.727
26,2010-01-27,00:00:00.00,0.0199839,19.8987,103.073,3.89705,18,1.78095,15.8,10.2005,10.7,21.4076,6.86,3.09338,14.3,4.39211,23.9,9.29925,14,6.17563,17.7,3.52349,9.83,1.65225,8.95,33.2202,47.5,4.1564,64.6,10.2499,17,5.50391,10.8,2.93313,15.8,28.9124,12.9125,11.0442,4.3325,8.88283,5.0404,16.0627,8.7499,10.4352,12.6859,17.9599,27.2974,14.9788,2.5683,2.66158,10.8454,15.9541,30.8654,7.78994,18.321,6.55446,16.9618,60.2602,76.7387
27,2010-01-28,00:00:00.00,5.53616e-05,14.2979,29.1664,3.22835,36,1.32682,11.4,7.68068,7.5,17.233,5.6,2.13693,9.5,2.82223,9.89,6.86325,7.53,4.61137,6.51,2.60463,4.45,1.19096,2.9,18.9187,30,2.81821,60.4,5.68328,18.6,3.3542,22.4,1.75944,19.1,26.1015,6.6545,10.201,3.2848,8.14256,3.6529,15.0881,7.7305,9.44863,10.0242,16.2276,23.0499,14.7753,1.8264,2.50384,4.3325,14.1831,23.9277,6.9782,6.7394,5.35355,6.1448,53.4514,52.103
28,2010-01-29,00:00:00.00,0,10.5197,12.6859,2.7137,25,1.22352,5.83,7.72698,6,14.9405,5.2,1.86157,5.2,2.82326,5.24,6.64989,4.46,4.63113,3.2,2.39265,2.96,1.15797,2.13,15.391,20,2.43988,43.2,5.73382,9.51,2.76392,27.2,1.5147,9.69,25.4638,5.2386,10.1089,2.3673,8.08868,2.4466,14.7715,7.3057,9.61269,8.665,16.2091,16.9618,14.5875,1.481,2.54289,3.0582,14.4308,7.5606,7.10919,2.5797,4.94743,4.1059,46.8643,43.6079
29,2010-01-30,00:00:00.00,3.00287e-07,10.5772,7.2208,2.56985,17,1.2188,4.61,7.80742,4.5,15.3224,4.9,1.88275,4.1,2.82536,3.75,6.78746,3.5,4.6512,2.2,2.40119,2.57,1.15764,0.7,16.5849,14,2.34149,30,5.77979,4.72,2.88808,24.3,1.5216,3.8,25.7888,4.021,10.2342,1.5121,8.1949,1.7471,14.7237,6.4562,9.64282,6.9376,16.3808,12.8558,14.4023,1.3111,2.53483,2.4211,14.5375,4.2475,7.14023,1.8689,4.96886,2.9733,44.8354,38.5109
30,2010-01-31,00:00:00.00,3.74219e-05,10.873,5.805,2.53689,14.5,1.21025,4.48,7.85052,3.5,15.5094,4.7,1.85913,3.1,2.82554,2,6.79327,3.05,4.66818,1.5,2.39897,2.37,1.14225,0.25,16.3161,9.5,2.32246,21,5.8209,2.37,2.89892,12.4,1.50887,2.2,25.9869,3.1998,10.3022,1.2403,8.24492,1.5319,14.7998,6.0315,9.74627,7.0509,16.4966,11.9214,14.3853,1.212,2.55095,1.6905,14.6233,3.6812,7.20654,1.6424,5.00236,2.7212,44.4573,31.998
31,2010-02-01,00:00:00.00,0.000658765,10.8793,4.6156,2.5194,13,1.20171,4.19,7.91034,2.6,15.5389,4.6,1.8431,2.7,2.82494,1.6,6.83829,2.63,4.68222,1.32,2.39617,2.2,1.13691,0.19,16.6533,7,2.2984,14,5.85785,1.6,2.90525,7.15,1.49864,1.3,26.1323,2.5825,10.3754,1.0675,8.30719,1.362,14.8856,5.7483,9.79807,6.6545,16.6169,11.1285,14.4164,1.1525,2.55257,1.0845,14.7502,2.8317,7.25088,1.1893,5.03812,2.2795,44.5999,27.6372
32,2010-02-02,00:00:00.00,0.000434915,10.9635,3.8228,2.50276,11.5,1.19306,3.64,7.94687,1.9,15.6632,4.55,1.82567,2.35,2.82261,1.35,6.86415,2.33,4.69344,1.28,2.39242,2.04,1.12697,0.155,16.5737,5.2,2.29014,11,5.88991,1.09,2.90816,5.1,1.48714,0.95,26.3204,2.22,10.4383,0.9741,8.35669,1.1921,14.9856,5.5784,9.87719,6.5978,16.7228,10.4489,14.5036,1.0817,2.56163,0.9146,14.8186,1.9822,7.29653,0.9628,5.06809,1.9907,44.8196,24.8905
33,2010-02-03,00:00:00.00,0.000740518,11.0234,3.3414,2.48656,10,1.18429,2.9,7.99054,1.5,15.7227,4.5,1.80789,2,2.81956,1.15,6.88955,2.05,4.70197,1.14,2.38776,1.93,1.11631,0.123,16.7818,4,2.26793,8.3,5.91724,0.862,2.90802,3.72,1.47476,0.7,26.442,2.0671,10.4936,0.8382,8.39955,1.1298,15.0675,5.5784,9.91883,6.6261,16.8012,9.5711,14.5792,1.0874,2.5626,0.8297,14.9256,1.3309,7.34557,0.8212,5.09503,1.8774,45.0222,21.3792
34,2010-02-04,00:00:00.00,0.000250115,11.0739,3.1149,2.4698,8.7,1.17543,2.38,8.01902,1.2,15.7946,4.45,1.79034,1.8,2.81495,1.03,6.90978,1.86,4.70793,1.09,2.38224,1.83,1.10457,0.128,16.7502,3.4,2.25397,6.5,5.94086,0.73,2.90777,2.97,1.46295,0.5,26.5779,1.8802,10.5409,0.7759,8.43743,1.0874,15.1379,6.0032,9.96096,7.1925,16.8772,9.9109,14.6576,1.1695,2.56567,0.7646,15.0042,1.1327,7.38372,0.7362,5.11848,1.8321,45.2443,20.0483
35,2010-02-05,00:00:00.00,0.000266705,11.1221,2.9733,2.45332,8,1.16648,2.05,8.04947,1.02,15.849,4.4,1.77307,1.61,2.80968,0.92,6.92577,1.77,4.71145,1.03,2.37591,1.75,1.09276,0.12,16.8795,3.05,2.23169,5.2,5.96057,0.645,2.90593,2.45,1.45066,0.38,26.6751,1.7443,10.5815,0.6966,8.47007,1.0619,15.1984,6.2297,9.98969,7.0792,16.9383,10.2507,14.7207,1.1157,2.5679,0.7164,15.0615,1.0477,7.39954,0.6513,5.1387,1.7755,45.4297,18.7741
36,2010-02-06,00:00:00.00,0.0081341,11.1597,2.9733,2.43638,7.2,1.15744,1.89,8.06945,0.92,15.8955,4.39,1.7558,1.45,2.80301,0.825,6.93802,1.7,4.71264,0.92,2.3688,1.68,1.08339,0.116,16.8714,2.82,2.21686,4.6,5.97665,0.544,2.90323,2.09,1.43867,0.3,26.7735,1.6226,10.6162,0.6853,8.49764,1.0534,15.2523,5.9465,10.0251,6.796,16.9945,9.656,14.7808,1.0874,2.56729,0.6598,15.4649,0.9628,7.46434,0.5947,5.15582,1.7245,45.6039,20.0766
37,2010-02-07,00:00:00.00,0.00341308,11.1931,2.8317,2.41927,6.5,1.14833,1.71,8.08869,0.82,15.9338,4.35,1.73859,1.3,2.79573,0.75,6.94628,1.62,4.7116,0.865,2.36096,1.61,1.07233,0.113,16.945,2.64,2.1975,4.15,5.98918,0.48,2.89934,1.7,1.42667,0.24,26.8451,1.5433,10.6453,0.6853,8.52102,1.0364,15.2984,5.4652,10.0494,6.5695,17.0394,9.1463,14.8295,1.0392,2.56303,0.64,15.9267,0.9345,7.49685,0.5663,5.16998,1.682,45.7628,19.7085
38,2010-02-08,00:00:00.00,2.85902e-05,11.219,2.8317,2.40189,6,1.13916,1.52,8.10028,0.73,15.9622,4.32,1.72144,1.22,2.7872,0.7,6.95106,1.55,4.70844,0.815,2.35242,1.56,1.05944,0.11,16.9444,2.52,2.18177,3.82,5.99838,0.42,2.895,1.4,1.41492,0.19,26.9096,1.5036,10.6685,0.6626,8.53949,1.0279,15.3361,5.3802,10.0724,6.258,17.0772,8.9198,14.873,0.9798,2.5576,0.572,15.6534,1.1327,7.45992,0.6796,5.1813,1.6735,45.8787,19.5103
39,2010-02-09,00:00:00.00,0.000218433,11.2396,2.8317,2.38431,5.5,1.12992,1.41,8.10978,0.65,15.9835,4.3,1.70434,1.1,2.77811,0.65,6.95231,1.54,4.70326,0.79,2.34323,1.51,1.05408,0.109,16.9789,2.4,2.16368,3.6,6.0045,0.38,2.89115,1.2,1.40689,0.15,26.9553,1.43,10.6861,0.6456,8.55359,0.9798,15.366,5.3802,10.0869,6.1164,17.1038,8.5517,14.907,0.892,2.55325,0.521,15.2302,1.1893,7.46638,0.623,5.18992,1.6169,45.9491,18.3776
40,2010-02-10,00:00:00.00,0.000299374,11.2542,2.7807,2.36652,5.2,1.12062,1.33,8.11339,0.61,15.9961,4.25,1.68744,1.01,2.76791,0.608,6.95032,1.53,4.69616,0.73,2.3334,1.47,1.04706,0.109,16.9756,2.3,2.14732,3.4,6.00738,0.355,2.88515,1.05,1.39751,0.125,27.0003,1.3592,10.7003,0.6315,8.56411,1.0279,15.3878,5.182,10.099,6.0598,17.1245,8.6933,14.9346,0.9911,2.54881,0.4899,15.1887,0.7646,7.4781,0.5947,5.19594,1.6933,45.9968,17.5564
41,2010-02-11,00:00:00.00,0.0286678,11.2635,2.7751,2.34855,4.9,1.11128,1.36,8.1143,0.56,16.0019,4.21,1.67059,0.98,2.75719,0.59,6.94517,1.52,4.68723,0.705,2.32298,1.43,1.03129,0.11,16.982,2.22,2.12781,3.2,6.00709,0.33,2.87492,0.9,1.38134,0.105,27.0249,1.3734,10.7082,0.6173,8.57009,1.0364,15.4023,5.5218,10.1042,6.258,17.1349,8.9764,14.9538,0.9571,2.54313,0.4701,15.2174,0.7079,7.48063,0.6513,5.3672,1.665,46.8055,19.5386
42,2010-02-12,00:00:00.00,0,11.2676,5.6917,2.33041,4.7,1.1019,1.32,8.11044,0.51,16.0002,4.2,1.65355,0.94,2.74548,0.565,6.93706,1.48,4.67656,0.68,2.31201,1.39,1.0165,0.113,16.9706,2.16,2.11041,3.03,6.00409,0.31,2.86405,0.8,1.36601,0.09,27.023,1.3252,10.7084,0.6088,8.57113,1.0364,15.4095,5.5218,10.1066,6.5412,17.1389,9.1747,14.9665,0.9486,2.5368,0.4474,15.2124,0.6513,7.4835,0.6796,5.44203,1.6735,47.8615,18.406
43,2010-02-13,00:00:00.00,0,11.2668,7.7588,2.31212,4.5,1.09248,1.28,8.10369,0.475,15.9919,4.19,1.63663,0.89,2.7333,0.548,6.9261,1.45,4.66424,0.655,2.3005,1.36,1.00598,0.117,16.9558,2.1,2.09192,2.97,5.99854,0.3,2.85394,0.7,1.35363,0.08,27.0136,1.2884,10.7054,0.5947,8.56909,1.0534,15.4099,5.3802,10.1033,6.4562,17.1336,9.0614,14.9718,0.9486,2.52957,0.4248,15.2129,0.623,7.48066,0.623,5.26584,1.6452,47.4207,18.4343
44,2010-02-14,00:00:00.00,0,11.2612,5.5501,2.29369,4.3,1.08304,1.22,8.09296,0.437,15.9769,4.18,1.61991,0.87,2.72024,0.53,6.91245,1.42,4.65036,0.63,2.2885,1.33,0.995772,0.121,16.9337,2.05,2.07429,2.8,5.99044,0.29,2.84316,0.64,1.34137,0.07,27.0001,1.2544,10.6988,0.589,8.56377,1.0534,15.4037,5.3519,10.0969,6.1448,17.1234,8.4101,14.9708,0.9231,2.52164,0.4106,15.202,0.5947,7.47641,0.5947,5.19157,1.6226,46.3146,18.6891
