time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub684 [m3/s],sub685 [m3/s],sub687 [m3/s],sub687 (observed) [m3/s],sub686 [m3/s],sub686 (observed) [m3/s],sub699 [m3/s],sub699 (observed) [m3/s],sub703 [m3/s],sub703 (observed) [m3/s],sub700 [m3/s],sub700 (observed) [m3/s],sub701 [m3/s],sub702 [m3/s],sub702 (observed) [m3/s],sub697 [m3/s],sub697 (observed) [m3/s],sub696 [m3/s],sub696 (observed) [m3/s],sub698 [m3/s],sub682 [m3/s],sub694 [m3/s],sub694 (observed) [m3/s],sub695 [m3/s],sub695 (observed) [m3/s],sub680 [m3/s],sub680 (observed) [m3/s],sub681 [m3/s],sub681 (observed) [m3/s],sub691 [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub693 [m3/s],sub689 [m3/s],sub690 [m3/s],sub690 (observed) [m3/s],sub707 [m3/s],sub707 (observed) [m3/s],sub709 [m3/s],sub709 (observed) [m3/s],sub712 [m3/s],sub712 (observed) [m3/s],sub713 [m3/s],sub713 (observed) [m3/s],sub714 [m3/s],sub714 (observed) [m3/s],sub715 [m3/s],sub715 (observed) [m3/s],sub723 [m3/s],sub724 [m3/s],sub716 [m3/s],sub716 (observed) [m3/s],sub717 [m3/s],sub717 (observed) [m3/s],sub718 [m3/s],sub718 (observed) [m3/s],sub719 [m3/s],sub719 (observed) [m3/s],sub720 [m3/s],sub722 [m3/s],sub722 (observed) [m3/s],sub721 [m3/s],sub721 (observed) [m3/s],sub710 [m3/s],sub710 (observed) [m3/s],sub704 [m3/s],sub704 (observed) [m3/s],sub705 [m3/s],sub705 (observed) [m3/s],sub688 [m3/s],sub688 (observed) [m3/s],sub706 [m3/s],sub706 (observed) [m3/s]
10,2010-01-11,00:00:00.00,0.000165706,1.48759,3.76173,2.69977,6.48007,35.7163,25,1.76191,1.15,1.39282,0.75,3.46337,4.8,1.57762,0.648,1.77517,3.34907,3.38,1.05658,0.122,6.61522,2.75,3.55198,1.09304,2.5236,0.56,1.29462,0.078,2.25326,0.6711,1.83907,1.0732,3.4015,9.51008,10.7887,5.69639,3.46686,5.00223,1.699,9.39817,13.6487,17.2385,14.5832,1.04435,0.5097,129.083,33.9802,7.68249,0.9061,20.0278,5.2386,1.54786,3.53968,4.46682,1.7556,3.60508,1.699,4.76829,4.1343,14.6257,17.3582,1.07181,3.03398,3.9644,12.9545,16.2822,2.76685,6.6545,6.4886,21.5208,1.95503,,1.07049,2.2172,1.86495,4.4174
11,2010-01-12,00:00:00.00,0,1.44302,3.62088,2.59696,6.20784,34.5109,26.2,1.70184,1.12,1.34629,0.73,3.29413,4.85,1.52721,0.64,1.71916,3.21246,3.32,1.02112,0.117,6.35432,2.68,3.41949,1.06033,2.43102,0.5,1.2501,0.07,2.17239,0.6711,1.77467,0.9628,3.28308,9.15613,11.2418,5.48687,3.34109,4.79655,1.8179,8.98936,12.9974,16.5853,14.2717,1.0103,0.487,125.721,32.2812,7.38247,0.8778,19.2734,4.9554,1.49981,3.39788,4.31015,1.4725,3.46874,1.6424,4.59566,4.9838,14.1396,17.9246,1.03764,2.92342,3.9644,12.6352,25.9099,2.64697,10.0808,6.16698,21.2943,1.88144,,1.03795,2.6136,1.7973,5.0687
12,2010-01-13,00:00:00.00,0,1.39996,3.49532,2.50444,5.92057,33.3549,28,1.64424,1.15,1.30283,0.72,3.14969,4.75,1.4785,0.628,1.66541,3.08502,3.28,0.986875,0.115,6.09384,2.62,3.29734,1.02872,2.34583,0.46,1.20768,0.064,2.09869,0.6768,1.71538,0.9628,3.17393,8.83273,10.3356,5.29637,3.22626,4.61639,2.0162,8.62529,12.4877,15.9539,13.9602,0.977541,0.4672,122.395,26.9293,7.13545,0.8495,18.5684,4.8139,1.45281,3.25859,4.16393,1.5008,3.34143,1.6141,4.43801,4.3608,13.6664,18.4343,1.00503,2.8218,3.9644,12.2836,21.0677,2.53818,8.3535,5.8435,21.0961,1.81378,,1.0065,2.5315,1.73565,4.9271
13,2010-01-14,00:00:00.00,0,1.35836,3.38,2.41429,5.6278,32.2042,28.2,1.58882,1.12,1.2599,0.709,3.01974,4.7,1.43144,0.62,1.61364,2.95948,3.23,0.953785,0.117,5.8524,2.58,3.18573,0.998175,2.26642,0.423,1.167,0.058,2.03028,0.6739,1.65999,1.0052,3.07179,8.53697,10.4206,5.12035,3.11936,4.45425,1.934,8.30114,12.2895,15.3493,13.7903,0.945939,0.4531,119.165,22.6252,6.93843,0.8212,17.909,4.5307,1.40453,3.12344,4.02661,1.4725,3.22201,1.5574,4.28529,3.9077,13.1893,17.7547,0.9738,2.72712,3.9644,11.9034,17.9812,2.43798,7.3907,5.55127,21.0961,1.75096,,0.976125,2.3446,1.67848,4.6156
14,2010-01-15,00:00:00.00,0.0845899,1.31816,3.28399,2.32594,5.34409,31.0331,26,1.53677,1.11,1.21902,0.697,2.90274,4.65,1.38597,0.61,1.5637,2.84128,3.18,0.921816,0.114,5.62434,2.54,3.08297,0.968667,2.19166,0.41,1.12785,0.055,2.94999,0.6853,1.89971,1.0166,3.06507,8.40926,10.7038,4.97895,3.05953,4.36353,2.0218,8.45146,12.063,14.7828,13.3372,0.915423,0.5097,116.016,21.9456,6.74958,0.7929,17.2896,4.2475,1.35896,3.00335,3.89691,1.6424,3.10897,1.4725,4.15173,3.4547,12.7258,18.944,1.00423,2.91614,4.4741,11.6349,17.1034,2.42941,7.0509,5.34787,21.9456,1.74906,,1.01155,2.3022,1.6803,4.5307
15,2010-01-16,00:00:00.00,0.924953,1.28197,3.29651,2.25538,5.08444,29.8959,30.2,1.53331,1.18,1.40631,0.685,2.99232,4.6,1.89566,0.605,1.8801,2.89973,3.15,1.00779,0.121,5.50605,2.5,3.05162,0.987032,2.18061,0.395,1.14136,0.053,4.65955,0.7589,2.74076,1.0279,3.59517,9.53612,11.8081,5.69575,3.42618,4.98669,2.1153,8.63057,12.3745,14.7036,12.8842,1.0677,0.6456,113.803,26.0515,7.76412,0.8212,18.5703,4.8139,2.1574,5.00466,6.50181,2.0105,4.67371,1.9822,6.9142,3.8511,13.7164,22.2004,1.74442,4.6757,4.8139,12.0807,21.8889,2.85007,9.6844,5.26646,22.5685,2.30799,,1.53323,2.7581,2.23506,5.2953
16,2010-01-17,00:00:00.00,0.139548,1.24595,3.23507,2.1852,4.81801,28.7683,33.2,1.51084,1.27,1.45141,0.678,2.9899,4.52,1.85322,0.598,1.98764,3.01067,3.11,1.0378,0.129,5.38528,2.47,3.05151,0.959486,2.1337,0.38,1.1233,0.051,4.48736,0.7872,3.09076,1.0392,4.15013,11.3124,12.0913,6.6868,3.71129,5.61818,2.3446,8.36512,12.3178,15.0002,12.2612,1.16971,0.589,112.177,26.9293,8.3262,0.8778,20.5807,4.5307,3.30939,5.82613,10.1648,2.4098,6.01506,2.2087,10.8849,6.6828,15.7963,26.5612,2.41593,6.10757,6.6828,12.6149,28.2036,3.01565,14.6115,5.17329,22.5685,2.32368,,1.88725,4.2475,2.34179,7.8154
17,2010-01-18,00:00:00.00,0.147034,1.2071,3.08995,2.11151,4.55587,27.6359,32.3,1.47471,1.24,1.26202,0.671,2.9223,4.5,1.61762,0.594,1.94142,3.01867,3.09,0.968239,0.137,5.12401,2.44,2.95629,0.885996,2.02936,0.37,1.05037,0.049,3.29802,0.8099,2.67542,1.0477,4.16368,11.2712,10.9869,6.45072,3.55058,5.12515,2.0983,8.20513,11.978,14.8751,11.5533,1.00657,0.5409,110.455,25.8533,7.78908,0.9911,20.5232,4.2475,3.31376,4.56702,8.92791,3.5679,5.24517,4.2475,9.68352,16.9618,16.6605,35.6792,2.84102,6.21634,6.881,12.7483,34.2634,3.26679,23.5313,5.2435,22.7951,1.92797,,1.50599,4.5024,1.99777,8.2685
18,2010-01-19,00:00:00.00,0.063319,1.17098,3.06687,2.04958,4.29462,26.5682,31.7,1.46519,1.22,1.3327,0.664,2.89955,4.48,1.8228,0.591,2.08722,3.0741,3.07,0.928315,0.139,4.91742,2.42,2.81175,0.860281,1.95211,0.36,1.00256,0.047,2.84042,0.8467,2.32945,1.0591,3.95611,10.1637,10.7887,5.87105,3.48854,4.58666,1.951,8.16358,11.8931,14.3411,10.9869,0.865796,0.5069,108.873,23.3331,7.83365,1.1044,19.7402,3.9644,2.65871,4.44021,6.12568,4.7572,4.63554,7.0792,7.14324,27.8921,16.5472,36.2456,2.71831,6.13466,8.5234,12.6581,32.8475,3.51809,35.1129,5.89643,22.5685,2.34977,,1.69295,6.0881,2.38973,10.902
19,2010-01-20,00:00:00.00,0.000943335,1.13713,2.96131,1.98288,4.04602,25.5426,30,1.39104,1.21,1.21289,0.657,2.70597,4.45,1.4255,0.588,1.84023,3.01398,3.04,0.84235,0.137,4.76242,2.4,2.69104,0.835436,1.86906,0.35,0.958456,0.045,2.49721,0.8467,2.04812,1.0704,3.65368,9.38913,10.7604,5.61402,3.48326,4.49855,1.8094,8.08557,11.6949,13.7654,10.8737,0.799758,0.4701,106.881,15.2911,7.82808,1.3026,19.3499,5.6634,2.08043,4.20205,5.19079,5.0404,4.36241,5.6634,6.40672,22.6252,15.8994,31.998,1.78446,4.46077,8.3252,12.0028,29.4495,3.12086,43.3248,6.45879,21.5208,2.30306,,1.90747,6.0032,2.42787,10.7321
20,2010-01-21,00:00:00.00,0.00195033,1.10403,2.7971,1.91542,3.85528,24.5292,28,1.29884,1.18,0.996069,0.65,2.55366,4.42,1.14372,0.585,1.53684,2.82192,3.02,0.772376,0.136,4.59268,2.38,2.59223,0.811431,1.79805,0.34,0.923307,0.044,2.20998,0.8099,1.82022,1.0647,3.33931,8.69313,10.7604,5.32696,3.41459,4.42321,1.7585,7.93618,11.6949,13.2489,10.5622,0.760679,0.4502,104.616,14.7248,7.67482,1.699,19.1441,11.3267,1.658,3.91572,4.55992,4.021,4.05211,3.398,5.49705,14.7814,15.2452,30.299,1.27451,3.25533,7.2774,11.3355,27.7788,2.92628,31.1485,6.39419,19.397,1.90402,,1.18243,4.7006,2.00134,8.58
21,2010-01-22,00:00:00.00,0.0339399,1.07239,2.69959,1.85506,3.69749,23.6389,26,1.23532,1.13,0.969909,0.644,2.43689,4.41,1.10798,0.583,1.37818,2.65023,3,0.73371,0.128,4.44303,2.36,2.50588,0.788238,1.73519,0.335,0.890953,0.043,1.97261,0.7702,1.63692,0.9996,3.03709,8.13911,10.4489,5.00365,3.28136,4.33804,1.6027,7.71526,11.5816,12.8211,10.3073,0.732182,0.4332,102.617,14.1584,7.39342,1.8123,18.8296,16.9901,1.38153,3.65984,4.10049,2.6561,3.75568,3.0865,4.83503,10.1941,14.9402,26.9576,1.12283,3.42849,6.5978,11.1483,23.8994,2.95576,21.7473,6.14892,15.999,1.78983,,0.725213,3.3697,1.7424,6.3713
22,2010-01-23,00:00:00.00,0.280281,1.04187,2.61005,1.79747,3.56044,22.886,27,1.18308,1.1,0.934813,0.638,2.33245,4.4,1.07372,0.581,1.27807,2.48265,2.98,0.710526,0.127,4.29316,2.34,2.42743,0.765829,1.67788,0.33,0.860565,0.042,1.81032,0.7362,1.49041,0.9231,2.81989,7.68351,9.9109,4.69965,3.11669,4.22334,1.682,7.44261,11.6099,12.5562,10.0242,0.862257,0.4276,101.394,13.8753,7.54294,1.7273,18.5602,14.1584,1.35504,3.71314,4.06993,2.6108,3.67223,2.945,4.67607,8.4667,14.9474,25.7683,1.64002,4.57317,6.4279,11.5261,21.8323,3.51824,16.9052,5.947,16.0273,1.66398,,0.746878,3.1149,1.55299,5.9182
23,2010-01-24,00:00:00.00,0.0287075,1.01237,2.52665,1.74227,3.43591,22.1284,28.2,1.13765,1.12,0.90732,0.633,2.23662,4.39,1.04133,0.58,1.21559,2.32547,2.97,0.689428,0.137,4.14506,2.32,2.35427,0.744178,1.62449,0.325,0.833603,0.041,1.73576,0.6994,1.39915,0.8099,2.7026,7.4132,10.0808,4.47173,2.94959,4.1393,1.5886,7.17138,11.5533,12.3864,9.8826,1.00231,0.5465,100.522,14.7248,7.52444,1.5291,18.1809,11.8931,1.40117,3.58532,4.13188,3.483,3.5325,5.8899,4.72532,13.0541,15.0012,27.7222,1.65993,5.10209,6.4279,11.8105,25.8816,3.80843,11.978,5.79703,13.6204,1.55213,,0.740005,2.5485,1.43827,4.9554
24,2010-01-25,00:00:00.00,1.80424,3.8864,4.83484,2.6257,3.79752,22.0137,29,1.90887,1.21,3.78075,1.65,2.74923,4.7,6.97766,1.85,4.42534,3.082,2.96,1.38437,1.54,5.80174,2.6,7.54674,7.8564,3.83491,0.32,1.97628,0.18,2.75415,0.8976,2.14165,1.0364,3.42095,9.41761,17.4149,6.20555,3.69902,5.3469,3.3697,8.15284,12.5444,13.1689,11.0719,1.35884,2.2569,100.569,15.2911,8.58912,1.6707,19.4075,22.6535,2.30379,5.11633,6.89614,29.1664,5.08634,31.998,6.92619,37.6614,15.676,73.6238,2.2073,5.58318,11.3551,12.3204,42.4753,4.37559,7.7871,7.47121,14.8097,4.39058,,3.37828,5.2953,4.26258,8.4951
25,2010-01-26,00:00:00.00,1.57681,10.2012,8.16885,4.15239,4.64635,22.72,46.6,3.28138,9,7.8087,30,4.31101,10.2,10.6207,42.8,8.19962,4.94839,28.4,2.21549,18.3,9.41416,36,26.1681,18.8187,9.01547,1.5,3.28186,3,3.78004,2.1238,2.87645,3.2564,4.53666,14.0252,32.8475,9.31187,4.42841,6.94931,9.2879,8.6789,16.084,14.9575,22.6252,1.62859,11.9497,101.326,254.852,9.53105,21.5208,21.2946,109.869,3.42499,6.01762,11.2316,66.2614,7.00426,60.0317,11.7506,91.1802,18.5139,125.727,4.09969,9.94994,101.657,15.1858,147.814,7.15084,52.3862,17.2513,255.701,10.8069,,11.8972,97.1268,11.546,116.099
26,2010-01-27,00:00:00.00,0.0247499,9.67088,8.25952,5.17925,5.03914,23.2769,54,3.1409,14.3,5.31251,23.9,4.71303,12.8,4.62986,17.7,6.78064,6.12975,29.4,1.79194,8.95,12.356,64.6,33.2344,11.6671,13.4486,10.8,3.00924,15.8,3.25054,4.3325,2.6223,5.0404,4.84885,15.694,27.2974,9.08943,3.98821,6.30188,5.9182,7.95659,15.6875,15.7409,29.4495,1.31776,10.8454,101.59,481.386,8.92104,30.8654,20.9776,141.018,3.2609,4.88358,9.8917,25.5984,6.38225,33.9802,11.9304,65.6951,20.3173,76.7387,3.93076,9.9557,40.7763,17.3326,240.127,7.28449,103.073,27.6252,114.117,10.3311,,12.5665,18.1511,13.6943,30.299
27,2010-01-28,00:00:00.00,1.8761e-05,3.55297,7.33264,5.96888,4.92649,23.8517,47,2.06042,9.5,0.979878,9.89,3.97837,10.4,0.92562,6.51,4.00603,5.93008,10.4,0.984496,2.9,16.2567,60.4,18.4544,0.665754,12.626,22.4,2.25298,19.1,2.49973,3.2848,2.2224,3.6529,4.54042,13.16,23.0499,7.04977,3.50935,4.95942,3.2848,7.8187,13.9602,15.0388,36.2456,0.929994,4.3325,101.714,424.753,8.67188,13.762,20.1276,104.489,2.53071,4.55593,6.24281,7.2774,5.38605,12.7992,8.63908,21.9739,19.3027,52.103,2.27774,5.44925,17.9529,16.077,133.939,5.62421,29.1664,27.2187,47.006,6.21471,,3.68611,5.9465,9.30239,11.3551
28,2010-01-29,00:00:00.00,0,1.13507,6.89971,6.08416,4.82748,25.0184,33,1.51645,5.2,0.657184,5.24,3.63462,9.5,0.889508,3.2,2.71475,5.38282,6.52,0.676051,2.13,18.8936,43.2,9.14068,0.64642,8.39103,27.2,1.67538,9.69,2.07965,2.3673,1.88559,2.4466,4.00585,10.709,16.9618,6.22425,3.32645,4.48403,2.3503,7.80937,13.0257,13.9845,32.2812,0.698782,3.0582,101.349,300.159,8.37446,7.0792,19.861,59.1822,1.87204,4.26636,4.97255,4.6723,4.97305,7.504,7.26791,11.2418,18.6487,43.6079,1.41376,4.21202,12.2612,14.927,88.3486,5.87327,12.6859,23.3777,31.4317,5.77029,,0.239506,4.2475,6.25662,8.5234
29,2010-01-30,00:00:00.00,6.69502e-07,0.863754,6.00984,5.32614,4.83291,26.471,28,1.22629,4.1,0.80607,3.75,3.23506,6.75,0.862376,2.2,1.91264,4.92214,5.54,0.604467,0.7,17.1492,30,7.51415,0.628806,5.55431,24.3,1.24436,3.8,1.7512,1.5121,1.60531,1.7471,3.46372,9.33956,12.8558,5.61565,3.22429,4.21626,2.1209,7.72613,11.6382,13.1443,24.041,0.609929,2.4211,100.524,179.246,7.89593,4.8139,19.5795,24.2675,1.40412,3.88036,4.23617,4.3891,4.53527,4.6156,6.1752,6.2014,18.6499,38.5109,1.06531,3.83411,8.2685,14.9344,66.8278,5.90149,7.2208,20.1826,21.5208,5.06483,,0.52855,3.1149,4.71429,4.8988
30,2010-01-31,00:00:00.00,7.80859e-05,0.837153,5.1023,4.33335,4.92618,27.7391,29,1.05598,3.1,0.685213,2,2.85884,5.8,0.836161,1.5,1.40615,4.37258,4.69,0.568035,0.25,14.3601,21,6.25701,0.611787,4.17904,12.4,0.948859,2.2,1.53249,1.2403,1.37398,1.5319,2.97356,8.2535,11.9214,5.00745,3.07225,4.02041,1.985,7.52309,12.8842,12.5947,20.4164,0.570867,1.6905,99.8831,111.852,7.31824,3.6812,19.0473,22.6535,1.10426,3.47785,3.70372,5.097,4.0694,3.2564,5.10246,5.2669,18.27,31.998,0.86592,3.26191,6.9659,15.0706,43.0416,5.75949,5.805,16.3211,21.5208,4.33959,,0.591835,2.9733,3.65469,6.2014
31,2010-02-01,00:00:00.00,0.00103968,0.814023,4.23207,3.40738,5.07908,28.615,31,0.950999,2.7,0.719429,1.6,2.51381,5.3,0.810833,1.32,1.14638,3.7808,4.08,0.543071,0.19,12.1219,14,5.34236,0.596456,3.37933,7.15,0.787809,1.3,1.3837,1.0675,1.19701,1.362,2.58375,7.34791,11.1285,4.46016,2.85958,3.8439,1.8463,7.20622,11.9214,12.1929,18.236,0.545347,1.0845,99.597,88.6317,6.80133,3.1149,18.3057,21.2376,0.941757,3.08793,3.30139,3.9077,3.63692,4.8139,4.3309,4.0493,17.6607,27.6372,0.746581,2.8819,6.4846,15.179,19.5103,5.4981,4.6156,13.5607,17.9246,3.69246,,0.577715,2.5485,2.8913,4.5307
