time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
280,2010-10-08,00:00:00.00,0.000170807,0.72198,0.920297
281,2010-10-09,00:00:00.00,0,0.67086,0.889149
282,2010-10-10,00:00:00.00,0,0.643303,0.798535
283,2010-10-11,00:00:00.00,0,0.62398,0.767387
284,2010-10-12,00:00:00.00,0.0247198,0.614018,0.705089
285,2010-10-13,00:00:00.00,0.000750937,0.601523,0.730575
286,2010-10-14,00:00:00.00,11.4295,3.43074,0.744733
287,2010-10-15,00:00:00.00,2.95496,5.2459,6.0598
288,2010-10-16,00:00:00.00,0.10295,3.10815,2.94495
289,2010-10-17,00:00:00.00,0,1.56469,1.42717
290,2010-10-18,00:00:00.00,2.908e-308,0.978485,1.0902
291,2010-10-19,00:00:00.00,0.0676267,0.78249,0.928793
292,2010-10-20,00:00:00.00,0.0260246,0.713685,0.863664
293,2010-10-21,00:00:00.00,4.70175,1.87736,0.880654
294,2010-10-22,00:00:00.00,4.28628,3.4065,1.6537
295,2010-10-23,00:00:00.00,0.0137027,2.763,1.78396
296,2010-10-24,00:00:00.00,0.534982,1.56602,1.19214
297,2010-10-25,00:00:00.00,0.24367,1.19337,1.02224
298,2010-10-26,00:00:00.00,0.187949,0.96343,0.945783
299,2010-10-27,00:00:00.00,4.35907,1.95047,1.54893
300,2010-10-28,00:00:00.00,0.0419075,2.26736,2.70992
301,2010-10-29,00:00:00.00,0.0117229,1.24827,1.3677
302,2010-10-30,00:00:00.00,0.00790799,0.87272,0.985426
303,2010-10-31,00:00:00.00,0.00462284,0.733947,0.931624
304,2010-11-01,00:00:00.00,0.0573658,0.692063,0.821189
305,2010-11-02,00:00:00.00,0.00133545,0.671719,0.795703
306,2010-11-03,00:00:00.00,0.0135083,0.649116,0.818357
307,2010-11-04,00:00:00.00,0.370142,0.730686,0.787208
308,2010-11-05,00:00:00.00,0.787571,0.95343,0.858
309,2010-11-06,00:00:00.00,0.618607,1.0485,0.832515
310,2010-11-07,00:00:00.00,0.0340775,0.912864,0.84101
311,2010-11-08,00:00:00.00,0,0.750055,0.835347
312,2010-11-09,00:00:00.00,0,0.65633,0.77305
313,2010-11-10,00:00:00.00,0.00344846,0.619311,0.826852
314,2010-11-11,00:00:00.00,0.094328,0.624883,0.858
315,2010-11-12,00:00:00.00,0.0334609,0.62981,0.826852
316,2010-11-13,00:00:00.00,0.0523061,0.616383,0.82402
317,2010-11-14,00:00:00.00,0.9719,0.839759,0.787208
318,2010-11-15,00:00:00.00,1.23341,1.20861,0.815525
319,2010-11-16,00:00:00.00,0.0135719,1.10218,0.954278
320,2010-11-17,00:00:00.00,10.8979,3.46173,0.928793
321,2010-11-18,00:00:00.00,4.36203,5.47139,5.94654
322,2010-11-19,00:00:00.00,0.169062,3.56858,3.68119
323,2010-11-20,00:00:00.00,0.00981275,1.7634,1.66503
324,2010-11-21,00:00:00.00,4.75427e-308,1.07327,1.22895
325,2010-11-22,00:00:00.00,0.179844,0.865286,1.0279
326,2010-11-23,00:00:00.00,14.891,4.72446,2.82602
327,2010-11-24,00:00:00.00,6.50456,7.78252,13.9885
328,2010-11-25,00:00:00.00,0.39159,5.16755,5.23862
329,2010-11-26,00:00:00.00,24.2779,9.6,4.95545
330,2010-11-27,00:00:00.00,0.242453,11.249,10.7604
331,2010-11-28,00:00:00.00,0.0845824,4.89438,4.44574
332,2010-11-29,00:00:00.00,0.000694923,2.46834,2.27667
333,2010-11-30,00:00:00.00,1.7896e-308,1.58817,1.6537
334,2010-12-01,00:00:00.00,20.1902,7.8124,8.12694
335,2010-12-02,00:00:00.00,0.859504,10.2272,8.94812
336,2010-12-03,00:00:00.00,0.549418,4.62071,3.87941
337,2010-12-04,00:00:00.00,0.196,2.49162,2.38711
338,2010-12-05,00:00:00.00,0.552187,1.72902,1.84909
339,2010-12-06,00:00:00.00,0.351615,1.45507,1.65087
340,2010-12-07,00:00:00.00,0.351839,1.35104,1.45265
341,2010-12-08,00:00:00.00,0.209947,1.30918,1.36204
342,2010-12-09,00:00:00.00,0.352856,1.28922,1.28275
343,2010-12-10,00:00:00.00,0.0530982,1.27715,1.19214
344,2010-12-11,00:00:00.00,2.55598,1.53976,1.23178
345,2010-12-12,00:00:00.00,0.640359,1.72044,1.26576
346,2010-12-13,00:00:00.00,24.5059,5.2576,3.87941
347,2010-12-14,00:00:00.00,0.942893,6.51066,3.85109
348,2010-12-15,00:00:00.00,0.0587554,3.25646,2.66178
349,2010-12-16,00:00:00.00,0.0471939,2.05855,1.92555
350,2010-12-17,00:00:00.00,0.00596228,1.63071,1.50079
351,2010-12-18,00:00:00.00,0.29259,1.47563,1.34222
352,2010-12-19,00:00:00.00,0.468633,1.41594,1.25727
353,2010-12-20,00:00:00.00,0.793357,1.38986,1.20913
354,2010-12-21,00:00:00.00,0.0763463,1.37585,1.20063
355,2010-12-22,00:00:00.00,0.0936283,1.36536,1.21479
356,2010-12-23,00:00:00.00,1.09712,1.35574,1.21479
357,2010-12-24,00:00:00.00,0.0596015,1.3463,1.19214
358,2010-12-25,00:00:00.00,0.0962391,1.33717,1.14683
359,2010-12-26,00:00:00.00,0.422568,1.32856,1.11568
360,2010-12-27,00:00:00.00,0.656396,1.31997,1.09869
361,2010-12-28,00:00:00.00,0.0967606,1.31125,1.08454
362,2010-12-29,00:00:00.00,0.0780447,1.30301,1.04489
363,2010-12-30,00:00:00.00,0.000530505,1.29495,1.0902
364,2010-12-31,00:00:00.00,0.792456,1.37521,1.16382
365,2011-01-01,00:00:00.00,3.75276,4.01377,2.27667
366,2011-01-02,00:00:00.00,8.78125,11.7113,13.0824
367,2011-01-03,00:00:00.00,0.398863,12.0954,10.9586
368,2011-01-04,00:00:00.00,0.105144,5.55682,3.45466
369,2011-01-05,00:00:00.00,1.8393,3.23047,2.36162
370,2011-01-06,00:00:00.00,0.318041,2.39529,1.88024
371,2011-01-07,00:00:00.00,2.01393,2.00314,1.75564
