gage id,basin,subbasin,method,objective,area (km2)
04027500,sup,3,matching,2 only,779.59
04027000,sup,3,matching,1 & 2,1546.23
04031000,sup,4,matching,1 & 2,518
04040000,sup,5,matching,2 only,3470.6
04040500,sup,7,new maps,1,419.8266
04044724,sup,9,matching,2 only,209.79
04045500,sup,10,matching,1 & 2,2046.1
02BF002,sup,12,matching,1,1140
02BF001,sup,12,matching,1 & 2,1230
02BD002,sup,14,matching,2 only,5310
02BB004,sup,16,new maps,2 only,210
02BB003,sup,16,matching,1 & 2,4220
02BA003,sup,17,matching,1 & 2,1320
02AD010,sup,19,new maps,1,652
02AC002,sup,20,matching,1 & 2,2980
02AC001,sup,20,matching,1 & 2,726
02AB017,sup,21,matching,1 & 2,226
04010500,sup,22,matching,2 only,1577.31
02LB008,OTTAWA,NA,new maps,1,448.1700134
02LB005,OTTAWA,NA,new maps,2 only,3770
02LA007,OTTAWA,NA,new maps,1 & 2,526
02LA006,OTTAWA,NA,new maps,2 only,411.1199951
02LA004,OTTAWA,NA,new maps,2 only,3811.139893
02KF011,OTTAWA,NA,new maps,1,258.480011
02JC008,OTTAWA,NA,new maps,1,1782.25
