time,date,hour,precip [mm/day],sub715 [m3/s],sub715 (observed) [m3/s],sub723 [m3/s],sub724 [m3/s]
272,2010-09-30,00:00:00.00,0.642708,11.3778,2.3786,1.25018,2.41739
273,2010-10-01,00:00:00.00,0.00796991,12.4562,2.4607,1.41219,2.69157
274,2010-10-02,00:00:00.00,0.0317975,13.5738,3.1998,1.50808,2.93324
275,2010-10-03,00:00:00.00,9.56855,13.8633,3.3414,1.44791,2.89801
276,2010-10-04,00:00:00.00,5.23816,13.3702,3.7945,1.34129,2.70778
277,2010-10-05,00:00:00.00,0.87363,12.9328,3.9644,1.33261,2.65937
278,2010-10-06,00:00:00.00,0.340704,13.0487,3.1715,1.39819,2.74991
279,2010-10-07,00:00:00.00,0.0963377,13.2927,4.1909,1.41166,2.79567
280,2010-10-08,00:00:00.00,0.00799229,13.0922,3.483,1.34087,2.69619
281,2010-10-09,00:00:00.00,0,12.5112,2.7779,1.25715,2.55172
282,2010-10-10,00:00:00.00,0,11.9279,2.6618,1.20769,2.44509
283,2010-10-11,00:00:00.00,0.000709999,11.5374,2.3276,1.18498,2.37507
284,2010-10-12,00:00:00.00,0.0117981,11.3051,1.9992,1.17049,2.33335
285,2010-10-13,00:00:00.00,0.00204692,11.1452,1.7953,1.15686,2.30229
286,2010-10-14,00:00:00.00,4.64959,11.0145,1.5461,1.14531,2.27816
287,2010-10-15,00:00:00.00,3.90645,10.9415,1.5659,1.14429,2.27139
288,2010-10-16,00:00:00.00,0.126901,11.002,1.75,1.16561,2.30013
289,2010-10-17,00:00:00.00,5.2788e-308,11.1986,1.5291,1.19831,2.35383
290,2010-10-18,00:00:00.00,0,11.3683,1.3904,1.20461,2.38016
291,2010-10-19,00:00:00.00,0.7805,11.3115,1.2884,1.17172,2.34576
292,2010-10-20,00:00:00.00,0.157071,11.0437,1.2686,1.12817,2.27537
293,2010-10-21,00:00:00.00,0.0221951,10.7414,1.3592,1.09833,2.21023
294,2010-10-22,00:00:00.00,0.143757,10.4946,1.5631,1.08161,2.16595
295,2010-10-23,00:00:00.00,0.0248456,10.3174,1.5942,1.06957,2.13611
296,2010-10-24,00:00:00.00,0.0138693,10.1887,1.2828,1.05817,2.11213
297,2010-10-25,00:00:00.00,2.02718,10.0743,1.1383,1.04704,2.08919
298,2010-10-26,00:00:00.00,0.205862,9.96976,1.1468,1.03665,2.06632
299,2010-10-27,00:00:00.00,14.8021,9.90861,1.3989,1.03613,2.05742
300,2010-10-28,00:00:00.00,0.135051,10.0466,1.9057,1.07557,2.10931
301,2010-10-29,00:00:00.00,0.0200865,10.607,1.9765,1.18206,2.27223
302,2010-10-30,00:00:00.00,0.338884,11.4525,1.6509,1.28255,2.45966
303,2010-10-31,00:00:00.00,0.0342974,11.8991,1.5319,1.26475,2.50082
304,2010-11-01,00:00:00.00,0.038678,11.5695,2.0331,1.16223,2.38108
305,2010-11-02,00:00:00.00,0.000282777,10.9208,2.2965,1.07962,2.22392
306,2010-11-03,00:00:00.00,0,10.394,1.9255,1.04432,2.11993
307,2010-11-04,00:00:00.00,0.347149,10.0399,1.733,1.03104,2.06974
308,2010-11-05,00:00:00.00,2.6798,9.85239,1.9935,1.02201,2.04401
309,2010-11-06,00:00:00.00,0.80268,9.76442,1.9907,1.0176,2.0308
310,2010-11-07,00:00:00.00,0.0730858,9.73953,1.8094,1.02156,2.0323
311,2010-11-08,00:00:00.00,0.000255197,9.75151,1.5546,1.02511,2.03802
312,2010-11-09,00:00:00.00,4.77e-308,9.72251,1.3819,1.01476,2.02667
313,2010-11-10,00:00:00.00,3.193e-308,9.62434,1.2969,0.994378,1.99541
314,2010-11-11,00:00:00.00,1.20955e-308,9.48007,1.1468,0.976427,1.95902
315,2010-11-12,00:00:00.00,0.0139762,9.3348,1.2006,0.964227,1.9291
316,2010-11-13,00:00:00.00,0.0365246,9.21185,1.3281,0.954764,1.90629
317,2010-11-14,00:00:00.00,0.0823227,9.10921,1.2261,0.945792,1.88683
318,2010-11-15,00:00:00.00,0.14658,9.01827,1.144,0.936917,1.86854
319,2010-11-16,00:00:00.00,0.000215831,8.9323,1.0987,0.92819,1.85141
320,2010-11-17,00:00:00.00,17.9568,8.89288,1.2743,0.930813,1.85148
321,2010-11-18,00:00:00.00,1.58987,9.08614,2.9166,0.984847,1.92741
322,2010-11-19,00:00:00.00,0.40184,9.8117,3.8794,1.12811,2.14694
323,2010-11-20,00:00:00.00,0.0333913,10.9491,3.2848,1.26847,2.40391
324,2010-11-21,00:00:00.00,0.00169477,11.6717,3.5113,1.25677,2.4752
325,2010-11-22,00:00:00.00,0.0303632,11.3813,2.86,1.12903,2.33191
326,2010-11-23,00:00:00.00,3.07304,10.5566,2.54,1.02342,2.13349
327,2010-11-24,00:00:00.00,9.31671,9.93705,2.339,0.991608,2.01777
