 radcl\20100101_met.r
      72    7.73    8.94    9.83   15.24   15.49   25.07    1.26    1.46    1.02    0.67    1.64    2.53    0.79    0.99    2.01    3.10   18.86   37.74
      96    7.31    6.85    9.32   11.43   12.63   20.17    1.35    1.39    0.89    0.56    1.25    2.29    0.71    0.88    2.31    2.63   18.97   34.47
     120    6.82    6.20    8.66    9.21   12.83   15.81    1.27    1.34    0.76    0.49    1.13    2.01    0.65    0.74    2.13    2.25   20.39   29.96
     144    6.85    6.09    8.07    8.66   11.75   13.95    1.21    1.31    0.74    0.46    0.91    1.79    0.62    0.69    1.98    2.04   19.71   25.61
     168    7.14    6.12    8.18    8.57   11.10   13.44    1.17    1.30    0.69    0.45    0.82    1.68    0.57    0.69    2.04    1.93   18.69   23.49
     192    7.28    6.19    8.50    8.61   11.41   13.35    1.24    1.31    0.63    0.46    0.74    1.64    0.59    0.71    2.10    1.88   19.14   23.12
     216    7.05    6.23    8.10    8.64   11.02   13.37    1.15    1.29    0.57    0.46    0.62    1.60    0.54    0.69    2.15    1.85   18.86   22.59
     240    6.80    6.27    7.08    8.68   10.79   13.38    1.04    1.27    0.51    0.45    0.65    1.58    0.51    0.67    1.81    1.83   17.36   21.38
     264    6.65    6.30    7.82    8.71   11.24   13.39    1.20    1.26    0.49    0.45    0.57    1.57    0.48    0.68    1.97    1.82   17.92   20.42
     288    6.54    6.32    8.04    8.73   10.34   13.39    1.17    1.25    0.47    0.45    0.51    1.55    0.45    0.68    2.06    1.82   18.43   20.10
     312    6.60    6.33    7.90    8.73   10.42   13.38    1.13    1.24    0.45    0.44    0.45    1.54    0.42    0.67    2.05    1.82   17.75   20.05
     336    6.82    6.33    8.01    8.73   10.70   13.36    1.11    1.22    0.51    0.44    0.45    1.52    0.40    0.66    2.13    1.82   18.94   19.89
     360    6.99    6.32    9.29    8.71   11.81   13.33    1.23    1.20    0.65    0.44    0.40    1.51    0.40    0.66    2.61    1.81   22.20   19.57
     384    6.65    6.31    8.72    8.69   12.09   13.28    1.25    1.18    0.59    0.43    0.40    1.53    0.40    0.66    4.08    2.32   26.56   20.02
     408    6.57    6.28    7.82    8.66   10.99   13.24    1.20    1.17    0.54    0.43    0.45    1.57    0.42    0.71    5.83    3.78   35.68   25.26
     432    6.48    6.25    7.62    8.63   10.79   13.19    1.14    1.16    0.51    0.43    0.54    1.53    0.71    0.71    6.43    3.87   36.25   32.54
     456    6.37    6.22    7.45    8.59   10.76   13.14    1.10    1.14    0.47    0.43    1.70    1.50    1.27    0.68    5.15    3.14   32.00   34.92
     480    6.29    6.19    7.31    8.55   10.76   13.09    1.08    1.13    0.45    0.43    2.83    1.48    1.22    0.66    3.99    2.63   30.30   33.84
     504    6.17    6.15    7.14    8.52   10.45   13.04    1.03    1.12    0.43    0.43    2.27    1.48    0.96    0.66    3.11    2.34   26.96   29.81
     528    6.12    6.12    7.05    8.48    9.91   12.99    1.04    1.11    0.43    0.43    1.70    1.54    0.82    0.68    3.03    3.04   25.77   26.57
     552    6.03    6.26    6.94    8.59   10.08   13.09    1.04    1.15    0.55    0.80    1.98    1.61    0.96    0.74    3.79    4.36   27.72   30.16
     576    7.45   13.17   11.50   14.28   17.41   18.62    2.17    6.49    2.26    3.20   12.35    1.68    9.34    0.91   17.22    6.19   73.62   42.28
     600   10.65   21.51   17.05   30.16   32.85   35.68    4.13   10.26   11.95    4.50   25.82    1.63   20.10    0.81   25.54    6.53  125.73   53.73
     624    8.75   19.77   12.69   44.80   27.30   55.64    2.57   10.17   10.85    3.73   30.87    1.58   18.32    0.75   16.96    5.60   76.74   57.29
     648    7.73   14.07   10.02   51.19   23.05   64.11    1.83    8.60    4.33    2.65   23.93    1.55    6.74    0.70    6.14    4.50   52.10   54.13
     672    7.31   10.61    8.66   42.73   16.96   58.15    1.48    5.80    3.06    1.47    7.56    1.53    2.58    0.68    4.11    3.84   43.61   47.34
     696    6.46    9.22    6.94   28.73   12.86   42.21    1.31    3.60    2.42    0.72    4.25    1.51    1.87    0.66    2.97    3.60   38.51   39.28
     720    6.03    8.71    7.05   18.86   11.92   28.58    1.21    2.45    1.69    0.51    3.68    1.50    1.64    0.65    2.72    3.49   32.00   32.71
     744    5.75    8.49    6.65   13.65   11.13   20.66    1.15    1.96    1.08    0.48    2.83    1.50    1.19    0.65    2.28    3.29   27.64   28.53
 radcl\20100101_met.r
    1  744  744   24
 location                          precip   o        c       qpm     qpc
04213000                               0.     96.     30.     30.      0.      0.
  hour    then pairs of measured and computed flows
      24    6.40    4.03
      48    5.97    3.32
      72    5.49    3.87
      96    5.35    5.12
     120    5.18    6.12
     144    4.96    8.01
     168    4.73    8.31
     192    4.53    7.91
     216    4.73    7.42
     240    6.65    6.94
     264   10.08    6.38
     288    8.35    5.80
     312    7.39    5.30
     336    7.05    4.93
     360    9.68    4.68
     384   14.61    4.51
     408   23.53    4.41
     432   35.11    4.35
     456   43.32    4.32
     480   31.15    4.32
     504   21.75    4.32
     528   16.91    4.32
     552   11.98    4.29
     576    7.79    4.43
     600   52.39    4.64
     624  103.07    4.61
     648   29.17    4.68
     672   12.69    4.78
     696    7.22    4.78
     720    5.80    4.82
     744    4.62    4.91
 radcl\20100201_met.r
    9  672  672   24
 location                          precip   o        c       qpm     qpc
02GA010                               0.     52.     51.     51.      0.      0.
02GA018                               0.     22.     14.     14.      0.      0.
02GA038                               0.     21.      6.      6.      0.      0.
02GA047                               0.     30.     30.     30.      0.      0.
02GB007                               0.     24.     19.     19.      0.      0.
02GC002                               0.     31.     13.     13.      0.      0.
02GC010                               0.     33.     24.     24.      0.      0.
02GC018                               0.     31.     10.     10.      0.      0.
02GD004                               0.     30.     20.     20.      0.      0.
  hour    then pairs of measured and computed flows
      24   11.50    8.58    3.64    1.31    1.90    0.40    4.55    3.97    2.35    1.08    1.35    0.61    2.33    1.49    1.28    0.56    2.04    1.10
      48   10.00    8.36    2.90    1.33    1.50    0.38    4.50    3.88    2.00    1.09    1.15    0.61    2.05    1.46    1.14    0.57    1.93    1.09
      72    8.70    8.27    2.38    1.31    1.20    0.37    4.45    3.83    1.80    1.09    1.03    0.62    1.86    1.44    1.09    0.57    1.83    1.09
      96    8.00    8.23    2.05    1.29    1.02    0.36    4.40    3.77    1.61    1.06    0.92    0.60    1.77    1.43    1.03    0.55    1.75    1.08
     120    7.20    8.18    1.89    1.27    0.92    0.35    4.39    3.73    1.45    1.05    0.82    0.59    1.70    1.42    0.92    0.55    1.68    1.07
     144    6.50    8.12    1.71    1.26    0.82    0.34    4.35    3.69    1.30    1.05    0.75    0.59    1.62    1.42    0.87    0.55    1.61    1.07
     168    6.00    8.07    1.52    1.25    0.73    0.34    4.32    3.65    1.22    1.05    0.70    0.60    1.55    1.41    0.82    0.55    1.56    1.06
     192    5.50    8.03    1.41    1.25    0.65    0.35    4.30    3.62    1.10    1.05    0.65    0.59    1.54    1.41    0.79    0.55    1.51    1.06
     216    5.20    8.00    1.33    1.25    0.61    0.35    4.25    3.60    1.01    1.05    0.61    0.62    1.53    1.42    0.73    0.57    1.47    1.06
     240    4.90    7.98    1.36    1.27    0.56    0.37    4.21    3.60    0.98    1.07    0.59    0.67    1.52    1.43    0.70    0.62    1.43    1.08
     264    4.70    7.96    1.32    1.28    0.51    0.36    4.20    3.60    0.94    1.06    0.57    0.61    1.48    1.42    0.68    0.57    1.39    1.07
     288    4.50    7.95    1.28    1.26    0.47    0.35    4.19    3.59    0.89    1.04    0.55    0.59    1.45    1.41    0.65    0.55    1.36    1.06
     312    4.30    7.93    1.22    1.25    0.44    0.35    4.18    3.59    0.87    1.04    0.53    0.59    1.42    1.40    0.63    0.55    1.33    1.06
     336    4.15    7.90    1.18    1.24    0.41    0.34    4.16    3.58    0.84    1.03    0.51    0.60    1.41    1.40    0.61    0.55    1.30    1.06
     360    4.01    7.86    1.15    1.24    0.38    0.35    4.14    3.57    0.84    1.03    0.51    0.59    1.40    1.39    0.59    0.55    1.27    1.05
     384    3.95    7.82    1.19    1.24    0.35    0.35    4.13    3.55    0.82    1.03    0.50    0.59    1.40    1.39    0.57    0.54    1.24    1.05
     408    3.90    7.80    1.26    1.24    0.34    0.34    4.13    3.53    0.81    1.03    0.49    0.58    1.39    1.38    0.57    0.54    1.22    1.04
     432    3.85    7.77    1.21    1.22    0.33    0.34    4.15    3.51    0.80    1.02    0.48    0.58    1.39    1.38    0.55    0.53    1.20    1.04
     456    3.80    7.74    1.19    1.22    0.32    0.33    4.12    3.49    0.81    1.03    0.48    0.58    1.38    1.37    0.53    0.53    1.18    1.04
     480    3.75    7.71    1.16    1.21    0.31    0.33    3.54    3.47    0.82    1.03    0.47    0.58    1.38    1.37    0.52    0.53    1.16    1.03
     504    3.73    7.68    1.18    1.21    0.30    0.33    3.62    3.46    0.83    1.03    0.47    0.58    1.38    1.37    0.51    0.53    1.14    1.03
     528    3.70    7.69    1.23    1.27    0.29    0.37    3.73    3.50    0.86    1.33    0.47    0.73    1.37    1.47    0.50    0.66    1.12    1.07
     552    3.67    7.71    1.21    1.32    0.29    0.42    3.72    3.54    0.88    2.04    0.47    0.76    1.37    1.47    0.50    0.66    1.11    1.08
     576    3.64    7.75    1.18    1.31    0.28    0.37    3.73    3.55    0.89    2.01    0.46    0.64    1.36    1.44    0.49    0.56    1.10    1.07
     600    3.61    7.76    1.15    1.26    0.28    0.35    3.73    3.57    0.92    1.35    0.45    0.59    1.36    1.42    0.49    0.54    1.09    1.05
     624    3.58    7.76    1.12    1.27    0.27    0.37    3.71    3.63    0.93    1.30    0.44    0.70    1.37    1.41    0.48    0.62    1.08    1.05
     648    3.55    7.70    1.09    1.27    0.27    0.38    3.81    3.65    0.95    1.51    0.44    0.81    1.38    1.40    0.48    0.67    1.07    1.05
     672    3.52    7.65    1.21    1.25    0.26    0.35    3.94    3.68    0.98    2.04    0.44    0.71    1.39    1.39    0.48    0.61    1.06    1.04
 radcl\20100201_met.r
    9  672  672   24
 location                          precip   o        c       qpm     qpc
