time,date,hour,precip [mm/day],sub696 [m3/s],sub696 (observed) [m3/s],sub698 [m3/s]
285,2010-10-13,00:00:00.00,0.0572537,2.47595,0.995,1.57228
286,2010-10-14,00:00:00.00,6.43299,2.58192,0.962,1.69935
287,2010-10-15,00:00:00.00,21.6092,3.52238,1.19,2.4143
288,2010-10-16,00:00:00.00,0.7386,5.53293,1.38,4.0354
289,2010-10-17,00:00:00.00,0.00276678,6.71227,1.44,4.55185
290,2010-10-18,00:00:00.00,0.00979889,6.26809,1.47,3.72316
291,2010-10-19,00:00:00.00,0.00140894,5.33623,1.49,3.14473
292,2010-10-20,00:00:00.00,0.0407225,4.65178,1.43,2.82035
293,2010-10-21,00:00:00.00,3.39443,4.31485,1.31,2.65396
294,2010-10-22,00:00:00.00,8.49552,4.55767,1.27,2.92309
295,2010-10-23,00:00:00.00,0.147138,5.26214,1.21,3.48446
296,2010-10-24,00:00:00.00,1.44617,5.50759,1.16,3.52775
297,2010-10-25,00:00:00.00,1.48802,5.09445,1.16,3.09299
298,2010-10-26,00:00:00.00,0.142461,4.54966,1.24,2.74919
299,2010-10-27,00:00:00.00,5.13706,4.29323,1.26,2.66052
300,2010-10-28,00:00:00.00,0.176015,4.38451,1.25,2.79086
301,2010-10-29,00:00:00.00,0.125254,4.36101,1.21,2.75621
302,2010-10-30,00:00:00.00,0.309435,4.09275,1.18,2.51523
303,2010-10-31,00:00:00.00,0.0391562,3.78746,1.17,2.30856
304,2010-11-01,00:00:00.00,1.62036,3.53304,1.18,2.15822
305,2010-11-02,00:00:00.00,0.00460834,3.35228,1.16,2.06792
306,2010-11-03,00:00:00.00,0.000245959,3.18821,1.15,1.97699
307,2010-11-04,00:00:00.00,0.16151,3.01448,1.15,1.85879
308,2010-11-05,00:00:00.00,2.83702,2.91559,1.16,1.80061
309,2010-11-06,00:00:00.00,5.9669,3.09592,1.29,1.96985
310,2010-11-07,00:00:00.00,0.698289,3.47029,1.47,2.28918
311,2010-11-08,00:00:00.00,0,3.60606,1.59,2.35657
312,2010-11-09,00:00:00.00,0,3.4552,1.57,2.13717
313,2010-11-10,00:00:00.00,0,3.20817,1.74,1.93323
314,2010-11-11,00:00:00.00,0.00162682,2.95959,1.77,1.8059
315,2010-11-12,00:00:00.00,0.00079765,2.77378,1.61,1.70532
316,2010-11-13,00:00:00.00,0.00240077,2.63441,1.47,1.62215
317,2010-11-14,00:00:00.00,0.0109282,2.52678,1.41,1.54671
318,2010-11-15,00:00:00.00,5.21747,2.56709,1.36,1.59427
319,2010-11-16,00:00:00.00,0.000804637,2.78192,1.34,1.82369
320,2010-11-17,00:00:00.00,10.2067,3.3117,1.34,2.22884
321,2010-11-18,00:00:00.00,9.3152,4.78539,1.74,3.36167
322,2010-11-19,00:00:00.00,1.69833,6.65052,2.74,4.69513
323,2010-11-20,00:00:00.00,0.0924371,7.3477,4.25,4.77708
324,2010-11-21,00:00:00.00,0.000188439,6.75105,3.56,4.0065
325,2010-11-22,00:00:00.00,0.643474,5.82843,2.65,3.46596
326,2010-11-23,00:00:00.00,14.6912,6.29866,2.58,4.10095
327,2010-11-24,00:00:00.00,5.73095,9.22289,6.48,6.52438
328,2010-11-25,00:00:00.00,0.0904847,12.0152,9.99,8.1983
329,2010-11-26,00:00:00.00,17.7904,14.7994,8.97,9.65136
330,2010-11-27,00:00:00.00,0.995238,18.9506,14.9,12.9732
331,2010-11-28,00:00:00.00,0.046176,20.2996,19.5,13.0854
332,2010-11-29,00:00:00.00,0.000189497,17.2839,10.9,9.75043
333,2010-11-30,00:00:00.00,0.00321838,13.2316,6.6,7.61902
334,2010-12-01,00:00:00.00,24.6693,16.1019,8.75,11.0322
335,2010-12-02,00:00:00.00,2.9941,25.7532,23.8,19.0208
336,2010-12-03,00:00:00.00,0.184913,30.1132,26.8,20.2036
337,2010-12-04,00:00:00.00,0.211596,25.7761,16.4,13.915
338,2010-12-05,00:00:00.00,2.09943,18.7129,11.4,9.90486
339,2010-12-06,00:00:00.00,4.21489,14.0607,9.34,8.41152
340,2010-12-07,00:00:00.00,3.7772,11.8452,6.58,7.10078
341,2010-12-08,00:00:00.00,1.49371,10.2695,4.9,6.26329
