Year,Month,Median,2.5 Percentile,97.5 Percentile
1970.000000,   2.000000,  15.515933,   7.822470,  22.833004
1970.000000,   3.000000,  13.022034,   5.871421,  19.837783
1970.000000,   4.000000,   2.295189,  -4.755186,   9.544794
1970.000000,   5.000000,  -0.438554,  -8.099907,   7.502306
1970.000000,   6.000000,  31.068334,  23.118161,  38.923047
1970.000000,   7.000000,  44.649557,  36.377117,  53.291131
1970.000000,   8.000000, 109.668896, 101.087359, 118.416971
1970.000000,   9.000000, 122.343472, 112.652115, 132.103650
1970.000000,  10.000000, 141.282786, 131.226678, 150.804635
1970.000000,  11.000000, 158.039475, 148.422631, 167.702576
1970.000000,  12.000000, 101.775314,  92.886458, 110.647593
1971.000000,   1.000000,  47.570653,  39.488344,  55.475081
1971.000000,   2.000000,  12.802875,   5.083066,  20.450693
1971.000000,   3.000000,  17.677544,  10.574484,  24.545885
1971.000000,   4.000000,   6.802020,  -0.349657,  13.959451
1971.000000,   5.000000,   6.688211,  -1.320682,  13.879536
1971.000000,   6.000000,  12.934996,   5.111695,  20.844309
1971.000000,   7.000000,  87.065155,  78.700952,  96.021356
1971.000000,   8.000000,  98.669172,  90.252747, 107.134429
1971.000000,   9.000000, 101.285650,  92.071587, 111.505548
1971.000000,  10.000000, 114.154563, 104.193682, 124.301400
1971.000000,  11.000000, 190.888259, 181.080057, 200.235240
1971.000000,  12.000000,  89.773138,  80.877192,  98.761558
1972.000000,   1.000000,  64.193222,  56.097590,  72.103774
1972.000000,   2.000000,  24.538795,  17.333835,  31.723491
1972.000000,   3.000000,  17.997948,  11.002030,  24.782279
1972.000000,   4.000000,   7.891084,   0.706202,  14.995718
1972.000000,   5.000000,   2.894497,  -5.238201,  10.497638
1972.000000,   6.000000,  38.580105,  30.375528,  46.278423
1972.000000,   7.000000,  47.674780,  39.085398,  56.278183
1972.000000,   8.000000,  86.574027,  77.846108,  95.285392
1972.000000,   9.000000, 128.573374, 118.664254, 138.642324
1972.000000,  10.000000, 180.453080, 170.327263, 190.498902
1972.000000,  11.000000, 116.245641, 106.538425, 125.646957
1972.000000,  12.000000,  72.154838,  63.312598,  80.882643
