Year,Month,Median,2.5 Percentile,97.5 Percentile
1967.00,   9.00,  26.27,  10.24,  47.68
1967.00,  10.00,  48.95,  27.90,  72.36
1967.00,  11.00,  76.59,  53.22, 100.00
1967.00,  12.00, 134.97, 110.43, 158.08
1968.00,   1.00, 101.71,  77.19, 124.80
1968.00,   2.00, 104.22,  80.66, 128.03
1968.00,   3.00, 109.33,  86.82, 134.33
1968.00,   4.00,  65.65,  45.75,  86.72
1968.00,   5.00,  91.45,  69.22, 114.21
1968.00,   6.00,  62.04,  39.59,  84.73
1968.00,   7.00,  30.57,  12.90,  51.43
1968.00,   8.00,  21.72,   9.20,  40.51
1968.00,   9.00,  14.21,   5.10,  30.28
1968.00,  10.00,  22.79,   8.78,  42.95
1968.00,  11.00,  80.83,  58.47, 102.81
1968.00,  12.00, 115.02,  91.81, 137.71
1969.00,   1.00, 148.75, 124.90, 171.60
1969.00,   2.00,  83.91,  59.98, 106.87
1969.00,   3.00,  60.74,  40.09,  81.98
1969.00,   4.00, 179.78, 156.64, 203.41
1969.00,   5.00, 130.25, 105.15, 155.15
1969.00,   6.00,  57.24,  36.55,  79.00
1969.00,   7.00,  80.78,  57.94, 103.46
1969.00,   8.00,  16.46,   6.98,  31.43
1969.00,   9.00,  20.05,   7.39,  38.47
1969.00,  10.00,  17.65,   6.19,  35.33
1969.00,  11.00,  58.37,  34.87,  82.62
1969.00,  12.00,  42.14,  22.43,  63.53
1970.00,   1.00,  34.06,  16.08,  57.11
1970.00,   2.00,  78.64,  57.62, 100.85
1970.00,   3.00, 101.66,  79.09, 125.46
1970.00,   4.00, 135.75, 112.36, 158.63
1970.00,   5.00,  62.74,  40.93,  86.56
1970.00,   6.00,  36.75,  18.36,  58.73
1970.00,   7.00,  28.07,  12.09,  46.94
1970.00,   8.00,  14.01,   6.13,  26.94
1970.00,   9.00,  19.43,   7.10,  37.49
1970.00,  10.00,  37.32,  16.38,  60.65
1970.00,  11.00,  57.49,  35.47,  79.71
1970.00,  12.00,  77.84,  55.33, 101.94
1971.00,   1.00,  33.72,  16.43,  54.61
1971.00,   2.00, 134.93, 111.71, 158.02
1971.00,   3.00, 108.35,  83.79, 132.76
1971.00,   4.00,  64.15,  44.00,  85.09
1971.00,   5.00,  55.74,  36.14,  77.35
1971.00,   6.00,  26.69,  11.81,  46.24
1971.00,   7.00,  17.80,   7.32,  34.35
1971.00,   8.00,  24.07,  10.32,  42.98
1971.00,   9.00,  17.39,   6.20,  35.88
1971.00,  10.00,  11.17,   3.86,  24.10
1971.00,  11.00,  29.34,  13.12,  48.91
1971.00,  12.00, 101.37,  76.18, 126.11
1972.00,   1.00,  59.45,  39.05,  81.43
1972.00,   2.00,  47.23,  27.24,  70.85
1972.00,   3.00, 150.22, 127.49, 172.62
1972.00,   4.00, 168.76, 145.89, 192.42
1972.00,   5.00,  66.38,  44.73,  88.09
1972.00,   6.00,  71.87,  50.13,  94.11
1972.00,   7.00,  42.43,  21.47,  66.40
1972.00,   8.00,  20.23,   8.45,  38.66
1972.00,   9.00,  46.14,  24.91,  68.93
1972.00,  10.00,  53.56,  30.82,  77.84
1972.00,  11.00, 136.05, 112.84, 161.25
1972.00,  12.00, 125.61, 102.04, 149.51
1973.00,   1.00, 104.28,  81.44, 127.28
1973.00,   2.00,  44.57,  24.23,  66.44
1973.00,   3.00, 219.44, 194.77, 244.83
1973.00,   4.00, 110.03,  86.18, 132.70
1973.00,   5.00,  69.62,  47.90,  92.48
1973.00,   6.00,  78.48,  55.70, 100.47
1973.00,   7.00,  33.07,  15.10,  54.61
1973.00,   8.00,  19.09,   7.84,  36.70
1973.00,   9.00,  14.23,   5.44,  30.76
1973.00,  10.00,  20.96,   7.81,  41.00
1973.00,  11.00,  56.78,  33.97,  79.74
1973.00,  12.00,  97.77,  73.86, 122.49
1974.00,   1.00, 151.17, 128.73, 172.98
1974.00,   2.00,  99.50,  75.69, 121.79
1974.00,   3.00, 173.42, 149.18, 198.80
1974.00,   4.00, 123.53, 100.92, 148.18
1974.00,   5.00, 103.94,  81.25, 127.08
1974.00,   6.00,  30.94,  14.59,  50.89
1974.00,   7.00,  21.21,   8.32,  38.55
1974.00,   8.00,  14.06,   6.29,  28.24
1974.00,   9.00,  18.79,   6.79,  36.83
1974.00,  10.00,  12.29,   4.37,  26.54
1974.00,  11.00,  81.58,  58.89, 105.57
1974.00,  12.00,  88.62,  65.33, 111.93
1975.00,   1.00, 123.93, 100.04, 149.20
1975.00,   2.00, 126.15, 102.72, 149.77
1975.00,   3.00, 121.40,  98.50, 146.10
1975.00,   4.00,  86.69,  65.95, 109.18
1975.00,   5.00,  54.43,  32.37,  78.26
1975.00,   6.00,  54.13,  31.56,  75.43
1975.00,   7.00,  16.99,   6.81,  32.86
1975.00,   8.00,  44.83,  22.23,  67.35
1975.00,   9.00,  31.25,  13.20,  53.55
1975.00,  10.00,  31.82,  13.37,  53.13
1975.00,  11.00,  32.28,  15.04,  52.69
1975.00,  12.00, 111.41,  87.94, 136.44
1976.00,   1.00,  86.38,  63.01, 110.24
1976.00,   2.00, 254.14, 231.18, 276.51
1976.00,   3.00, 180.88, 157.19, 205.25
1976.00,   4.00,  81.57,  60.07, 103.95
1976.00,   5.00,  66.25,  45.20,  89.85
1976.00,   6.00,  38.80,  19.90,  60.69
1976.00,   7.00,  38.98,  18.18,  61.83
1976.00,   8.00,  18.07,   7.69,  37.27
1976.00,   9.00,  26.05,   9.76,  48.09
1976.00,  10.00,  34.38,  14.56,  57.45
1976.00,  11.00,  17.00,   6.71,  32.18
1976.00,  12.00,  25.84,  11.28,  45.18
1977.00,   1.00,  22.98,   9.89,  41.31
1977.00,   2.00,  65.84,  44.17,  87.78
1977.00,   3.00, 190.77, 165.63, 214.56
1977.00,   4.00, 145.08, 121.29, 169.38
1977.00,   5.00,  53.44,  33.20,  75.48
1977.00,   6.00,  34.01,  16.93,  55.17
1977.00,   7.00,  42.69,  21.62,  66.22
1977.00,   8.00,  46.60,  25.06,  67.85
1977.00,   9.00,  96.68,  73.79, 119.31
1977.00,  10.00,  34.68,  14.11,  56.51
