time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
138,2010-05-19,00:00:00.00,4.02382,1.68156,1.27
139,2010-05-20,00:00:00.00,0.0188839,1.61359,0.933
140,2010-05-21,00:00:00.00,0.00921494,0.950087,0.676
141,2010-05-22,00:00:00.00,0.031894,0.551442,0.415
142,2010-05-23,00:00:00.00,6.81255,1.19773,1.3
143,2010-05-24,00:00:00.00,0.00369177,1.58595,5.43
144,2010-05-25,00:00:00.00,0.0154995,0.934095,1.06
145,2010-05-26,00:00:00.00,0.00753093,0.539607,0.419
146,2010-05-27,00:00:00.00,0,0.307198,0.29
147,2010-05-28,00:00:00.00,0.00326716,0.173751,0.257
148,2010-05-29,00:00:00.00,3.7099e-308,0.0985016,0.269
149,2010-05-30,00:00:00.00,0.000867756,0.0562784,0.239
150,2010-05-31,00:00:00.00,3.33734e-308,0.0326308,0.212
151,2010-06-01,00:00:00.00,6.33511,0.491476,0.17
152,2010-06-02,00:00:00.00,1.59522,0.87417,0.15
153,2010-06-03,00:00:00.00,14.3331,1.62748,0.183
154,2010-06-04,00:00:00.00,3.12113,2.26391,0.209
155,2010-06-05,00:00:00.00,1.76161,1.81575,0.443
156,2010-06-06,00:00:00.00,7.0501,1.8203,0.387
157,2010-06-07,00:00:00.00,27.4781,3.91726,5.62
158,2010-06-08,00:00:00.00,0.0313865,5.04301,13.1
159,2010-06-09,00:00:00.00,0.00666929,3.60059,8.77
160,2010-06-10,00:00:00.00,6.59536,3.09712,2.46
161,2010-06-11,00:00:00.00,0.159075,2.7069,0.967
162,2010-06-12,00:00:00.00,0.0136505,1.67664,0.526
163,2010-06-13,00:00:00.00,0.164145,1.01102,0.336
164,2010-06-14,00:00:00.00,0.120876,0.614785,0.231
165,2010-06-15,00:00:00.00,0.0114069,0.364955,0.186
166,2010-06-16,00:00:00.00,0.148562,0.223601,0.157
167,2010-06-17,00:00:00.00,1.33791,0.261904,0.126
168,2010-06-18,00:00:00.00,0.0266249,0.271398,0.115
169,2010-06-19,00:00:00.00,0.0592686,0.161044,0.094
170,2010-06-20,00:00:00.00,0.0582538,0.100353,0.076
171,2010-06-21,00:00:00.00,0.0160047,0.0619496,0.061
172,2010-06-22,00:00:00.00,0.00310287,0.036393,0.041
173,2010-06-23,00:00:00.00,2.1833,0.146967,0.033
174,2010-06-24,00:00:00.00,5.4405,0.501656,0.027
175,2010-06-25,00:00:00.00,0.505555,0.608526,0.025
176,2010-06-26,00:00:00.00,0.323334,0.395009,0.021
177,2010-06-27,00:00:00.00,0.134315,0.248798,0.019
178,2010-06-28,00:00:00.00,4.4046,0.339203,0.018
179,2010-06-29,00:00:00.00,0.0290085,0.388113,0.02
180,2010-06-30,00:00:00.00,0.0279804,0.225191,0.016
181,2010-07-01,00:00:00.00,0.025837,0.12955,0.014
182,2010-07-02,00:00:00.00,0.0391287,0.0756931,0.013
183,2010-07-03,00:00:00.00,0.0410271,0.0452931,0.011
184,2010-07-04,00:00:00.00,0.0472515,0.0280029,0.01
185,2010-07-05,00:00:00.00,0.0659871,0.0185805,0.009
186,2010-07-06,00:00:00.00,0.0715233,0.0134756,0.008
187,2010-07-07,00:00:00.00,0.053628,0.00990642,0.007
188,2010-07-08,00:00:00.00,0.142188,0.00865446,0.006
189,2010-07-09,00:00:00.00,5.93196,0.0896123,0.006
190,2010-07-10,00:00:00.00,11.7004,0.284156,0.008
191,2010-07-11,00:00:00.00,0.0443248,0.337394,0.01
192,2010-07-12,00:00:00.00,6.49555,0.320259,0.054
193,2010-07-13,00:00:00.00,23.6283,0.67566,0.131
194,2010-07-14,00:00:00.00,0.431215,0.933907,0.201
195,2010-07-15,00:00:00.00,0.00111837,0.747833,1.27
196,2010-07-16,00:00:00.00,14.3009,0.898924,1.02
197,2010-07-17,00:00:00.00,9.13198,1.29962,0.638
198,2010-07-18,00:00:00.00,5.73691,1.41797,1.85
199,2010-07-19,00:00:00.00,4.15662,1.35749,1.24
200,2010-07-20,00:00:00.00,5.32554,1.30166,1.64
201,2010-07-21,00:00:00.00,0.460735,1.09402,2.07
202,2010-07-22,00:00:00.00,0.122429,0.712142,0.755
203,2010-07-23,00:00:00.00,2.81715,0.561193,0.238
204,2010-07-24,00:00:00.00,4.00826,0.63961,0.123
205,2010-07-25,00:00:00.00,1.72003,0.633576,0.069
206,2010-07-26,00:00:00.00,3.26947,0.588495,0.037
207,2010-07-27,00:00:00.00,0.077175,0.489838,0.023
208,2010-07-28,00:00:00.00,0.0273309,0.29189,0.017
209,2010-07-29,00:00:00.00,0.992133,0.205243,0.013
210,2010-07-30,00:00:00.00,0.0571862,0.15498,0.012
211,2010-07-31,00:00:00.00,0.129934,0.0933093,0.011
212,2010-08-01,00:00:00.00,0.568892,0.0735902,0.01
213,2010-08-02,00:00:00.00,0.00932087,0.0583605,0.008
214,2010-08-03,00:00:00.00,0.0243478,0.0331853,0.006
215,2010-08-04,00:00:00.00,0.0149928,0.0191121,0.005
216,2010-08-05,00:00:00.00,0.0763933,0.0122158,0.004
217,2010-08-06,00:00:00.00,0.081028,0.00946621,0.003
218,2010-08-07,00:00:00.00,1.39403,0.0271503,0.002
219,2010-08-08,00:00:00.00,0.000801312,0.0352505,0.002
220,2010-08-09,00:00:00.00,0.015698,0.0189682,0.001
221,2010-08-10,00:00:00.00,2.35325,0.032669,0.002
222,2010-08-11,00:00:00.00,0,0.0395279,0.003
223,2010-08-12,00:00:00.00,5.12676,0.0549739,0.003
224,2010-08-13,00:00:00.00,0.977557,0.0713439,0.003
225,2010-08-14,00:00:00.00,0.00564648,0.0458506,0.002
226,2010-08-15,00:00:00.00,0.0994174,0.0240838,0.002
227,2010-08-16,00:00:00.00,0.60986,0.013353,0.002
228,2010-08-17,00:00:00.00,0.0295649,0.00733155,0.001
229,2010-08-18,00:00:00.00,0.0130078,0.00301052,0.001
230,2010-08-19,00:00:00.00,0.0639064,0.00134425,0
231,2010-08-20,00:00:00.00,0.2294,0.000781982,0
232,2010-08-21,00:00:00.00,0.00219051,0.000496732,0
233,2010-08-22,00:00:00.00,7.134,0.00285807,0
234,2010-08-23,00:00:00.00,0.203137,0.00847017,0
235,2010-08-24,00:00:00.00,0.203487,0.0101799,0
236,2010-08-25,00:00:00.00,0.31421,0.00735868,0
237,2010-08-26,00:00:00.00,0.108426,0.00463868,0
238,2010-08-27,00:00:00.00,0.0308146,0.00256569,0
239,2010-08-28,00:00:00.00,0.0404795,0.00133673,0
240,2010-08-29,00:00:00.00,0.041194,0.000710662,0
241,2010-08-30,00:00:00.00,0.0135411,0.000360492,0
242,2010-08-31,00:00:00.00,0.0813854,0.000191086,0
243,2010-09-01,00:00:00.00,0.0247327,0.000114002,0
244,2010-09-02,00:00:00.00,0.0515668,6.31362e-05,0
245,2010-09-03,00:00:00.00,3.52754,0.000470735,0
246,2010-09-04,00:00:00.00,2.48455,0.00322193,0
247,2010-09-05,00:00:00.00,0.132928,0.00603399,0
248,2010-09-06,00:00:00.00,0.287692,0.00590938,0
249,2010-09-07,00:00:00.00,0.672446,0.00508858,0
250,2010-09-08,00:00:00.00,0.0267056,0.0037987,0
251,2010-09-09,00:00:00.00,0.0015512,0.0020332,0
252,2010-09-10,00:00:00.00,0.00189271,0.00101632,0
253,2010-09-11,00:00:00.00,0.105986,0.00058925,0
254,2010-09-12,00:00:00.00,8.2751,0.00495595,0
255,2010-09-13,00:00:00.00,0.32443,0.0145032,0
256,2010-09-14,00:00:00.00,2.26503,0.0220428,0
257,2010-09-15,00:00:00.00,0.000135272,0.0205118,0
258,2010-09-16,00:00:00.00,0.00226907,0.0130458,0
259,2010-09-17,00:00:00.00,18.4895,0.0470175,0
260,2010-09-18,00:00:00.00,0.00923737,0.108971,0
261,2010-09-19,00:00:00.00,2.68407,0.140001,0
262,2010-09-20,00:00:00.00,1.6206e-308,0.124658,0
263,2010-09-21,00:00:00.00,0.0036493,0.0837639,0
