time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
238,2010-08-27,00:00:00.00,0.008665,0.814564,2.87
239,2010-08-28,00:00:00.00,0.00276031,0.590721,2.71
240,2010-08-29,00:00:00.00,0.00130924,0.440124,2.6
241,2010-08-30,00:00:00.00,0,0.340661,2.51
242,2010-08-31,00:00:00.00,0.000206872,0.277754,2.45
243,2010-09-01,00:00:00.00,0.000229637,0.240219,2.33
244,2010-09-02,00:00:00.00,0.31264,0.228188,2.36
245,2010-09-03,00:00:00.00,5.68978,0.365928,2.28
246,2010-09-04,00:00:00.00,12.2531,0.961084,2.65
247,2010-09-05,00:00:00.00,11.6197,2.62565,4.81
248,2010-09-06,00:00:00.00,1.36383,4.37342,4.69
249,2010-09-07,00:00:00.00,0.654936,4.61637,3.98
250,2010-09-08,00:00:00.00,0.26058,3.74654,3.86
251,2010-09-09,00:00:00.00,4.10846,3.34238,3.43
252,2010-09-10,00:00:00.00,1.30925,3.22963,3.13
253,2010-09-11,00:00:00.00,0.0227638,2.50479,2.96
254,2010-09-12,00:00:00.00,3.5705,2.3062,2.85
255,2010-09-13,00:00:00.00,2.45568,2.54879,2.88
256,2010-09-14,00:00:00.00,1.20888,2.34793,2.91
257,2010-09-15,00:00:00.00,0.0119018,1.81564,2.77
258,2010-09-16,00:00:00.00,0.0193376,1.25542,2.62
259,2010-09-17,00:00:00.00,23.1204,3.91966,3.45
260,2010-09-18,00:00:00.00,0.0571545,6.84454,4.63
261,2010-09-19,00:00:00.00,0.497282,6.25466,4.61
262,2010-09-20,00:00:00.00,0.00112688,4.80515,4.29
263,2010-09-21,00:00:00.00,0.0360643,3.35999,3.62
264,2010-09-22,00:00:00.00,1.30574,2.56853,3.23
265,2010-09-23,00:00:00.00,2.57339,2.48915,3.22
266,2010-09-24,00:00:00.00,0.071498,2.16291,3.12
267,2010-09-25,00:00:00.00,0.135044,1.48259,2.96
268,2010-09-26,00:00:00.00,1.93679,1.3053,3.01
269,2010-09-27,00:00:00.00,0.013096,1.19053,2.93
270,2010-09-28,00:00:00.00,4.38554,1.43556,2.95
271,2010-09-29,00:00:00.00,32.1484,6.05057,3.95
272,2010-09-30,00:00:00.00,0.103701,11.3293,6.65
273,2010-10-01,00:00:00.00,0.00401083,11.4415,12.3
274,2010-10-02,00:00:00.00,0.157973,9.13524,9
275,2010-10-03,00:00:00.00,7.69941,9.3125,6.9
276,2010-10-04,00:00:00.00,0.335522,9.51326,5.8
277,2010-10-05,00:00:00.00,0.710507,7.311,5.12
278,2010-10-06,00:00:00.00,4.90983,7.27816,5.11
279,2010-10-07,00:00:00.00,3.66132,8.35117,5.96
280,2010-10-08,00:00:00.00,0.254262,7.36169,5.78
281,2010-10-09,00:00:00.00,0.00821338,5.22526,5.36
282,2010-10-10,00:00:00.00,0.000474574,3.59091,4.76
283,2010-10-11,00:00:00.00,0.00585516,2.46794,4.27
284,2010-10-12,00:00:00.00,3.6956,2.90354,4.1
285,2010-10-13,00:00:00.00,0,3.19391,4.37
286,2010-10-14,00:00:00.00,3.68837,3.3025,4.1
287,2010-10-15,00:00:00.00,19.0856,8.97355,7.9
288,2010-10-16,00:00:00.00,0.0193685,12.6976,11.4
289,2010-10-17,00:00:00.00,3.3618e-308,9.99269,9.42
290,2010-10-18,00:00:00.00,0.00152744,7.31133,7.19
291,2010-10-19,00:00:00.00,0.0430484,5.19074,5.81
292,2010-10-20,00:00:00.00,0.0802302,3.68427,5.16
293,2010-10-21,00:00:00.00,3.64575,3.98425,4.75
294,2010-10-22,00:00:00.00,7.5422,6.92995,5.23
295,2010-10-23,00:00:00.00,1.28769,8.24555,5.45
296,2010-10-24,00:00:00.00,5.39412,8.59868,5.5
297,2010-10-25,00:00:00.00,4.95017,10.3526,5.85
298,2010-10-26,00:00:00.00,0.139328,9.52714,5.84
299,2010-10-27,00:00:00.00,10.5579,11.3457,8.51
300,2010-10-28,00:00:00.00,0.0725545,12.7278,11.3
301,2010-10-29,00:00:00.00,1.87516,10.0993,10.4
302,2010-10-30,00:00:00.00,0.463124,8.26211,10.9
303,2010-10-31,00:00:00.00,0.0368069,6.09045,8.56
304,2010-11-01,00:00:00.00,0.0126738,4.33836,6.69
305,2010-11-02,00:00:00.00,0.00189853,3.11762,5.68
306,2010-11-03,00:00:00.00,0.0051478,2.29403,5.43
307,2010-11-04,00:00:00.00,2.3202,2.64669,4.87
308,2010-11-05,00:00:00.00,0.342267,3.11871,4.68
309,2010-11-06,00:00:00.00,1.47329,2.94509,4.73
310,2010-11-07,00:00:00.00,0.0163641,2.76362,4.54
311,2010-11-08,00:00:00.00,0.000614954,2.21285,4.37
312,2010-11-09,00:00:00.00,0.000684962,1.65773,4.27
313,2010-11-10,00:00:00.00,0.000855387,1.27668,4.12
314,2010-11-11,00:00:00.00,0.00043239,1.01611,3.97
315,2010-11-12,00:00:00.00,0.000188426,0.838998,3.8
316,2010-11-13,00:00:00.00,0.00048846,0.716824,3.77
317,2010-11-14,00:00:00.00,0.19038,0.687606,3.76
318,2010-11-15,00:00:00.00,1.60275,1.12706,3.82
319,2010-11-16,00:00:00.00,0.00833424,1.35326,3.74
320,2010-11-17,00:00:00.00,10.7608,3.94289,3.75
321,2010-11-18,00:00:00.00,8.13291,8.3429,5.43
322,2010-11-19,00:00:00.00,1.49641,9.31342,6.8
323,2010-11-20,00:00:00.00,0.0424811,7.67204,7.81
324,2010-11-21,00:00:00.00,0.000935331,5.77433,7.22
325,2010-11-22,00:00:00.00,0.255812,4.25999,6.35
326,2010-11-23,00:00:00.00,7.89483,6.25133,5.95
327,2010-11-24,00:00:00.00,7.28697,10.5988,9.15
328,2010-11-25,00:00:00.00,0.0292651,10.7855,11.3
329,2010-11-26,00:00:00.00,10.0051,11.2739,12.5
330,2010-11-27,00:00:00.00,2.80207,13.0608,14.2
331,2010-11-28,00:00:00.00,2.3626,11.6056,14.8
332,2010-11-29,00:00:00.00,0.0804849,9.59714,13.9
333,2010-11-30,00:00:00.00,0.04407,7.5647,11.3
334,2010-12-01,00:00:00.00,19.1329,15.9657,10.6
335,2010-12-02,00:00:00.00,6.59954,23.7348,22.2
336,2010-12-03,00:00:00.00,1.80923,18.9705,52.9
337,2010-12-04,00:00:00.00,0.921904,13.8004,33.6
338,2010-12-05,00:00:00.00,0.286257,9.90499,20.8
339,2010-12-06,00:00:00.00,2.34315,7.12232,16
340,2010-12-07,00:00:00.00,9.45262,5.19424,13.3
341,2010-12-08,00:00:00.00,4.71729,3.87637,11.3
342,2010-12-09,00:00:00.00,3.95307,2.98167,14.8
343,2010-12-10,00:00:00.00,0.687042,2.37664,18.3
344,2010-12-11,00:00:00.00,1.86605,1.96761,17.2
345,2010-12-12,00:00:00.00,0.457653,1.68377,12.8
346,2010-12-13,00:00:00.00,18.385,1.48052,9.33
347,2010-12-14,00:00:00.00,1.00981,1.45735,10.7
348,2010-12-15,00:00:00.00,1.38253,1.43747,12
349,2010-12-16,00:00:00.00,3.274,1.29883,13.4
350,2010-12-17,00:00:00.00,2.59318,1.19797,16
351,2010-12-18,00:00:00.00,2.03276,1.12116,15
352,2010-12-19,00:00:00.00,0.645973,1.06137,14
353,2010-12-20,00:00:00.00,0.694937,1.01479,13
354,2010-12-21,00:00:00.00,0.450628,0.977813,12.5
355,2010-12-22,00:00:00.00,0.289451,0.944751,12
356,2010-12-23,00:00:00.00,0.0543509,0.914623,11.5
357,2010-12-24,00:00:00.00,0.022136,0.887751,11
358,2010-12-25,00:00:00.00,0.023854,0.862541,10.5
359,2010-12-26,00:00:00.00,0.000695072,0.838652,10
360,2010-12-27,00:00:00.00,0.0309734,0.817184,9.5
361,2010-12-28,00:00:00.00,0.0453969,0.798124,9.1
362,2010-12-29,00:00:00.00,0.261318,0.779703,8.7
363,2010-12-30,00:00:00.00,0.153089,0.760343,8.4
364,2010-12-31,00:00:00.00,0.322998,0.740812,8.2
365,2011-01-01,00:00:00.00,2.3644,0.720423,14
366,2011-01-02,00:00:00.00,12.161,14.1092,15.7
367,2011-01-03,00:00:00.00,0.741093,41.7514,58.6
368,2011-01-04,00:00:00.00,1.5175,48.7821,110
369,2011-01-05,00:00:00.00,8.85801,36.4704,29.3
370,2011-01-06,00:00:00.00,0.909681,26.78,15.3
371,2011-01-07,00:00:00.00,5.08541,18.9625,11.9
372,2011-01-08,00:00:00.00,1.31646,13.5113,10.5
373,2011-01-09,00:00:00.00,0.216246,9.77664,9.5
374,2011-01-10,00:00:00.00,0.582994,7.24472,9.18
375,2011-01-11,00:00:00.00,0.155051,5.53366,8.82
376,2011-01-12,00:00:00.00,5.55655,4.37821,8.88
377,2011-01-13,00:00:00.00,5.05367,3.59487,8.94
378,2011-01-14,00:00:00.00,0.869281,3.05858,8.61
379,2011-01-15,00:00:00.00,1.04086,2.68702,8.36
380,2011-01-16,00:00:00.00,11.1373,2.42465,8.24
381,2011-01-17,00:00:00.00,0.650919,2.23249,8.02
382,2011-01-18,00:00:00.00,0.0609891,2.08994,7.74
383,2011-01-19,00:00:00.00,1.02525,2.01531,7.58
384,2011-01-20,00:00:00.00,0.656547,2.18862,7.62
385,2011-01-21,00:00:00.00,2.82286,2.25354,7.9
386,2011-01-22,00:00:00.00,5.97479,2.04393,7.88
387,2011-01-23,00:00:00.00,3.69828,1.89387,7.6
388,2011-01-24,00:00:00.00,0.418113,1.7857,7.56
389,2011-01-25,00:00:00.00,1.96734,1.70881,7.71
390,2011-01-26,00:00:00.00,0.490364,1.65052,7.68
391,2011-01-27,00:00:00.00,0.272031,1.59266,7.6
392,2011-01-28,00:00:00.00,2.0713,1.53199,7.52
393,2011-01-29,00:00:00.00,1.41869,1.47704,7.44
394,2011-01-30,00:00:00.00,2.71635,1.42726,7.36
395,2011-01-31,00:00:00.00,0.469324,1.3827,7.28
396,2011-02-01,00:00:00.00,0.0301296,1.34407,7.17
397,2011-02-02,00:00:00.00,1.29839,1.3133,7.94
398,2011-02-03,00:00:00.00,15.2953,1.2853,8.6
399,2011-02-04,00:00:00.00,0.0323602,1.25307,7.9
400,2011-02-05,00:00:00.00,0.0100694,1.22145,7.58
401,2011-02-06,00:00:00.00,7.67849,1.19399,8.1
402,2011-02-07,00:00:00.00,1.78676,1.16538,7.7
403,2011-02-08,00:00:00.00,0.711658,1.13257,6.76
404,2011-02-09,00:00:00.00,0.253958,1.09648,6.44
405,2011-02-10,00:00:00.00,0.375567,1.06607,6.58
406,2011-02-11,00:00:00.00,0.185772,1.04336,6.65
407,2011-02-12,00:00:00.00,1.84371,1.02344,6.59
408,2011-02-13,00:00:00.00,5.12724,1.00581,6.65
409,2011-02-14,00:00:00.00,2.2128,0.982102,6.99
410,2011-02-15,00:00:00.00,0.0813526,0.949081,7.04
411,2011-02-16,00:00:00.00,1.32591e-308,0.913466,6.48
412,2011-02-17,00:00:00.00,0.27541,0.885679,6.07
413,2011-02-18,00:00:00.00,0.423256,1.72351,7.26
414,2011-02-19,00:00:00.00,0.232981,13.7302,10.8
415,2011-02-20,00:00:00.00,0.742882,32.2187,23
416,2011-02-21,00:00:00.00,5.21151,34.0345,61.9
417,2011-02-22,00:00:00.00,4.01381,24.3828,51.9
418,2011-02-23,00:00:00.00,0.00578589,17.3164,27.2
419,2011-02-24,00:00:00.00,0.00560496,12.366,18.3
420,2011-02-25,00:00:00.00,2.82347,8.94621,16.2
421,2011-02-26,00:00:00.00,0.991686,6.58968,14.3
422,2011-02-27,00:00:00.00,8.78493,4.98859,11.4
423,2011-02-28,00:00:00.00,2.81894,4.02141,10.5
424,2011-03-01,00:00:00.00,16.7935,6.26699,11.7
425,2011-03-02,00:00:00.00,0.0105143,7.62698,15.4
426,2011-03-03,00:00:00.00,0.0869739,5.61133,17.8
427,2011-03-04,00:00:00.00,0.0203481,4.26613,16.7
428,2011-03-05,00:00:00.00,4.78834,4.84385,13.7
429,2011-03-06,00:00:00.00,30.6021,29.1159,19.7
