gaugeID,Lat,Lon,Row_Lon,Col_Lat,Area/m2 
02GA018,43.5941123962,-80.8865661621,31,17,136590568.562
02GA018,43.7123565674,-80.8054199219,32,17,79139222.7194
04214500,42.5352401733,-78.4570617676,30,2,10485436.1327
04214500,42.6504859924,-78.3737182617,31,2,112734462.308
04214500,42.7656211853,-78.2899475098,32,2,2147409.62681
04214500,42.5996360779,-78.6220092773,30,3,61086.9532579
04214500,42.7150840759,-78.5388183594,31,3,143924282.47
04214500,42.8304328918,-78.4552001953,32,3,31839683.1542
04214500,42.7794532776,-78.704284668,31,4,43816500.1373
04214500,42.8950195312,-78.6208190918,32,4,33840698.5007
04214500,42.8435821533,-78.8700866699,31,5,1325050.45416
04166100,42.3873291016,-83.3280639648,17,25,3118064.7746
04166100,42.5083770752,-83.2542724609,18,25,113994037.516
04166100,42.6293411255,-83.1800842285,19,25,51148091.8122
04166100,42.4435157776,-83.498046875,17,26,96822.092338
04166100,42.5647506714,-83.4244689941,18,26,167760271.842
04166100,42.6859054565,-83.3504943848,19,26,103549682.972
04166100,42.8069915771,-83.2761230469,20,26,10038419.673
04166100,42.6208724976,-83.5949707031,18,27,82062914.7139
04166100,42.7422142029,-83.5212402344,19,27,114875117.582
04166100,42.863483429,-83.4470825195,20,27,5534935.13794
04159900,43.0548171997,-82.7084350586,23,24,33606792.59
04159900,42.991771698,-82.9551391602,22,25,42919773.3369
04159900,43.1124000549,-82.8793945312,23,25,184426680.409
04159900,43.2329521179,-82.8032226562,24,25,12489950.8096
04159900,43.0489044189,-83.1262207031,22,26,100839939.991
04159900,43.1697235107,-83.0506591797,23,26,91535657.103
04159492,43.0548171997,-82.7084350586,23,24,36349515.6685
04159492,43.1751823425,-82.6320495605,24,24,135603470.16
04159492,43.2954559326,-82.5552368164,25,24,59268815.8322
04159492,43.1124000549,-82.8793945312,23,25,33880858.8644
04159492,43.2329521179,-82.8032226562,24,25,213206579.731
04159492,43.3534240723,-82.7266235352,25,25,224790388.318
04159492,43.4738082886,-82.6496582031,26,25,52903282.764
04159492,43.1697235107,-83.0506591797,23,26,25673695.7739
04159492,43.2904586792,-82.9747314453,24,26,77003640.489
04159492,43.4111213684,-82.8983764648,25,26,84452834.0936
04159492,43.531703949,-82.8215942383,26,26,169557148.53
04159492,43.6522026062,-82.7444152832,27,26,59468348.3795
04159492,43.5893478394,-82.9938659668,26,27,1696392.04204
04159492,43.7100257874,-82.9169006348,27,27,1489977.22939
04165500,42.5154571533,-82.8401794434,19,23,1540840.51407
04165500,42.6359672546,-82.7651672363,20,23,2712652.15381
04165500,42.7563972473,-82.6897583008,21,23,647.866237628
04165500,42.4517478943,-83.0843811035,18,24,142464009.113
04165500,42.572517395,-83.009979248,19,24,223738588.5
