date,hour,02GA003,02GA014,02GA015,02GA034,02GA048,02GB001,02GC002,02GC010,02GC018,02GC026,02GD001,02GD003,02GD016,02GE002,02GE003,02GE006,02GG003,02GG009,04197137,04183000,02GA010,02GA018,02GA038,02GA047,02GB007,02GC002,02GC010,02GC018,02GD004,02GE007,02GG002,02GG003,02GG006,02GG009,02GG013,04159492,04159900,04160600,04161820,04164000,04165500,04166100,04177000,04196800,04197100,04207200,04208504,04213000
2011-06-04,00:00:00,33.9303875,13.4876583,11.7715167,21.9714667,17.6109958,50.4286792,3.3254542,7.1343875,1.6355417,5.4962500,15.0482875,7.8993500,6.6432292,28.7794917,59.1159125,43.5142708,9.6190583,0.6295250,9.1680167,50.9170333,16.8893792,5.1917667,1.0186500,15.1140042,7.4807792,3.3254542,1.9699208,1.7386708,3.4719542,0.4785250,7.7416208,9.6190583,0.2288625,0.6064875,0.0413500,9.6627042,3.8648500,4.0075917,16.0372250,19.0009333,26.2399750,1.2952917,1.2575917,0.8347167,1.0999875,2.0735667,21.2698875,5.3925333
2011-06-05,00:00:00,131.0423708,48.9181167,38.7916583,67.5469792,91.0418542,144.8997250,2.7183208,5.7424125,1.3322250,7.0728667,19.0882542,5.3517375,8.8139417,27.0846167,42.2114667,34.1066958,7.5876167,0.3385500,5.9969917,35.2167375,21.3067667,4.0914667,0.6275000,40.1709333,10.3251458,2.7183208,3.5526333,1.4058833,2.7602208,0.3167375,6.1487917,7.5876167,0.1095208,0.3239625,0.0270458,6.9631167,2.8134292,3.0650500,13.4409125,15.7822208,21.2526708,1.0714833,0.8712542,0.4639208,0.6527000,1.6951708,17.2889500,4.4419958
2011-06-06,00:00:00,129.2382625,7.2088042,12.6774917,50.7956625,92.0262125,151.2950250,2.0956792,4.7390292,0.8616833,5.0424208,11.8565208,3.8857625,3.3222542,20.2205333,37.2878083,32.2414917,6.1042625,0.1947125,4.1374583,24.6744000,9.5649333,3.4053792,0.4540667,24.9574250,4.5656917,2.0956792,1.5600292,0.9305917,2.5039208,0.2115375,5.0310583,6.1042625,0.0590417,0.1855958,0.0183042,5.0747250,2.1033833,2.4110292,11.2650875,13.2325250,17.4839667,0.8529250,0.6247583,0.2957917,0.4178833,1.4029083,14.2697458,3.7972375
2011-06-07,00:00:00,49.4881083,2.9256208,5.7734625,6.3742750,24.0991458,101.6266667,3.7159458,25.5083583,1.6784667,13.1318833,20.6538000,25.9922125,30.9908833,41.3453000,52.9714792,53.2393583,10.2634042,0.1211250,2.9661000,18.6353667,16.0740292,6.4826208,0.8328750,8.4679625,5.6589333,3.7159458,11.2256583,1.6015917,15.7813917,1.0815042,17.5412708,10.2634042,0.0366333,0.1153292,0.0129125,3.7565250,1.5858375,1.9364292,9.5801833,11.1714625,14.4897458,0.6905792,0.4520125,0.2117792,0.2834958,4.0010833,29.6694167,4.8394708
2011-06-08,00:00:00,30.7911125,4.2282167,8.6323458,10.9055375,15.3428750,83.8920208,2.5020708,23.2082458,2.3048625,21.8451167,73.6406125,68.1709125,48.0105458,140.6435042,101.4077083,121.2927000,45.8622958,0.2831208,2.2066333,15.9846333,19.8009417,4.7588375,0.7811208,11.3457792,4.8231333,2.5020708,12.7096292,2.4764458,26.2225625,0.5628250,40.5665875,45.8622958,1.8588625,0.4169000,0.0094208,2.8219708,1.2044375,1.5758625,8.3255708,9.6491708,12.2829000,0.5471958,0.3253542,0.1480792,0.1980250,4.8716875,39.5235708,3.7262625
2011-06-09,00:00:00,30.7563292,4.3824750,6.5239083,9.1985833,14.9095792,62.9970500,1.5499333,3.7126833,0.7304583,9.4723208,74.2423875,24.9834583,19.7087167,126.8200125,169.2284083,157.4448000,17.6326125,1.5504792,1.6629542,12.6546458,11.4943167,3.0095667,0.4066750,9.2495958,4.2446958,1.5499333,4.2481208,0.7838542,6.3419125,0.1898208,4.4024583,17.6326125,0.3974167,1.4592000,0.0070917,2.1379875,0.9152542,1.2911625,7.3277667,8.4165542,10.5699292,0.4226375,0.7643625,0.1100333,0.1400833,2.4474750,38.6760125,4.3099500
2011-06-10,00:00:00,24.3123125,4.0523750,5.5503417,8.4139500,12.6341167,42.6455542,1.4023583,3.6903542,0.6591792,6.0589000,16.2290083,4.9898500,5.3078333,27.8862375,98.7613083,59.5340792,4.1550125,0.4129333,1.3648833,38.4036000,8.8899583,2.7342667,0.3865833,7.4923833,4.1994000,1.4023583,2.5490083,0.6987542,3.6314208,0.1193417,3.7567167,4.1550125,0.1116333,0.3855042,0.0054958,1.6297917,0.6975833,1.0605500,7.0255583,7.9291875,9.7072917,1.3310292,0.6091417,0.0952833,0.3096125,2.7978000,47.3941625,4.1990750
2011-06-11,00:00:00,22.2800333,3.2306833,4.8074625,7.5783583,11.8693375,36.5517875,1.3036125,3.5563333,0.6117458,4.7510333,11.1702625,3.4055500,3.7697833,17.3992458,36.2192542,24.4133500,4.0127083,0.1827333,4.3416208,55.6318500,7.4395583,2.5705375,0.3719792,6.5196500,3.8106458,1.3036125,1.6869833,0.6510458,2.8012667,0.0835083,3.6579917,4.0127083,0.0531542,0.1715875,0.0044083,1.2500542,0.5365083,0.8685542,10.2216958,13.2814250,15.9997708,1.4965208,0.4130208,0.7809000,2.2947458,2.8564583,24.7086917,3.8091708
2011-06-12,00:00:00,19.9031000,2.3983333,4.2750833,6.6521375,10.8099958,31.3849833,1.1854583,3.2913625,0.5259833,3.6392458,8.4017792,2.7117208,2.6889875,13.4184292,25.2041167,19.5744208,3.8479958,0.1048083,2.8753708,56.3914583,6.2859250,2.3551333,0.3096833,5.7087250,3.3456125,1.1854583,1.0699375,0.5640542,2.0969167,0.0643333,3.4112000,3.8479958,0.0308000,0.0990333,0.0035708,0.9648208,0.4120792,0.7407333,6.0856667,7.5647583,9.5859792,0.2525875,0.1912167,3.5521083,0.2309125,2.7078208,23.1157417,3.1432083
2011-06-13,00:00:00,16.8481833,1.7327125,3.6775667,4.8383083,8.5941333,27.0309042,1.0571708,2.9922875,0.4308625,2.8453125,6.3371833,2.1682958,1.8963167,10.4277417,20.7785917,15.7542875,3.5638000,0.0688125,4.2698208,39.6417333,5.3199167,2.1143250,0.2485708,4.8595208,2.8861000,1.0571708,0.7018125,0.4654583,1.5762708,0.0497750,3.1055292,3.5638000,0.0198042,0.0652750,0.0029333,0.7455500,0.3356667,0.6205750,4.2934458,4.9422417,6.0535667,0.1324458,0.1165042,1.2130083,0.2329250,2.0543458,19.0958083,2.5885792
2011-06-14,00:00:00,13.8268125,1.2924792,3.1879833,3.8119500,6.8133750,22.1855750,0.9488750,2.7226167,0.3501750,2.2909667,4.8048000,1.6977167,1.4097292,8.1089000,17.1558792,12.8153917,3.2339875,0.0487875,2.7504208,30.1647417,4.5428042,1.8939375,0.2020083,4.2112917,2.5025292,0.9488750,0.4842542,0.3805208,1.1965542,0.0370875,2.8236042,3.2339875,0.0136708,0.0463000,0.0024417,0.5828167,0.2833583,0.5339458,3.7525583,4.2317125,5.0164375,0.1112708,0.0829917,0.5086167,0.1534417,1.8162292,16.2279625,2.3453250
