date,hour,02GA010,02GA018,02GA038,02GA047,02GB007,02GC002,02GC010,02GC018,02GD004,02GE007,02GG002,02GG003,02GG006,02GG009,02GG013,04159492,04159900,04160600,04161820,04164000,04165500,04166100,04177000,04196800,04197100,04207200,04208504,04213000,02GB001,02GB007,02GC002,02GC007,02GC018,02GC026,02GE007,02GG003,02GG009,02GG013,04159900,04160600,04165500,04166500,04174500,04176500,04177000,04193500,04195820,04198000,04199000,04199500,04200500,04208504,04209000,04212100,04213000,04213500,04214500,04215000,04215500
2013-04-19,00:00:00,41.8545667,23.1140417,14.9875917,34.0822125,12.1232500,9.1938083,11.5054875,8.9026792,13.0689000,2.5443583,23.7414875,35.8197792,6.9433167,12.2607125,2.8565667,77.4100500,28.1100250,19.9663125,64.5820125,88.6114875,135.2149250,10.5778458,3.2847500,7.2674417,4.6351792,3.0582208,28.9424542,9.0429375,229.8633208,12.1232500,9.1938083,21.3816792,8.9026792,22.9932042,2.5443583,35.8197792,12.2607125,2.8565667,28.1100250,19.9663125,135.2149250,25.0995375,96.3523792,80.3446667,3.2847500,698.2119250,10.7862208,36.0445542,11.7985792,9.0786167,12.8385917,28.9424542,6.1156458,22.2986208,9.0429375,31.1878583,12.8129958,5.9212500,12.5694542
2013-04-20,00:00:00,41.4480083,22.2329125,14.9050375,30.9932208,10.8565875,8.1203208,10.4724250,8.1221917,12.3807375,2.3317000,22.6701917,34.4487250,6.7286208,12.0831042,2.8409625,81.8434875,28.4524417,19.8912375,36.3087417,45.3392583,75.3533250,4.0339500,2.2509625,7.2283417,4.5814458,2.4885458,25.7811583,8.5003375,227.5527292,10.8565875,8.1203208,19.7726500,8.1221917,21.2035500,2.3317000,34.4487250,12.0831042,2.8409625,28.4524417,19.8912375,75.3533250,9.6772958,75.7463375,68.3419042,2.2509625,562.4597792,11.0488125,36.0709167,11.1138833,9.0505958,11.8776042,25.7811583,5.8834000,22.0885292,8.5003375,32.4656792,12.3517667,5.6197667,12.0356292
2013-04-21,00:00:00,39.6192333,22.5643250,15.0959875,28.6430208,10.2036792,7.6428542,9.4441917,7.4323750,11.6814500,2.4238667,21.7430125,32.3987208,6.4162125,11.8682208,2.8051125,83.6485167,26.8286625,19.9000208,25.1870625,32.7382042,60.9227458,3.6578208,2.1520750,6.9322667,4.3980458,2.0953375,21.1587083,7.9600958,215.1795708,10.2036792,7.6428542,18.1007750,7.4323750,19.3054333,2.4238667,32.3987208,11.8682208,2.8051125,26.8286625,19.9000208,60.9227458,8.5851417,54.3223875,57.8161625,2.1520750,227.4184042,9.9860542,34.5646958,10.7104667,8.5521167,11.1732375,21.1587083,5.4626667,20.1413250,7.9600958,30.1802542,11.5570708,5.2519042,11.1953417
2013-04-22,00:00:00,37.2739417,20.8702292,13.4547958,25.9705458,9.6182750,7.1541000,8.3697208,6.7375375,10.7349500,2.2384667,20.4933833,30.0592542,5.7552708,10.7555000,2.5952583,78.3647042,25.0006000,19.0927542,24.3590667,32.0443458,59.0655708,3.6479750,2.2030917,6.7074458,4.1577708,1.9910333,19.9871458,7.4928917,201.0248125,9.6182750,7.1541000,16.4392958,6.7375375,17.4755292,2.2384667,30.0592542,10.7555000,2.5952583,25.0006000,19.0927542,59.0655708,8.5918708,56.0221958,61.4886292,2.2030917,228.4478167,9.7323250,33.1922292,10.3834708,8.1786542,10.6575292,19.9871458,5.1866875,18.9752583,7.4928917,28.4276750,10.7816750,4.8757958,10.4099458
2013-04-23,00:00:00,33.5770333,18.3531792,11.2987917,23.0805417,8.9838125,6.6169167,7.3107792,6.0374542,9.6469208,2.0060583,18.8553083,27.1910667,4.9447250,9.4429125,2.2087500,68.8334333,22.2843000,17.4614583,25.4177458,32.6517250,57.5793792,5.1938917,2.3641125,6.3332167,3.8742083,1.8763250,19.0378750,7.0096875,178.1187667,8.9838125,6.6169167,14.7553667,6.0374542,15.6404792,2.0060583,27.1910667,9.4429125,2.2087500,22.2843000,17.4614583,57.5793792,10.2683875,58.5924333,63.6227250,2.3641125,238.3667542,9.2992000,31.4483000,9.9943042,7.7849042,10.0873083,19.0378750,4.8996792,17.8845333,7.0096875,26.6446958,10.0126417,4.5085625,9.6422833
2013-04-24,00:00:00,30.6648000,16.3635917,9.6208458,22.8556792,9.7886417,7.4847958,6.8558208,6.0152208,9.0073167,2.5069375,18.0824583,25.8944500,4.5870667,8.9358583,2.0079875,64.4106542,21.6254458,17.3211292,50.6852417,77.6671750,115.1522792,13.6515458,5.6176292,6.4728792,3.8088208,4.9210542,42.7792083,7.9881875,161.3832583,9.7886417,7.4847958,14.1422542,6.0152208,15.3035875,2.5069375,25.8944500,8.9358583,2.0079875,21.6254458,17.3211292,115.1522792,33.0464833,80.1409958,76.7461375,5.6176292,273.8198208,10.0616250,31.7907167,12.2819458,8.3469208,12.3784125,42.7792083,5.7763083,19.1841708,7.9881875,25.2831250,9.9300625,4.4544667,10.0727167
2013-04-25,00:00:00,28.7847833,15.1268625,8.7318792,20.6303292,8.3407000,6.2540458,6.2688250,5.5330750,8.4694750,2.0461625,17.1579583,25.5923708,4.4346792,8.5017750,1.9053875,60.4026792,21.5246958,16.6558375,39.4838958,52.8767208,83.0129042,6.5738000,2.9184083,6.4591875,3.7160292,2.9818250,31.3429750,7.7475000,151.3712750,8.3407000,6.2540458,13.4982167,5.5330750,14.5108417,2.0461625,25.5923708,8.5017750,1.9053875,21.5246958,16.6558375,83.0129042,15.1082500,82.6410417,79.9791750,2.9184083,294.7647875,11.0458875,32.6162083,10.7366167,9.2765792,11.6816917,31.3429750,6.2501667,20.1072625,7.7475000,25.8034958,9.1459333,3.9916542,8.9479375
2013-04-26,00:00:00,26.8558708,14.3286958,8.3773250,18.5962417,7.7420500,5.7869125,5.9103958,5.1851250,8.0617167,1.8157792,16.4579875,24.5745375,4.4025333,8.2787583,1.8797792,56.1770000,19.9930583,15.9093792,29.6705000,38.0822083,63.8929250,4.9792208,2.5908500,5.6186750,3.4362667,2.0755125,21.2601417,6.8903958,136.7069292,7.7420500,5.7869125,12.5554917,5.1851250,13.4202792,1.8157792,24.5745375,8.2787583,1.8797792,19.9930583,15.9093792,63.8929250,10.6851958,71.4832875,72.0800083,2.5908500,269.4621042,8.2432792,28.9426333,9.4124750,7.7330792,9.5894958,21.2601417,4.9609833,18.1570708,6.8903958,23.6737333,8.3809750,3.6746625,8.1091000
2013-04-27,00:00:00,24.7896500,13.3873625,7.8688542,16.9247667,7.0958417,5.4378917,5.6317333,4.8999917,7.5443833,1.6685833,15.7020292,23.4047542,4.3121167,8.2124708,1.9218667,51.9586208,18.3884875,14.9660917,25.2768667,32.9166417,56.4351833,4.8026917,2.5316250,5.5180208,3.3957000,1.8213208,18.7471000,6.5105375,125.2503042,7.0958417,5.4378917,11.8553500,4.8999917,12.6333958,1.6685833,23.4047542,8.2124708,1.9218667,18.3884875,14.9660917,56.4351833,10.0940708,66.3106125,70.1832292,2.5316250,268.6627208,7.8991625,27.2311375,9.0903208,7.2099458,9.0468542,18.7471000,4.5997625,16.9904542,6.5105375,21.9939417,7.7883083,3.4208625,7.5218958
2013-04-28,00:00:00,23.0996875,12.4582500,7.1760667,15.7510292,7.1689958,5.8183667,5.4691250,4.8087292,7.1433083,1.7030125,15.0722125,22.1934000,4.0285208,7.7728458,1.8343375,47.1798292,16.6652417,13.8309125,27.2852958,39.2425917,62.9158583,7.4300125,3.8100083,5.5861042,3.4405583,2.7407458,23.7855500,6.5222167,116.1507208,7.1689958,5.8183667,11.3626875,4.8087292,12.2607208,1.7030125,22.1934000,7.7728458,1.8343375,16.6652417,13.8309125,62.9158583,15.9600167,66.0118750,69.2645667,3.8100083,271.5909292,8.1691667,27.9391625,10.1640042,7.2442333,9.6120292,23.7855500,4.7006375,16.6073083,6.5222167,20.5495417,7.3030083,3.2078625,7.0896583
