time,date,hour,precip [mm/day],sub676 [m3/s],sub684 [m3/s],sub685 [m3/s],sub685 (observed) [m3/s]
174,2010-06-24,00:00:00.00,0.125085,1.66921,2.78662,5.09681,4.77
175,2010-06-25,00:00:00.00,6.06459,1.8008,2.94008,5.17249,4.91
176,2010-06-26,00:00:00.00,0.00407077,1.91024,3.13821,5.46557,4.57
177,2010-06-27,00:00:00.00,4.35894,1.89043,3.19791,5.68118,4.32
178,2010-06-28,00:00:00.00,23.2531,1.837,3.13375,5.69777,7.29
179,2010-06-29,00:00:00.00,0.401561,1.92255,3.17929,5.73539,5.8
180,2010-06-30,00:00:00.00,0.0807835,2.24019,3.55228,6.13048,28.2
181,2010-07-01,00:00:00.00,0.00181487,2.48705,4.01023,6.80364,22.5
182,2010-07-02,00:00:00.00,0.0125317,2.35358,4.05853,7.17208,11.5
183,2010-07-03,00:00:00.00,0.000610895,2.08222,3.70335,6.95726,7.28
184,2010-07-04,00:00:00.00,0,1.92228,3.34468,6.41536,5.42
185,2010-07-05,00:00:00.00,5.9457e-308,1.86452,3.17451,5.94153,4.5
186,2010-07-06,00:00:00.00,0.000458711,1.84112,3.11384,5.69464,3.95
187,2010-07-07,00:00:00.00,9.33482e-308,1.81644,3.07503,5.58978,3.59
188,2010-07-08,00:00:00.00,0.364302,1.79256,3.03454,5.51856,3.31
189,2010-07-09,00:00:00.00,2.06542,1.76818,2.99365,5.44627,3.15
190,2010-07-10,00:00:00.00,22.3913,1.77199,2.98148,5.4036,3.39
191,2010-07-11,00:00:00.00,0.000820809,1.89278,3.10514,5.52162,3.51
192,2010-07-12,00:00:00.00,1.33618,2.19803,3.49088,5.9919,3.66
193,2010-07-13,00:00:00.00,14.3402,2.43934,3.93607,6.68092,3.84
194,2010-07-14,00:00:00.00,0.257653,2.40709,4.08011,7.14983,3.81
195,2010-07-15,00:00:00.00,0.0026415,2.3581,4.01416,7.2832,3.48
196,2010-07-16,00:00:00.00,1.07521,2.35839,3.96617,7.23386,3.24
197,2010-07-17,00:00:00.00,16.5498,2.26496,3.87721,7.07395,4.17
198,2010-07-18,00:00:00.00,0.433783,2.21212,3.76635,6.90617,6.44
199,2010-07-19,00:00:00.00,1.82166,2.34634,3.85756,6.93623,5.81
200,2010-07-20,00:00:00.00,4.70625,2.47701,4.07502,7.17131,4.69
201,2010-07-21,00:00:00.00,0.0407663,2.38772,4.084,7.30588,4.43
202,2010-07-22,00:00:00.00,0.893835,2.21939,3.85996,7.145,4.11
203,2010-07-23,00:00:00.00,0.580947,2.11587,3.63286,6.79921,3.84
204,2010-07-24,00:00:00.00,21.5375,2.08706,3.53244,6.50815,4.3
205,2010-07-25,00:00:00.00,12.7268,2.20638,3.63428,6.50869,5.69
206,2010-07-26,00:00:00.00,0.230022,2.57824,4.08641,7.02351,19
207,2010-07-27,00:00:00.00,0.000183368,2.97297,4.72895,7.98289,12.6
208,2010-07-28,00:00:00.00,0.0119625,2.98104,5.01543,8.77453,7.63
209,2010-07-29,00:00:00.00,13.1383,2.70155,4.75426,8.74149,7.08
210,2010-07-30,00:00:00.00,0.000626734,2.51944,4.37247,8.17772,8.38
211,2010-07-31,00:00:00.00,6.46283e-308,2.57696,4.29561,7.87776,6.57
212,2010-08-01,00:00:00.00,0.725975,2.663,4.41862,7.89839,4.98
213,2010-08-02,00:00:00.00,0.499898,2.5729,4.39624,7.91126,4.54
214,2010-08-03,00:00:00.00,0.140113,2.41699,4.18314,7.72785,4.22
215,2010-08-04,00:00:00.00,0.014871,2.31342,3.96626,7.38866,3.91
216,2010-08-05,00:00:00.00,0.0836589,2.25696,3.83777,7.07949,3.72
217,2010-08-06,00:00:00.00,0.183352,2.21751,3.76068,6.87506,3.58
218,2010-08-07,00:00:00.00,0.301887,2.17808,3.69514,6.73998,3.37
219,2010-08-08,00:00:00.00,0.21905,2.14018,3.63042,6.62205,3.17
220,2010-08-09,00:00:00.00,3.68056,2.10305,3.56728,6.5073,3.07
221,2010-08-10,00:00:00.00,7.88997,2.07336,3.51239,6.40158,3.29
222,2010-08-11,00:00:00.00,0.0722484,2.06997,3.48874,6.33433,4.54
223,2010-08-12,00:00:00.00,0.00589187,2.10695,3.52293,6.34572,3.81
224,2010-08-13,00:00:00.00,0.00957209,2.12708,3.56725,6.40259,3.46
225,2010-08-14,00:00:00.00,0.00375872,2.07519,3.53154,6.39472,3.28
226,2010-08-15,00:00:00.00,0.00756361,1.99749,3.41968,6.27366,3.1
227,2010-08-16,00:00:00.00,0.522864,1.94049,3.30709,6.09023,3.02
228,2010-08-17,00:00:00.00,0.00175272,1.90252,3.2296,5.91921,3.05
229,2010-08-18,00:00:00.00,0.000465939,1.87166,3.17318,5.79129,3.03
230,2010-08-19,00:00:00.00,0.00344398,1.84131,3.12205,5.69136,2.89
231,2010-08-20,00:00:00.00,0.318222,1.81191,3.07195,5.59992,2.77
232,2010-08-21,00:00:00.00,0.0776172,1.78311,3.02301,5.51058,2.64
233,2010-08-22,00:00:00.00,11.5414,1.76544,2.98588,5.43472,2.85
234,2010-08-23,00:00:00.00,3.80933,1.79264,3.00109,5.42137,3.84
235,2010-08-24,00:00:00.00,1.39172,1.89043,3.11662,5.54317,3.53
236,2010-08-25,00:00:00.00,0.0613653,1.96218,3.25328,5.74695,3.17
237,2010-08-26,00:00:00.00,0.00856614,1.90614,3.25025,5.83919,3
238,2010-08-27,00:00:00.00,0.0087041,1.79694,3.10532,5.72511,2.87
239,2010-08-28,00:00:00.00,0.00279941,1.7219,2.95148,5.49045,2.71
240,2010-08-29,00:00:00.00,0.00134834,1.68267,2.85966,5.28321,2.6
241,2010-08-30,00:00:00.00,0,1.65707,2.80791,5.14426,2.51
242,2010-08-31,00:00:00.00,0.000245968,1.63218,2.76614,5.04705,2.45
243,2010-09-01,00:00:00.00,0.000268733,1.60801,2.72507,4.97256,2.33
244,2010-09-02,00:00:00.00,0.312679,1.5841,2.68456,4.89868,2.36
245,2010-09-03,00:00:00.00,5.68982,1.56348,2.64767,4.82886,2.28
246,2010-09-04,00:00:00.00,12.2532,1.56551,2.6358,4.78444,2.65
247,2010-09-05,00:00:00.00,11.6197,1.64252,2.71425,4.83987,4.81
248,2010-09-06,00:00:00.00,1.36387,1.83036,2.95343,5.104,4.69
249,2010-09-07,00:00:00.00,0.654975,2.02756,3.27722,5.60794,3.98
250,2010-09-08,00:00:00.00,0.260619,2.04553,3.43285,6.00976,3.86
251,2010-09-09,00:00:00.00,4.1085,1.88585,3.29139,6.01728,3.43
252,2010-09-10,00:00:00.00,1.30929,1.73103,3.02522,5.71486,3.13
253,2010-09-11,00:00:00.00,0.0228029,1.6692,2.85163,5.36078,2.96
254,2010-09-12,00:00:00.00,3.57054,1.65277,2.79231,5.14248,2.85
255,2010-09-13,00:00:00.00,2.45572,1.63003,2.76059,5.02648,2.88
256,2010-09-14,00:00:00.00,1.20891,1.60658,2.72265,4.96002,2.91
257,2010-09-15,00:00:00.00,0.0119409,1.58736,2.68636,4.89798,2.77
258,2010-09-16,00:00:00.00,0.0193767,1.55988,2.64595,4.82692,2.62
259,2010-09-17,00:00:00.00,23.1204,1.55493,2.62321,4.77167,3.45
260,2010-09-18,00:00:00.00,0.0571936,1.66306,2.72779,4.84514,4.63
261,2010-09-19,00:00:00.00,0.497321,1.94442,3.08087,5.23982,4.61
262,2010-09-20,00:00:00.00,0.00116598,2.15202,3.47618,5.88795,4.29
263,2010-09-21,00:00:00.00,0.0361034,2.03996,3.51628,6.22701,3.62
264,2010-09-22,00:00:00.00,1.30578,1.80853,3.21432,6.03327,3.23
265,2010-09-23,00:00:00.00,2.57343,1.67056,2.9073,5.57783,3.22
266,2010-09-24,00:00:00.00,0.0715371,1.61959,2.75915,5.18767,3.12
267,2010-09-25,00:00:00.00,0.135083,1.59876,2.7053,4.97611,2.96
268,2010-09-26,00:00:00.00,1.93683,1.57733,2.67107,4.8628,3.01
269,2010-09-27,00:00:00.00,0.0131351,1.55614,2.63548,4.80355,2.93
270,2010-09-28,00:00:00.00,4.38558,1.53764,2.60241,4.7412,2.95
271,2010-09-29,00:00:00.00,32.1484,1.57188,2.62485,4.73332,3.95
272,2010-09-30,00:00:00.00,0.10374,1.79182,2.86821,4.96336,6.65
273,2010-10-01,00:00:00.00,0.00404993,2.26603,3.48908,5.76016,12.3
274,2010-10-02,00:00:00.00,0.158012,2.58917,4.13003,6.82863,9
275,2010-10-03,00:00:00.00,7.69945,2.41348,4.192,7.36308,6.9
276,2010-10-04,00:00:00.00,0.335561,2.10251,3.76917,7.1355,5.8
277,2010-10-05,00:00:00.00,0.710546,2.00066,3.43681,6.58888,5.12
278,2010-10-06,00:00:00.00,4.90987,2.01239,3.37344,6.21433,5.11
279,2010-10-07,00:00:00.00,3.66136,1.98513,3.36075,6.07528,5.96
280,2010-10-08,00:00:00.00,0.254302,1.95986,3.32071,6.02914,5.78
281,2010-10-09,00:00:00.00,0.00825247,1.97074,3.30985,6.00183,5.36
282,2010-10-10,00:00:00.00,0.00051367,1.94438,3.29108,5.95887,4.76
283,2010-10-11,00:00:00.00,0.00589426,1.87406,3.20567,5.85644,4.27
284,2010-10-12,00:00:00.00,3.69564,1.81004,3.09282,5.69454,4.1
285,2010-10-13,00:00:00.00,0,1.78318,3.02071,5.53905,4.37
286,2010-10-14,00:00:00.00,3.68841,1.7917,3.0106,5.46118,4.1
287,2010-10-15,00:00:00.00,19.0856,1.83417,3.05933,5.49051,7.9
288,2010-10-16,00:00:00.00,0.0194076,1.97112,3.22647,5.69354,11.4
289,2010-10-17,00:00:00.00,3.3618e-308,2.25694,3.60383,6.19275,9.42
290,2010-10-18,00:00:00.00,0.00156654,2.44007,3.97755,6.81209,7.19
291,2010-10-19,00:00:00.00,0.0430875,2.3009,3.97439,7.08543,5.81
292,2010-10-20,00:00:00.00,0.0802692,2.05994,3.64321,6.8434,5.16
293,2010-10-21,00:00:00.00,3.64579,1.92282,3.33044,6.34674,4.75
294,2010-10-22,00:00:00.00,7.54224,1.89625,3.20803,5.957,5.23
295,2010-10-23,00:00:00.00,1.28773,1.96197,3.25722,5.86537,5.45
296,2010-10-24,00:00:00.00,5.39416,2.0885,3.42873,6.04859,5.5
297,2010-10-25,00:00:00.00,4.95021,2.18006,3.60655,6.3375,5.85
298,2010-10-26,00:00:00.00,0.139367,2.2009,3.69382,6.56376,5.84
299,2010-10-27,00:00:00.00,10.5579,2.21878,3.72552,6.69096,8.51
300,2010-10-28,00:00:00.00,0.0725936,2.24802,3.76424,6.76699,11.3
301,2010-10-29,00:00:00.00,1.8752,2.31579,3.85358,6.8847,10.4
302,2010-10-30,00:00:00.00,0.463164,2.35543,3.93624,7.02532,10.9
303,2010-10-31,00:00:00.00,0.036846,2.2646,3.87599,7.02147,8.56
304,2010-11-01,00:00:00.00,0.0127129,2.13111,3.68345,6.8135,6.69
305,2010-11-02,00:00:00.00,0.00193762,2.03894,3.49514,6.50468,5.68
306,2010-11-03,00:00:00.00,0.00518689,1.98732,3.37989,6.23206,5.43
307,2010-11-04,00:00:00.00,2.32024,1.95787,3.31568,6.05743,4.87
308,2010-11-05,00:00:00.00,0.342306,1.94054,3.27892,5.96102,4.68
309,2010-11-06,00:00:00.00,1.47333,1.93924,3.26577,5.91524,4.73
310,2010-11-07,00:00:00.00,0.0164032,1.9348,3.25998,5.89351,4.54
311,2010-11-08,00:00:00.00,0.000654051,1.91059,3.23351,5.85918,4.37
312,2010-11-09,00:00:00.00,0.000724058,1.87642,3.18311,5.79244,4.27
313,2010-11-10,00:00:00.00,0.000894484,1.84318,3.12597,5.70047,4.12
314,2010-11-11,00:00:00.00,0.000471487,1.81422,3.07426,5.60355,3.97
315,2010-11-12,00:00:00.00,0.000227523,1.7898,3.03,5.51635,3.8
316,2010-11-13,00:00:00.00,0.000527556,1.76748,2.99105,5.44035,3.77
317,2010-11-14,00:00:00.00,0.190419,1.74634,2.95471,5.37173,3.76
318,2010-11-15,00:00:00.00,1.60279,1.72671,2.92067,5.31244,3.82
319,2010-11-16,00:00:00.00,0.00837333,1.71227,2.89281,5.25914,3.74
320,2010-11-17,00:00:00.00,10.7609,1.72029,2.89109,5.23036,3.75
321,2010-11-18,00:00:00.00,8.13295,1.7999,2.97622,5.30294,5.43
322,2010-11-19,00:00:00.00,1.49645,2.01366,3.24357,5.63737,6.8
323,2010-11-20,00:00:00.00,0.0425202,2.25863,3.63106,6.20526,7.81
324,2010-11-21,00:00:00.00,0.000974427,2.29634,3.8394,6.67748,7.22
325,2010-11-22,00:00:00.00,0.255851,2.12586,3.70251,6.74263,6.35
326,2010-11-23,00:00:00.00,7.89487,1.95738,3.41465,6.42907,5.95
327,2010-11-24,00:00:00.00,7.28701,1.93125,3.2676,6.08766,9.15
328,2010-11-25,00:00:00.00,0.0293042,2.08071,3.39777,6.06821,11.3
329,2010-11-26,00:00:00.00,10.0052,2.29584,3.7137,6.43001,12.5
330,2010-11-27,00:00:00.00,2.80211,2.39259,3.96075,6.88391,14.2
331,2010-11-28,00:00:00.00,2.36264,2.38314,4.02342,7.16227,14.8
332,2010-11-29,00:00:00.00,0.080524,2.33451,3.96401,7.19797,13.9
333,2010-11-30,00:00:00.00,0.0441091,2.22488,3.82007,7.02162,11.3
334,2010-12-01,00:00:00.00,19.1329,2.14139,3.66443,6.76663,10.6
